0	Index      	Bounty	 *	Score 	Summary	Detail	
1	12345 63123	8	 * 	286.79	DCR|3VULN|2DMG|2DUR|1TLV|1AART	19aVULN|2LHND|3AART|49DMG|5TLV|6RCR|7LIT|89DUR|9BPWR
2	12345 63121	8	   	275.75	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG|1AART	19VULN|2LHND|3AART|49DMG|5TLV|6RCR|7LIT|89DUR|9BPWR|aCDMG
3	11413 11542	9	 * 	273.53	DCR|4VULN|3DUR|3TLV	178aVULN|2DUST|3RMIN|4RPLT|578DUR|678TLV|78BPWR|9RCR
4	11413 11542	10	   	273.53	DCR|4VULN|3DUR|3TLV	178aVULN|2DUST|3RMIN|4RPLT|578DUR|678TLV|78BPWR|9RCR
5	12231 12665	7	 * 	272.54	DCR|3VULN|3DUR|2TLV|1DMG	18aVULN|2LHND|348DUR|5BELT|68TLV|7RCR|8BPWR|9DMG
6	11231 12665	7	   	272.44	DCR|3VULN|3DUR|2TLV|1DMG	18aVULN|2DUST|348DUR|5BELT|68TLV|7RCR|8BPWR|9DMG
7	12226 21311	3	   	268.82	DCR|3VULN|2DMG|2DUR|1TLV	16aVULN|24LHND|34DUR|46BPWR|56DMG|7TLV|8RCR|9MLV
8	15226 21311	3	   	268.82	DCR|3VULN|2DMG|2DUR|1TLV	16aVULN|24FEWX|34DUR|46BPWR|56DMG|7TLV|8RCR|9MLV
9	12236 21311	4	   	268.72	DCR|3VULN|2DMG|2DUR|1TLV	16aVULN|2LHND|34DUR|56DMG|6BPWR|7TLV|8RCR|9MLV
10	15236 21311	4	   	268.72	DCR|3VULN|2DMG|2DUR|1TLV	16aVULN|2FEWX|34DUR|56DMG|6BPWR|7TLV|8RCR|9MLV
11	14323 13636	2	   	268.62	DCR|3VULN|2DMG|2DUR|1TLV	189VULN|2ERES|38DMG|4TLV|5LEGI|6BEXP|78DUR|8BPWR|aRCR
12	15113 11536	1	 * 	267.67	DCR|5VULN|2TLV|3LIT	1358aVULN|289LIT|4RMIN|6RCR|78TLV|8BPWR
13	11342 22266	8	 * 	267.06	DCR|4VULN|1TLV|1DMG|1DUR|1AART	158aVULN|2DUST|3AART|4DMG|6TLV|7RCR|9DUR
14	11413 11543	10	   	266.13	DCR|3VULN|3DUR|3TLV|1CDMG	178VULN|2DUST|3RMIN|4RPLT|578DUR|678TLV|78BPWR|9RCR|aCDMG
15	15132 13145	1	   	265.99	DCR|3VULN|2DUR|1TLV|1DMG|2LIT	139VULN|29LIT|4BBNT|5TLV|6ZMB|7RCR|89DUR|9BPWR|aDMG
16	12365 63123	8	   	265.29	DCR|3VULN|2DUR|1TLV|2ASPD|1AART	19aVULN|2LHND|3AART|49ASPD|5TLV|6RCR|7LIT|89DUR|9BPWR
17	14255 21222	7	   	264.59	DCR|3VULN|2DUR|1TLV|1DMG|1CDMG	136VULN|2ERES|4CDMG|5DMG|7RCR|8aDUR|9TLV
18	12331 64112	10	 * 	264.45	DCR|4VULN|2DMG|1CDMG|1AART	189aVULN|2aLHND|3AART|4LIT|5CDMG|6aDMG|7RCR|aBPWR
19	15331 64112	10	   	264.45	DCR|4VULN|2DMG|1CDMG|1AART	189aVULN|2aFEWX|3AART|4LIT|5CDMG|6aDMG|7RCR|aBPWR
20	12345 13623	7	   	262.51	DCR|3VULN|2DMG|1TLV|2LIT|1AART	19aVULN|2LHND|3AART|49DMG|5TLV|6LWND|79LIT|8RCR|9BPWR
21	12345 63122	8	   	262.00	DCR|2VULN|2DMG|2DUR|1TLV|1AART	19VULN|2LHND|3AART|49DMG|5TLV|6RCR|7LIT|89DUR|9BPWR|aDUST
22	12231 12663	7	   	261.50	DCR|2VULN|3DUR|2TLV|1DMG|1CDMG	18VULN|2LHND|348DUR|5BELT|68TLV|7RCR|8BPWR|9DMG|aCDMG
23	15231 12663	7	   	261.50	DCR|2VULN|3DUR|2TLV|1DMG|1CDMG	18VULN|2FEWX|348DUR|5BELT|68TLV|7RCR|8BPWR|9DMG|aCDMG
24	11231 12663	7	   	261.40	DCR|2VULN|3DUR|2TLV|1DMG|1CDMG	18VULN|2DUST|348DUR|5BELT|68TLV|7RCR|8BPWR|9DMG|aCDMG
25	13355 53113	7	   	261.34	DCR|4VULN|2DMG|2LIT|1CDMG	157aVULN|2RCVC|3BELT|4CDMG|6RCR|8aDMG|9aLIT|aBPWR
26	12344 34232	10	   	261.17	DCR|3VULN|1TLV|1DMG|1DUR|2LIT|1AART	178VULN|27LHND|3AART|4DMG|5DUR|67LIT|7BPWR|9RCR|aTLV
