0	Index      	Bounty	 *	Score 	Summary	Detail	
1	41411 23234	6	 * 	299.73	DCR|4VULN|3DUR|3TLV|3CDMG	179aVULN|2BELT|35aCDMG|457TLV|57aBPWR|67aDUR|8RCR
2	41412 23263	6	 * 	294.02	DCR|4VULN|2TLV|2DUR|1DMG|1CDMG	1579VULN|2BELT|3CDMG|47TLV|67DUR|7BPWR|8RCR|aDMG
3	22265 33232	5	 * 	293.59	DCR|4VULN|3DUR|2TLV|1DMG	128DUR|28BPWR|3568VULN|4RMIN|78TLV|9RCR|aDMG
4	43323 51361	8	 * 	284.35	DCR|3VULN|3DUR|2DMG|2LIT|1CDMG	159VULN|26LIT|349DUR|79DMG|8RCR|9BPWR|aCDMG
5	22213 42462	5	   	283.77	DCR|4VULN|3DUR|1DMG|2ASPD	129DUR|29BPWR|3589VULN|4LIT|6DMG|79ASPD|aRCR
6	41412 23253	6	   	282.63	DCR|3VULN|2TLV|2DUR|1DMG|1CDMG	157VULN|2BELT|3CDMG|47TLV|67DUR|7BPWR|8RCR|9AART|aDMG
7	41412 23262	6	   	282.26	DCR|4VULN|2TLV|2DUR|1CDMG	1579VULN|2BELT|3CDMG|47TLV|67DUR|7BPWR|8RCR|aLIT
8	22211 13435	6	 * 	282.05	DCR|2VULN|3DUR|2DMG|2TLV	128DUR|29BPWR|39VULN|4LIT|59DMG|69TLV|7RCR|aASPD
9	22211 53435	5	   	282.05	DCR|2VULN|3DUR|2DMG|2TLV	128DUR|29BPWR|39VULN|4LIT|59DMG|69TLV|7RCR|aASPD
10	43321 13435	6	   	282.05	DCR|2VULN|3DUR|2DMG|2TLV	19VULN|2LIT|348DUR|59DMG|69TLV|7RCR|9BPWR|aASPD
11	22265 33231	5	   	281.84	DCR|4VULN|3DUR|2TLV	128DUR|28BPWR|3568VULN|4RMIN|78TLV|9RCR|aLIT
12	22632 13542	6	   	280.75	DCR|3VULN|3DUR|2TLV|2CDMG	125DUR|29BPWR|39CDMG|4LIT|6RCR|79TLV|89aVULN
13	41412 23226	6	   	280.47	DCR|4VULN|2TLV|2DUR|2CDMG	157aVULN|2BELT|3aCDMG|47TLV|67DUR|7aBPWR|8RCR|9aLWND
14	41412 23216	5	   	280.47	DCR|4VULN|2TLV|2DUR|2CDMG	157aVULN|2BELT|3aCDMG|47TLV|67LWND|7aBPWR|8RCR|9aDUR
15	22211 42462	5	   	280.30	DCR|3VULN|3DUR|2DMG|2ASPD	129DUR|29BPWR|389VULN|4LIT|56DMG|79ASPD|aRCR
16	41411 23233	6	   	280.27	DCR|4VULN|3TLV|2DUR|2CDMG	179aVULN|2BELT|35CDMG|457TLV|57BPWR|67DUR|8RCR
17	41113 53263	2	   	280.12	DCR|4VULN|2TLV|2DUR|1DMG|1SELL	1479VULN|2BELT|37TLV|57DUR|6SELL|7BPWR|8RCR|aDMG
18	22216 32462	5	   	279.01	DCR|3VULN|3DUR|2DMG|2LIT	129DUR|29BPWR|389VULN|46LIT|5ASPD|79DMG|aRCR
19	22213 51361	8	 * 	275.71	DCR|3VULN|3DUR|2DMG|3LIT	129DUR|29BPWR|35aVULN|469LIT|79DMG|8RCR
20	41412 23243	6	   	274.44	DCR|3VULN|3DUR|2TLV|1CDMG	157VULN|2BELT|3CDMG|47TLV|67aDUR|7BPWR|8RCR|9ASPD
21	41412 23212	6	   	274.44	DCR|3VULN|3DUR|2TLV|1CDMG	157VULN|2BELT|3CDMG|47TLV|679DUR|7BPWR|8RCR|aLIT
22	41412 23261	6	   	273.85	DCR|4VULN|2TLV|2DUR|1CDMG	1579VULN|2BELT|3CDMG|47TLV|67DUR|7BPWR|8RCR|aERES
23	22211 13432	6	   	273.74	DCR|2VULN|3DUR|2DMG|2TLV	128DUR|29BPWR|39VULN|4LIT|59DMG|69TLV|7RCR|aRPLT
24	22211 13433	6	   	273.74	DCR|2VULN|3DUR|2DMG|2TLV	128DUR|29BPWR|39VULN|4LIT|59DMG|69TLV|7RCR|aCGEN
25	22211 13434	6	   	273.74	DCR|2VULN|3DUR|2DMG|2TLV	128DUR|29BPWR|39VULN|4LIT|59DMG|69TLV|7RCR|aZMB
26	22211 13436	6	   	273.74	DCR|2VULN|3DUR|2DMG|2TLV	128DUR|29BPWR|39VULN|4LIT|59DMG|69TLV|7RCR|aRMIN
27	22211 53432	5	   	273.74	DCR|2VULN|3DUR|2DMG|2TLV	128DUR|29BPWR|39VULN|4LIT|59DMG|69TLV|7RCR|aRPLT
28	22211 53433	5	   	273.74	DCR|2VULN|3DUR|2DMG|2TLV	128DUR|29BPWR|39VULN|4LIT|59DMG|69TLV|7RCR|aCGEN
29	22211 53434	5	   	273.74	DCR|2VULN|3DUR|2DMG|2TLV	128DUR|29BPWR|39VULN|4LIT|59DMG|69TLV|7RCR|aZMB
