0	Index      	Bounty	 *	Score 	Summary	Detail	
1	21263 11285	8	 * 	292.02	DCR|3VULN|3DMG|3DUR|1AART	17aDMG|2AART|3aDUST|47aVULN|5MBVNT|678DUR|7aBPWR|9RCR
2	21251 14612	1	 * 	291.88	DCR|4VULN|3DMG|2DUR	167DMG|29ERES|37CGEN|4579VULN|79BPWR|89DUR|aRCR
3	21531 35315	1	   	291.78	DCR|4VULN|3DMG|2DUR	156DMG|27ERES|37DUR|4678VULN|67BPWR|9LHND|aRCR
4	21531 35322	1	   	291.78	DCR|4VULN|3DMG|2DUR	156DMG|27ERES|37DUR|4678VULN|67BPWR|9CGEN|aRCR
5	21531 35335	1	   	291.78	DCR|4VULN|3DMG|2DUR	156DMG|27ERES|37DUR|4678VULN|67BPWR|9FEWX|aRCR
6	25531 35322	2	   	291.78	DCR|4VULN|3DMG|2DUR	156DMG|27ERES|37DUR|4678VULN|67BPWR|9CGEN|aRCR
7	13111 11325	1	 * 	280.58	DCR|5VULN|3DMG	179LHND|269DMG|34589VULN|9BPWR|aRCR
8	24225 21143	4	   	277.89	DCR|2VULN|3DMG|2DUR|1TLV|1ASPD	128DMG|3ZMB|48DUR|5LIT|6TLV|78VULN|8BPWR|9RCR|aASPD
9	23314 21146	1	 * 	277.64	DCR|3VULN|3DMG|3ASPD	148DMG|2aLWND|38aASPD|5CGEN|6LIT|78aVULN|8aBPWR|9RCR
10	21263 11444	8	   	276.27	DCR|3VULN|3DUR|2DMG|1AART	17DMG|2AART|3DUST|478VULN|5MBVNT|67aDUR|7BPWR|9RCR
11	24643 33221	10	   	274.86	DCR|2VULN|3DMG|3DUR|1ASPD	128DMG|3FEWX|48VULN|5ASPD|6LIT|78aDUR|8BPWR|9RCR
12	21612 14621	9	   	274.25	DCR|3VULN|2DMG|2DUR|1ASPD|1AART	18DMG|2AART|3RPLT|4CGEN|58DUR|68aVULN|7RCR|8BPWR|9ASPD
13	23112 14621	9	   	274.25	DCR|3VULN|2DMG|2DUR|1ASPD|1AART	18DMG|2RPLT|3AART|4CGEN|58DUR|68aVULN|7RCR|8BPWR|9ASPD
14	23412 14621	9	   	274.25	DCR|3VULN|2DMG|2DUR|1ASPD|1AART	18DMG|2RPLT|3CGEN|4AART|58DUR|68aVULN|7RCR|8BPWR|9ASPD
15	21341 23243	10	 * 	271.95	DCR|2VULN|3DMG|2DUR|2TLV|1AART	13aDMG|2AART|4aTLV|5FEWX|6RCR|78DUR|9aVULN|aBPWR
16	21346 21243	10	   	271.95	DCR|2VULN|3DMG|2DUR|2TLV|1AART	13aDMG|2AART|4aTLV|58DUR|6RCR|7BEXP|9aVULN|aBPWR
17	21346 23143	10	   	271.95	DCR|2VULN|3DMG|2DUR|2TLV|1AART	13aDMG|2AART|4aTLV|57DUR|6RCR|8LHND|9aVULN|aBPWR
18	21346 23343	10	   	271.95	DCR|2VULN|3DMG|2DUR|2TLV|1AART	13aDMG|2AART|4aTLV|57DUR|6RCR|8BEXP|9aVULN|aBPWR
19	24643 33222	9	 * 	271.85	DCR|2VULN|3DMG|2DUR|2ASPD	128DMG|3FEWX|48VULN|5aASPD|6LIT|78DUR|8BPWR|9RCR
20	13111 21241	1	   	271.70	DCR|5VULN|1DMG|1TLV	1LHND|2DMG|34579VULN|6LIT|8TLV|aRCR
21	14111 15241	1	   	271.70	DCR|5VULN|1DMG|1TLV	1LHND|2TLV|34589VULN|6DMG|7LIT|aRCR
22	22111 21241	1	   	271.70	DCR|5VULN|1DMG|1TLV	1DMG|2BEXP|34579VULN|6LIT|8TLV|aRCR
23	23111 21241	1	   	271.70	DCR|5VULN|1DMG|1TLV	1DMG|2LWND|34579VULN|6LIT|8TLV|aRCR
24	43111 21241	1	   	271.60	DCR|5VULN|1DMG|1TLV	1DUST|2DMG|34579VULN|6LIT|8TLV|aRCR
25	42511 21241	3	   	271.60	DCR|5VULN|1DMG|1TLV	1DUST|23579VULN|4DMG|6LIT|8TLV|aRCR
26	21263 11431	8	   	271.35	DCR|3VULN|2DMG|2DUR|1AART	17DMG|2AART|3DUST|478VULN|5MBVNT|67DUR|7BPWR|9LIT|aRCR
27	21535 35213	7	   	269.87	DCR|3VULN|2DMG|2ASPD|1DUR|1AART	19DMG|2AART|3ZMB|4BELT|589VULN|6RCR|79ASPD|9BPWR|aDUR
28	24531 35222	1	   	269.24	DCR|3VULN|3DMG|2DUR	156DMG|278CGEN|37DUR|467VULN|67BPWR|9ERES|aRCR
29	26531 35222	2	   	269.24	DCR|3VULN|3DMG|2DUR	156DMG|278CGEN|37DUR|467VULN|67BPWR|9ERES|aRCR
30	21252 14612	1	   	269.24	DCR|3VULN|3DMG|2DUR	167DMG|29ERES|357CGEN|479VULN|79BPWR|89DUR|aRCR
31	31551 26312	1	   	269.24	DCR|3VULN|3DMG|2DUR	179CGEN|27ERES|39DUR|489VULN|567DMG|79BPWR|aRCR
32	61663 32122	8	 * 	269.19	DCR|3VULN|3DUR|3LIT|2CDMG	1RCVC|279LIT|379VULN|4aCDMG|5LWND|679DUR|79BPWR|8RCR
33	24431 23243	10	   	268.24	DCR|2VULN|3DMG|2DUR|1TLV|1AART	12aDMG|3aLWND|4TLV|5AART|6RCR|78DUR|9aVULN|aBPWR
34	24326 62221	10	   	268.19	DCR|2VULN|3DMG|2DUR|2LIT|1ASPD	128DMG|3BEXP|48LIT|5ASPD|6aDUR|78VULN|8BPWR|9RCR
35	24643 33223	10	   	268.19	DCR|2VULN|3DMG|2DUR|2LIT|1ASPD	128DMG|3FEWX|48VULN|5ASPD|6aLIT|78DUR|8BPWR|9RCR
36	22116 26326	1	 * 	267.17	DCR|3VULN|2DMG|2CDMG|1DUR	19DMG|2BEXP|349VULN|5LIT|6DUR|7TBNT|89CDMG|9BPWR|aRCR
37	24225 21142	4	   	266.88	DCR|2VULN|3DMG|2DUR|1TLV	128DMG|3ZMB|48DUR|5LIT|6TLV|78VULN|8BPWR|9RCR|aLHND
38	23513 22255	8	   	266.81	DCR|3VULN|3DUR|2DMG	17DMG|2RPLT|3LWND|478VULN|5RMIN|679DUR|7BPWR|aRCR
39	24225 21141	4	   	266.78	DCR|2VULN|3DMG|2DUR|1TLV	128DMG|3ZMB|48DUR|5LIT|6TLV|78VULN|8BPWR|9RCR|aERES
40	21265 11235	8	 * 	266.72	ACR|4VULN|3DUR|2DMG|1AART	17DMG|2AART|3DUST|479aVULN|5RCR|678DUR|7BPWR
41	42533 15111	5	 * 	266.46	DCR|4VULN|3DUR|2LIT	19DUST|2369VULN|458DUR|79LIT|9BPWR|aRCR
42	23112 14642	10	   	265.81	DCR|2VULN|3DUR|2DMG|1TLV|1AART	18DMG|2RPLT|3AART|4CGEN|589DUR|68VULN|7RCR|8BPWR|aTLV
43	23132 14642	10	   	265.81	DCR|2VULN|3DUR|2DMG|1TLV|1AART	18DMG|2RPLT|3AART|4MLV|589DUR|68VULN|7RCR|8BPWR|aTLV
44	23112 14641	9	   	265.22	DCR|2VULN|3DMG|3DUR|1AART	18aDMG|2RPLT|3AART|4CGEN|589DUR|68VULN|7RCR|8BPWR
45	23112 14651	8	   	265.22	DCR|2VULN|3DMG|3DUR|1AART	18aDMG|2RPLT|3AART|4CGEN|589DUR|68VULN|7RCR|8BPWR
