0	Index      	Bounty	 *	Score 	Summary	Detail	
1	26632 14321	6	 * 	285.22	DCR|5VULN|2DMG|2TLV|1SELL	1aTLV|2CGEN|3459aVULN|6aDMG|7RCR|8SELL|aBPWR
2	26632 16322	8	 * 	280.37	DCR|4VULN|2TLV|2DUR|1DMG	1aTLV|2CGEN|345aVULN|6DMG|7FEWX|8RCR|9aDUR|aBPWR
3	25231 62212	1	 * 	280.29	DCR|3VULN|2DMG|2TLV|1DUR|1AART	17TLV|2DUR|37aVULN|4LIT|5ZMB|67DMG|7BPWR|8AART|9RCR
4	21512 24632	3	 * 	276.90	DCR|3VULN|2DMG|2TLV|2DUR	1aTLV|2RMIN|3DMSP|46DMG|56aVULN|6aBPWR|7RCR|8aDUR|9LEGI
5	25322 61252	10	   	273.89	DCR|4VULN|2TLV|1DMG|1DUR	12TLV|3689VULN|4LIT|5DUR|7RCR|aDMG
6	31322 53541	8	 * 	272.74	DCR|3VULN|3DUR|2TLV|1DMG	178DUR|289MLV|3CGEN|49TLV|589VULN|6RCR|89BPWR|aDMG
7	25232 15433	6	 * 	272.34	DCR|3VULN|3DUR|3TLV|2CDMG	127TLV|38aDUR|47CDMG|579VULN|6RCR|7BPWR
8	32242 56321	3	 * 	270.02	ACR|4VULN|3DMG|3DUR|1AART	137DUR|2RPLT|479DMG|5RCR|6789VULN|79BPWR|aAART
9	25231 62213	1	   	269.24	DCR|2VULN|2DMG|2TLV|1DUR|1CDMG|1AART	17TLV|2DUR|37VULN|4LIT|5ZMB|67DMG|7BPWR|8AART|9RCR|aCDMG
10	25332 32426	8	   	268.83	DCR|4VULN|2TLV|1DUR|1CDMG|1AART	12TLV|3579VULN|4CDMG|6DUR|8RCR|aAART
11	25332 32436	9	   	268.83	DCR|4VULN|2TLV|1DUR|1CDMG|1AART	12TLV|3579VULN|4CDMG|6DUR|8RCR|aAART
12	32242 56323	3	   	268.66	ACR|4VULN|3DMG|3DUR	137DUR|2RPLT|479DMG|5RCR|6789VULN|79BPWR|aASPD
13	25214 16131	8	 * 	267.76	DCR|2VULN|3DMG|2TLV|2DUR	12TLV|35DUR|456DMG|5BPWR|7aVULN|8RCR|9BELT
14	25322 61251	10	   	267.48	DCR|4VULN|2TLV|1DUR|1CDMG	12TLV|3689VULN|4LIT|5DUR|7RCR|aCDMG
15	25222 61252	10	   	267.42	DCR|3VULN|2TLV|2DUR|1DMG	12TLV|35DUR|4LIT|689VULN|7RCR|aDMG
16	25232 15421	6	   	267.42	DCR|3VULN|3TLV|2DUR|2CDMG	127TLV|38DUR|47CDMG|57aVULN|6RCR|7BPWR|9LIT
17	25322 31252	10	   	267.42	DCR|3VULN|2TLV|2DUR|1DMG	12TLV|389VULN|4LIT|56DUR|7RCR|aDMG
18	26622 31352	3	 * 	267.12	DCR|4VULN|2DMG|2TLV	1aTLV|2CGEN|367aVULN|4aDMG|5BELT|8RPLT|9RCR|aBPWR
19	26112 24321	2	 * 	266.88	DCR|4VULN|2DMG|3TLV|1SELL	16aTLV|23CGEN|4aDMG|569aVULN|6aBPWR|7RCR|8SELL
20	26512 24321	3	 * 	266.88	DCR|4VULN|2DMG|3TLV|1SELL	16aTLV|2CGEN|3DMSP|4aDMG|569aVULN|6aBPWR|7RCR|8SELL
21	26612 14321	6	   	266.88	DCR|4VULN|2DMG|2TLV|1SELL	1aTLV|24CGEN|359aVULN|6aDMG|7RCR|8SELL|aBPWR
22	25332 32411	10	   	266.49	DCR|3VULN|2TLV|1DMG|1DUR|1CDMG	12TLV|357VULN|4CDMG|6DUR|8RCR|9LIT|aDMG
23	25331 32366	6	 * 	265.93	DCR|3VULN|2DMG|3TLV|2CDMG	126TLV|39aVULN|49CDMG|5BELT|7RCR|89DMG|9BPWR
24	31322 53535	8	 * 	265.45	DCR|4VULN|3DUR|1TLV	178DUR|28MLV|3CGEN|4TLV|589aVULN|6RCR|8BPWR
25	25232 15621	6	   	264.60	DCR|3VULN|3TLV|1DMG|2CDMG|1DUR	127TLV|3DUR|47CDMG|57aVULN|6RCR|7BPWR|8RPLT|9DMG
26	25352 14112	6	 * 	264.19	DCR|4VULN|3TLV|1DMG|2LIT	12aTLV|359aVULN|4ERES|6DMG|7RCR|8aLIT|aBPWR
27	23231 62212	1	   	263.94	DCR|3VULN|2DMG|2TLV|1AART	17TLV|2LEGI|37aVULN|4LIT|5ZMB|67DMG|7BPWR|8AART|9RCR
28	26632 24321	6	 * 	263.72	DCR|5VULN|2TLV|2ASPD|1SELL	1aTLV|2CGEN|3459aVULN|6aASPD|7RCR|8SELL|aBPWR
29	25322 61214	8	   	263.49	DCR|4VULN|2TLV|1DUR|1AART	12TLV|3689VULN|4LIT|5DUR|7RCR|aAART
30	24241 11142	1	   	263.05	DCR|4VULN|2TLV|2AART|1DUR	15TLV|24AART|3569VULN|5BPWR|7BEXP|8DUR|aRCR
31	24241 13132	1	   	263.05	DCR|4VULN|2TLV|2AART|1DUR	15TLV|24AART|3569VULN|5BPWR|7LHND|8DUR|aRCR
32	24321 11142	1	   	263.05	DCR|4VULN|2TLV|2AART|1DUR	15TLV|23AART|4569VULN|5BPWR|7BEXP|8DUR|aRCR
33	24321 13132	1	   	263.05	DCR|4VULN|2TLV|2AART|1DUR	15TLV|23AART|4569VULN|5BPWR|7LHND|8DUR|aRCR
34	24321 15512	1	   	263.05	DCR|4VULN|2TLV|2AART|1DUR	15TLV|23AART|4567VULN|5BPWR|8DUR|9BEXP|aRCR
35	24321 66132	1	   	263.05	DCR|4VULN|2TLV|2AART|1DUR	15TLV|23AART|4579VULN|5BPWR|6FEWX|8DUR|aRCR
36	24321 15522	1	   	262.95	DCR|4VULN|2TLV|2AART|1DUR	15TLV|23AART|4567VULN|5BPWR|8DUR|9DUST|aRCR
37	24321 36142	1	   	262.95	DCR|4VULN|2TLV|2AART|1DUR	15TLV|23AART|4579VULN|5BPWR|6DUST|8DUR|aRCR
38	21453 61212	8	 * 	262.57	DCR|5VULN|2TLV|2LIT	1aTLV|2RMIN|3ERES|4689aVULN|5aLIT|7RCR|aBPWR
39	25232 32426	8	   	262.36	DCR|3VULN|2TLV|2DUR|1CDMG|1AART	12TLV|36DUR|4CDMG|579VULN|8RCR|aAART
40	25232 32436	9	   	262.36	DCR|3VULN|2TLV|2DUR|1CDMG|1AART	12TLV|36DUR|4CDMG|579VULN|8RCR|aAART
41	25332 32436	8	   	262.36	DCR|3VULN|2TLV|2DUR|1CDMG|1AART	12TLV|357VULN|4CDMG|69DUR|8RCR|aAART
42	26113 15311	2	   	262.22	DCR|3VULN|2DMG|2TLV|1DUR	17TLV|23CGEN|47DMG|5TBNT|67aVULN|7BPWR|8DUR|9RCR
43	26513 15311	3	   	262.22	DCR|3VULN|2DMG|2TLV|1DUR	17TLV|2CGEN|3DMSP|47DMG|5TBNT|67aVULN|7BPWR|8DUR|9RCR
44	25312 15422	6	 * 	261.62	DCR|3VULN|3DMG|3TLV	12aTLV|358VULN|46aDMG|7RCR|9aLWND|aBPWR
45	26623 24321	3	   	261.48	DCR|3VULN|3DMG|3TLV|1SELL	16aTLV|25CGEN|39aVULN|46aDMG|6aBPWR|7RCR|8SELL
46	25312 15412	6	   	261.42	DCR|3VULN|3DMG|3TLV	12aTLV|358VULN|46aDMG|7RCR|9aDUST|aBPWR
47	25212 24236	5	   	261.30	DCR|2VULN|3DUR|2TLV|1DMG|1CDMG	12TLV|368DUR|4DMG|57VULN|9CDMG|aRCR
48	25232 34116	9	   	261.30	DCR|2VULN|3DUR|2TLV|1DMG|1CDMG	12TLV|367DUR|4CDMG|59VULN|8DMG|aRCR
49	25222 61251	10	   	261.01	DCR|3VULN|2TLV|2DUR|1CDMG	12TLV|35DUR|4LIT|689VULN|7RCR|aCDMG
50	25322 31251	10	   	261.01	DCR|3VULN|2TLV|2DUR|1CDMG	12TLV|389VULN|4LIT|56DUR|7RCR|aCDMG
51	25214 16131	9	 * 	260.80	DCR|3DMG|3DUR|1VULN|2TLV|1AART	12TLV|35aDUR|456DMG|5BPWR|7VULN|8RCR|9AART
52	25336 22216	1	   	260.79	DCR|3VULN|3DUR|2TLV	17TLV|267DUR|3BEXP|4LIT|567VULN|67BPWR|8TBNT|9RMIN|aRCR
