0	Index      	 *	Score 	Summary	Detail	
1	11624 23623	 * 	358.64	橙2易伤1双倍秒伤1暴击1时间	1时间2随机矿3暴击4立即金币57易伤6平台8技能9核a双倍秒伤
2	15125 24111	 * 	357.35	橙2易伤1双倍秒伤1等级1时间	1时间2随机技能3基地爆炸48易伤5喷火对愈6核7敌人爆炸9等级a双倍秒伤
3	12223 43333	 * 	357.20	紫2易伤1双倍秒伤1暴击2时间1等级	16时间2基地爆炸3核4掉矿56易伤6序列升级7暴击8等级9核弹a双倍秒伤
4	11116 51216	   	344.99	橙2易伤1双倍秒伤1全技能1时间	1时间2随机矿35雷电45易伤5序列升级6全技能78基地爆炸9核a双倍秒伤
5	11116 52216	   	344.99	橙2易伤1双倍秒伤1全技能1时间	1时间2随机矿35雷电45易伤5序列升级6全技能7低血量敌人8基地爆炸9核a双倍秒伤
6	21116 14216	   	344.99	橙2易伤1双倍秒伤1全技能1时间	1低血量敌人2随机矿35雷电45易伤5序列升级6时间7全技能8基地爆炸9核a双倍秒伤
7	32116 14216	   	344.99	橙2易伤1双倍秒伤1时间1全技能	15矿等2低血量敌人3雷电45易伤5序列升级6时间7全技能8基地爆炸9核a双倍秒伤
8	15125 24131	   	331.14	橙2易伤1双倍秒伤1时间	1时间2随机技能3基地爆炸48易伤5喷火对愈6核7敌人爆炸9随机矿a双倍秒伤
9	12223 43153	   	331.10	紫2易伤1双倍秒伤1暴击2时间	16时间2基地爆炸3核4掉矿56易伤6序列升级7暴击89低血量敌人a双倍秒伤
10	13145 13411	 * 	331.08	橙1双倍秒伤1易伤1暴击1等级1时间	1时间2敌人爆炸3雷电4易伤5赏金塔6矿等7等级8暴击9核a双倍秒伤
11	11224 23623	   	331.00	橙2易伤1双倍秒伤1时间1卖塔	1时间2随机矿3卖塔4立即金币57易伤6平台8技能9核a双倍秒伤
12	12223 43113	   	331.00	紫2易伤1双倍秒伤1暴击2时间	16时间2基地爆炸3核4掉矿56易伤6序列升级7暴击8低血量敌人9风暴减费a双倍秒伤
13	12223 43133	   	331.00	紫2易伤1双倍秒伤1暴击2时间	16时间2基地爆炸3核4掉矿56易伤6序列升级7暴击8低血量敌人9暴雪减费a双倍秒伤
14	12223 43213	   	331.00	紫2易伤1双倍秒伤1暴击2时间	16时间2基地爆炸3核4掉矿56易伤6序列升级7暴击8敌人爆炸9风暴减费a双倍秒伤
15	12223 43233	   	331.00	紫2易伤1双倍秒伤1暴击2时间	16时间2基地爆炸3核4掉矿56易伤6序列升级7暴击8敌人爆炸9暴雪减费a双倍秒伤
16	12223 43633	   	331.00	紫2易伤1双倍秒伤1暴击2时间	16时间2基地爆炸3核4掉矿56易伤6序列升级7暴击8技能9核弹a双倍秒伤
17	13223 41533	   	331.00	紫2易伤1双倍秒伤1暴击2时间	16时间2敌人爆炸3核4掉矿56易伤6序列升级7基地爆炸8风暴减费9暴击a双倍秒伤
18	12312 63533	   	330.98	橙1双倍秒伤1易伤1暴击1等级1时间	1时间25基地爆炸3挖尘4等级6易伤7核8暴雪减费9暴击a双倍秒伤
19	12313 63533	   	330.98	橙1双倍秒伤1易伤1暴击1等级1时间	1时间2基地爆炸3挖尘4等级5双倍矿6易伤7核8暴雪减费9暴击a双倍秒伤
20	14124 23623	   	330.90	橙2易伤1双倍秒伤1时间1卖塔	1时间2卖塔3掉矿4立即金币57易伤6平台8技能9核a双倍秒伤
21	13223 43633	   	330.90	紫2易伤1双倍秒伤1暴击2时间	16时间2敌人爆炸3核4掉矿56易伤6序列升级7加一8风暴减费9暴击a双倍秒伤
22	12314 63533	   	330.88	橙1双倍秒伤1易伤1暴击1等级1时间	1时间2基地爆炸35挖尘4等级6易伤7核8暴雪减费9暴击a双倍秒伤
23	13314 63533	   	330.88	橙1双倍秒伤1易伤1暴击1等级1时间	1时间2敌人爆炸35挖尘4等级6易伤7核8暴雪减费9暴击a双倍秒伤
24	12223 66133	 * 	328.73	紫1双倍秒伤1易伤2伤害1暴击1等级1时间	1时间2基地爆炸3核4掉矿5易伤67伤害8等级9暴击a双倍秒伤
25	13223 66133	   	328.73	紫1双倍秒伤1易伤2伤害1暴击1等级1时间	1时间2敌人爆炸3核4掉矿5易伤67伤害8等级9暴击a双倍秒伤
