0	Index      	 *	Score 	Summary	Detail	
1	12215 54121	 * 	283.93	紫橙3易伤1矿等1暴击1全技能	1赏金塔26a易伤3全技能4矿等57核8暴击9狙击对黄
2	25113 54233	 * 	283.84	橙橙2伤害1易伤1矿等	1金币生成25伤害3双倍秒伤4易伤6a核7矿等8时间9狙击对黄
3	12215 64121	 * 	276.08	紫橙2易伤2矿等1暴击1全技能	1赏金塔2a易伤3全技能46矿等57核8暴击9狙击对黄
4	12215 54333	 * 	275.29	紫橙2易伤1伤害1矿等1全技能	1赏金塔26易伤3全技能4矿等57核8时间9低血量敌人a伤害
5	12215 54323	   	275.19	紫橙2易伤1伤害1矿等1全技能	1赏金塔26易伤3全技能4矿等57核8时间9挖尘a伤害
6	53131 54233	 * 	274.02	橙橙2易伤1矿等1策反	12易伤3双倍秒伤4金币生成5策反6a核7矿等8时间9狙击对黄
7	12215 54223	   	270.13	紫橙3易伤1矿等1全技能1策反	1赏金塔26a易伤3全技能4矿等57核8策反9雷电
8	53251 23125	 * 	266.59	橙橙2易伤1平台	12易伤3立即金币4技能5平台6a核7双倍矿8时间9赏金塔
9	12326 16117	 * 	265.79	紫橙2易伤2攻速1伤害	1赏金塔28易伤38攻速4赏金邻近5a核6双倍秒伤7加一8序列升级9伤害
10	12215 64333	 * 	262.82	紫橙1易伤2矿等1伤害1全技能	1赏金塔2易伤3全技能46矿等57核8时间9低血量敌人a伤害
11	12215 64323	   	262.72	紫橙1易伤2矿等1伤害1全技能	1赏金塔2易伤3全技能46矿等57核8时间9挖尘a伤害
12	12215 64223	   	262.28	紫橙2易伤2矿等1全技能1策反	1赏金塔2a易伤3全技能46矿等57核8策反9雷电
13	53212 33251	   	262.18	橙橙2易伤1暴击	12易伤3立即金币47额外掉落5暴击6基础对愈8雷电9a核
14	53122 33163	   	262.08	橙橙2易伤1暴击	12易伤3双倍秒伤4加农对甲5赏金塔6敌人爆炸7低血量敌人8暴击9a核
15	53122 63163	   	261.98	橙橙2易伤1暴击	12易伤3双倍秒伤4加农对甲5赏金塔6挖尘7低血量敌人8暴击9a核
16	12215 54111	   	260.47	紫橙2易伤1矿等1暴击1全技能	1赏金塔26易伤3全技能4矿等57核8暴击9敌人爆炸a掉矿
17	12215 54112	   	260.47	紫橙2易伤1矿等1暴击1全技能1挖怪	1赏金塔26易伤3全技能4矿等57核8暴击9敌人爆炸a挖怪
18	12215 54113	   	260.47	紫橙2易伤1矿等1暴击1全技能	1赏金塔26易伤3全技能4矿等57核8暴击9敌人爆炸a技能点
19	12215 54122	   	260.47	紫橙2易伤1矿等1暴击1全技能	1赏金塔26易伤3全技能4矿等57核8暴击9狙击对黄a金币生成
20	12215 54131	   	260.47	紫橙2易伤1矿等1暴击1全技能	1赏金塔26易伤3全技能4矿等57核8暴击9最后敌人a掉矿
21	12215 54132	   	260.47	紫橙2易伤1矿等1暴击1全技能1挖怪	1赏金塔26易伤3全技能4矿等57核8暴击9最后敌人a挖怪
22	12215 54133	   	260.47	紫橙2易伤1矿等1暴击1全技能	1赏金塔26易伤3全技能4矿等57核8暴击9最后敌人a技能点
23	12215 54123	   	260.37	紫橙2易伤1矿等1暴击1全技能1卖塔	1赏金塔26易伤3全技能4矿等57核8暴击9狙击对黄a卖塔
24	12653 61212	 * 	259.27	橙4易伤2伤害1矿等	1赏金塔234a易伤5a伤害6矿等7基地爆炸8a金币生成9核a序列升级
25	12653 62312	   	259.27	橙4易伤2伤害1矿等	1赏金塔234a易伤5a伤害6矿等7金币生成8a敌人爆炸9核a序列升级
26	12653 63312	   	259.27	橙4易伤2伤害1矿等	1赏金塔234a易伤5a伤害6矿等7等级8a敌人爆炸9核a序列升级
27	52362 12623	   	258.48	橙橙1易伤1伤害1平台	1易伤2雷电3核弹4敌人爆炸5伤害6随机矿78核9平台a时间
