0	Index      	 *	Score 	Summary	Detail	
1	42112 32364	 * 	289.28	橙橙2伤害1易伤1矿等1暴击	1立即金币2易伤34伤害5金币生成6矿等79核8机枪对壮a暴击
2	42135 32361	 * 	286.18	橙橙2易伤2伤害	1立即金币25易伤36伤害4最后敌人79核8散射对绿a等级
3	42135 32362	   	286.18	橙橙2易伤2伤害	1立即金币25易伤36伤害4最后敌人79核8散射对绿a双倍矿
4	42135 32363	   	286.08	橙橙2易伤2伤害	1立即金币25易伤36伤害4最后敌人79核8散射对绿a技能点
5	42112 32361	   	275.63	橙橙2伤害1易伤1矿等	1立即金币2易伤34伤害5金币生成6矿等79核8机枪对壮a等级
6	42112 32362	   	275.63	橙橙2伤害1易伤1矿等	1立即金币2易伤34伤害5金币生成6矿等79核8机枪对壮a双倍矿
7	42112 32365	   	275.63	橙橙2伤害1易伤1矿等	1a立即金币2易伤34伤害5金币生成6矿等79核8机枪对壮
8	42112 32366	   	275.63	橙橙2伤害1易伤1矿等	1立即金币2易伤34伤害5金币生成6矿等79核8机枪对壮a最后敌人
9	42112 32461	   	275.63	橙橙2伤害1易伤1矿等	1立即金币2易伤34伤害5金币生成6矿等79核8毒液对毒a等级
10	42112 32462	   	275.63	橙橙2伤害1易伤1矿等	1立即金币2易伤34伤害5金币生成6矿等79核8毒液对毒a双倍矿
11	42112 32363	   	275.53	橙橙2伤害1易伤1矿等	1立即金币2易伤34伤害5金币生成6矿等79核8机枪对壮a技能点
12	42112 32463	   	275.53	橙橙2伤害1易伤1矿等	1立即金币2易伤34伤害5金币生成6矿等79核8毒液对毒a技能点
13	31325 15352	   	270.85	橙橙1易伤1矿等1攻速1全技能1平台	1平台2赏金塔3易伤4掉矿5全技能6加一78核9矿等a攻速
14	32325 15352	   	270.85	橙橙1易伤1矿等1攻速1全技能1平台	1平台2赏金邻近3易伤4掉矿5全技能6加一78核9矿等a攻速
15	42135 32234	 * 	263.35	橙3易伤3伤害2攻速	1立即金币25a易伤368伤害4a最后敌人7核9a攻速a序列升级
16	31325 15322	   	261.63	橙橙1易伤1暴击1全技能1平台	1平台2赏金塔3易伤4掉矿5全技能6加一78核9暴击a时间
17	32325 15322	   	261.63	橙橙1易伤1暴击1全技能1平台	1平台2赏金邻近3易伤4掉矿5全技能6加一78核9暴击a时间
18	42133 35272	 * 	260.47	橙2易伤3伤害2矿等1攻速	1立即金币27易伤379伤害4最后敌人5攻速67矿等7序列升级8加一a核
19	31325 15325	   	260.26	橙橙1易伤1暴击1全技能1平台	1平台2赏金塔3易伤4掉矿5全技能6加一78核9暴击a核弹
20	32325 15325	   	260.26	橙橙1易伤1暴击1全技能1平台	1平台2赏金邻近3易伤4掉矿5全技能6加一78核9暴击a核弹
21	34642 22312	   	259.93	橙橙1易伤1伤害1全技能1平台	1平台2金币生成3赏金邻近4易伤5最后敌人6技能78核9伤害a全技能
22	36353 62312	   	259.83	橙橙1易伤1伤害1全技能1平台	1平台2最后敌人3技能4赏金塔5易伤6掉矿78核9伤害a全技能
