0	Index      	 *	Score 	Summary	Detail	
1	64136 32223	 * 	303.11	橙3易伤2等级2伤害1全技能	13a易伤2最后敌人4全技能5a伤害6核7技能点8激光对冰9a等级a序列升级
2	14421 26313	 * 	295.40	紫3等级3易伤3时间	1雷电减费2随机矿3双倍矿4核59a易伤6激光对冰79a时间89a等级9a序列升级
3	14521 26313	   	295.40	紫3等级3易伤3时间	1雷电减费2随机矿3立即金币4核59a易伤6激光对冰79a时间89a等级9a序列升级
4	64133 31241	 * 	290.60	橙4易伤1等级2毒气减费1全技能2策反	1379易伤2最后敌人4全技能59策反6核89毒气减费9序列升级a等级
5	62111 52313	 * 	288.07	橙3等级3易伤1毒气减费	19a易伤2随机矿39a加农对直升4毒气减费5雷电减费6基地爆炸7核89a等级9a序列升级
6	62111 42313	   	287.97	橙3等级3易伤1毒气减费	19a易伤2随机矿39a加农对直升4毒气减费5雷电减费6挖尘7核89a等级9a序列升级
7	24132 33624	 * 	280.28	橙橙1等级1易伤2随机技能1全技能2策反	1金币生成25随机技能3全技能46策反7等级8易伤9a核
8	34132 33624	   	280.18	橙橙1等级1易伤2随机技能1全技能2策反	1掉矿25随机技能3全技能46策反7等级8易伤9a核
9	64136 31223	   	279.28	橙3易伤1等级1毒气减费1伤害1全技能	137易伤2最后敌人4全技能5伤害6核8毒气减费9雷电a等级
10	64136 31231	   	279.28	橙3易伤1等级1毒气减费1伤害1全技能	137易伤2最后敌人4全技能5伤害6核8毒气减费9双倍矿a等级
11	24152 33124	 * 	278.89	橙橙2等级1烈焰减费1全技能	1金币生成2随机技能3全技能4最后敌人5烈焰减费67等级8策反9a核
12	34152 33124	   	278.79	橙橙2等级1烈焰减费1全技能	1掉矿2随机技能3全技能4最后敌人5烈焰减费67等级8策反9a核
13	64336 32223	   	278.41	橙2等级2易伤2伤害1全技能	1a易伤2最后敌人3双倍矿4全技能5a伤害6核7技能点8激光对冰9a等级a序列升级
14	62163 12313	   	277.56	橙3等级3易伤	19a易伤2随机矿39a加农对直升4时间5暴雪减费6雷电减费7核89a等级9a序列升级
15	64133 32223	   	275.69	橙3易伤2等级1全技能2策反	13a易伤2最后敌人4全技能5a策反6核7技能点8激光对冰9a等级a序列升级
16	64121 12313	   	274.32	橙3易伤2等级1毒气减费	139易伤29最后敌人4激光对冰5掉矿6雷电减费7核89等级9序列升级a毒气减费
17	65121 12313	   	274.32	橙3易伤2等级1毒气减费	139易伤29基地爆炸4激光对冰5掉矿6雷电减费7核89等级9序列升级a毒气减费
18	15622 31483	   	274.22	紫3易伤2等级1伤害	1雷电减费2基地爆炸3加一4核5a等级678易伤9伤害
