0	Index      	 *	Score 	Summary	Detail	
1	42431 41221	 * 	213.87	ACR|3VULN|2DMG|3ZMB|1AART	1NUKE|2RCR|3AART|48aVULN|5DUST|68DMG|789ZMB|8BPWR
2	42431 41122	 * 	209.67	ACR|2AART|2VULN|2DMG|3ZMB	1NUKE|2RCR|38AART|4aVULN|5DUST|6aDMG|79aZMB|aBPWR
3	42433 42332	 * 	201.34	ACR|3VULN|3DMG|1AART	1NUKE|2RCR|3AART|47aVULN|578aLHND|679DMG|7aBPWR
4	42431 42322	   	201.14	ACR|3VULN|3DMG|1AART	1NUKE|2RCR|3AART|47aVULN|57DUST|67aDMG|7aBPWR|8MBVNT|9aLHND
5	42143 21312	 * 	199.14	ACR|3DMG|2VULN|1AART|2ZMB	1NUKE|2RCR|36aDMG|46ZMB|5AART|6aBPWR|7aDUST|8RCVC|9aVULN
6	42143 23512	   	199.14	ACR|3DMG|2VULN|1AART|2ZMB	1NUKE|2RCR|36aDMG|46ZMB|5AART|6aBPWR|7DMSP|8aDUST|9aVULN
7	42431 41223	   	198.22	ACR|2VULN|2DMG|3ZMB|1AART	1NUKE|2RCR|3AART|48VULN|5DUST|68DMG|789ZMB|8BPWR|aLWND
8	42434 41224	   	198.22	ACR|2VULN|2DMG|3ZMB|1AART	1NUKE|2RCR|3AART|48VULN|5MBVNT|68DMG|78aZMB|8BPWR|9RMIN
9	42143 21131	   	196.92	ACR|2VULN|2DMG|3ZMB|1AART	1NUKE|2RCR|36DMG|468ZMB|5AART|6BPWR|7DUST|9aVULN
10	42434 42434	   	196.39	ACR|3VULN|2DMG|1AART|1ZMB	1NUKE|2RCR|3AART|47aVULN|5MBVNT|67DMG|7BPWR|8LIT|9ZMB
11	42163 34112	   	195.72	ACR|2VULN|2DMG|3ZMB|1AART	1NUKE|2RCR|3aDMG|46DUST|58aZMB|7AART|9aVULN|aBPWR
12	42161 52212	 * 	195.63	ACR|3DMG|2AART|2VULN	1NUKE|2RCR|37aDMG|4aDUST|56AART|8RMIN|9aVULN|aBPWR
13	42143 21531	 * 	195.09	ACR|3DMG|3ZMB|1AART|1VULN	1NUKE|2RCR|368DMG|468ZMB|5AART|68BPWR|78DUST|9VULN|aLHND
14	42143 21533	   	195.09	ACR|3DMG|3ZMB|1AART|1VULN	1NUKE|2RCR|368DMG|468ZMB|5AART|68BPWR|78DUST|9VULN|aBELT
15	42143 21532	   	194.99	ACR|3DMG|3ZMB|1AART|1VULN	1NUKE|2RCR|368DMG|468ZMB|5AART|68BPWR|78DUST|9VULN|aLEGI
16	42434 42432	   	194.39	ACR|2VULN|2DMG|1AART|1CDMG|1ZMB	1NUKE|2RCR|3AART|47VULN|5MBVNT|67DMG|7BPWR|8LIT|9ZMB|aCDMG
