0	Index      	 *	Score 	Summary	Detail	
1	33336 11552	 * 	195.93	DCR|3VULN|1AART|1DMG|2ZMB|1CDMG|1ASPD	1ASPD|2RCVC|356VULN|45ZMB|5BPWR|7DMG|8RCR|9AART|aCDMG
2	33323 56521	 * 	191.45	ACR|2VULN|1AART|3ASPD|1DMG|2DUR|1ZMB	157ASPD|2RCVC|37VULN|4RCR|67DUR|7BPWR|8AART|9DMG|aZMB
3	51232 21151	 * 	189.35	DCR|3VULN|2DMG|1AART|1DUR|1ASPD	1MGNLIT|2DUR|3AART|4aDMG|568VULN|7ASPD|9RCR
4	51232 31151	 * 	189.35	DCR|3DMG|2VULN|1AART|1DUR|1ASPD	1MGNLIT|2DUR|3AART|46aDMG|58VULN|7ASPD|9RCR
5	33336 11553	   	189.22	DCR|3VULN|1AART|1DMG|2ZMB|1DUR|1ASPD	1ASPD|2RCVC|356VULN|45ZMB|5BPWR|7DMG|8RCR|9AART|aDUR
6	51232 21331	 * 	187.54	DCR|2AART|2VULN|2DMG|1DUR|1ASPD	1MGNLIT|2DUR|39AART|4aDMG|56VULN|7ASPD|8RCR
7	23431 51132	 * 	187.07	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	17CGEN|2RCVC|3TLV|47VULN|5AART|67DMG|7BPWR|8ZMB|9RCR|aCDMG
8	51232 31331	 * 	185.60	DCR|3DMG|2AART|1VULN|1DUR|1ASPD	1MGNLIT|2DUR|39AART|46aDMG|5VULN|7ASPD|8RCR
9	33336 16431	 * 	185.09	DCR|4VULN|3ZMB|2ASPD|2DUR	17ASPD|2RCVC|3567VULN|457ZMB|57BPWR|8RCR|9aDUR
10	53113 11535	 * 	183.77	ACR|3VULN|3DMG|2DUR	1aMGNLIT|2RMIN|3RCR|479DMG|5aDUR|68aVULN|aBPWR
11	24431 51132	   	183.37	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	17CGEN|2DMSP|3TLV|47VULN|5AART|67DMG|7BPWR|8ZMB|9RCR|aCDMG
12	41312 24143	   	183.17	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1RMIN|258VULN|3BASICY|4DMG|6RCR|7AART|9CDMG|aDUR
13	41312 24311	   	182.46	DCR|2VULN|2DMG|1AART|1ZMB|1ASPD	1RMIN|25VULN|3BASICY|4aDMG|6RCR|7AART|8ZMB|9ASPD
