0	Index      	 *	Score 	Summary	Detail	
1	36621 31136	 * 	205.80	ACR|4VULN|3DMG|2CDMG	17aFEWX|27aDMG|3RCR|4CGEN|58CDMG|679aVULN|7aBPWR
2	14221 31364	 * 	204.97	ACR|2AART|2DMG|2VULN|2ZMB|2DUR	12AART|39DUR|4RCR|59ZMB|6aVULN|7LHND|89DMG|9BPWR
3	14221 33364	   	204.97	ACR|2AART|2DMG|2VULN|2ZMB|2DUR	12AART|39DUR|4RCR|59ZMB|6aVULN|7LWND|89DMG|9BPWR
4	14221 31365	   	201.03	ACR|2AART|2DMG|1VULN|2ZMB|1CDMG|2DUR	12AART|39DUR|4RCR|59ZMB|6VULN|7LHND|89DMG|9BPWR|aCDMG
5	14221 33365	   	201.03	ACR|2AART|2DMG|1VULN|2ZMB|1CDMG|2DUR	12AART|39DUR|4RCR|59ZMB|6VULN|7LWND|89DMG|9BPWR|aCDMG
6	36621 31336	   	199.49	ACR|4VULN|3DMG|1CDMG	17aFEWX|27aDMG|3RCR|48CGEN|5CDMG|679aVULN|7aBPWR
7	14221 31354	   	195.62	ACR|2AART|2VULN|2DMG|1ZMB|1DUR	12AART|3DUR|4RCR|5ZMB|6aVULN|7LHND|89DMG
8	14221 33354	   	195.62	ACR|2AART|2VULN|2DMG|1ZMB|1DUR	12AART|3DUR|4RCR|5ZMB|6aVULN|7LWND|89DMG
9	13146 33314	 * 	195.12	DCR|3VULN|2DMG|1AART|1CDMG	1AART|258VULN|3LSRICY|4LIT|6CDMG|7RCR|9aDMG
10	36621 31533	   	194.64	ACR|4VULN|2DMG|1CDMG|1ZMB	17FEWX|27DMG|3RCR|4CGEN|5CDMG|679aVULN|7BPWR|8ZMB
11	14225 12126	 * 	193.59	ACR|3VULN|2AART|1DMG|1ZMB|1DUR	12AART|3DUR|4RCR|568VULN|7DUST|9ZMB|aDMG
12	12621 31364	   	193.52	ACR|2VULN|2DMG|1AART|2ZMB|2DUR	1AART|29DUR|3DMSP|4RCR|59ZMB|6aVULN|7LHND|89DMG|9BPWR
