0	Index      	 *	Score 	Summary	Detail	
1	13163 31514	 * 	190.67	DCR|3VULN|2DMG|1AART|1ZMB	1BEXP|2ZMB|3LWND|4AART|5aDMG|689VULN|7RCR
2	22461 11533	   	186.81	DCR|3VULN|2DMG|1AART|1DUR	1aLWND|2BEXP|3aDMG|4AART|5CGEN|6DUR|7RCR|89aVULN|aBPWR
3	21363 41216	 * 	184.67	DCR|3VULN|1AART|1DMG|2ASPD|1DUR	1aLWND|2aASPD|3DUR|4AART|5DMG|69aVULN|7RCR|8RCVC|aBPWR
4	35463 23213	 * 	184.21	DCR|3DMG|2VULN|1AART|1DUR	1aDUST|2LHND|35aDMG|4AART|6CGEN|7DUR|8RCR|9aVULN|aBPWR
5	21363 41512	   	182.57	DCR|3VULN|1AART|1DMG|2ASPD|1DUR	1LWND|2aASPD|3DUR|4AART|5DMG|689VULN|7RCR
6	13163 31512	   	180.02	DCR|3VULN|1AART|1DMG|1ZMB|1ASPD	1BEXP|2ZMB|3LWND|4AART|5DMG|689VULN|7RCR|aASPD
7	21363 41214	   	179.80	DCR|2VULN|2DMG|1AART|1DUR|1ASPD	1LWND|2ASPD|3DUR|4AART|5aDMG|69VULN|7RCR|8RCVC
8	22462 31533	   	179.77	DCR|3VULN|2DMG|1AART	1aLWND|2BEXP|3aDMG|4AART|5DUST|6CGEN|7RCR|89aVULN|aBPWR
9	22462 61133	   	179.67	DCR|3VULN|2DMG|1AART	1aLWND|2BEXP|3aDMG|4AART|5DUST|6TLV|7RCR|89aVULN|aBPWR
10	11163 41216	   	177.73	DCR|3VULN|1AART|1DMG|2ASPD	1aBEXP|2aASPD|3LWND|4AART|5DMG|69aVULN|7RCR|8RCVC|aBPWR
11	21263 41216	   	177.73	DCR|3VULN|1AART|1DMG|2ASPD	1aLWND|2aASPD|3BEXP|4AART|5DMG|69aVULN|7RCR|8RCVC|aBPWR
12	31163 41216	   	177.53	DCR|3VULN|1AART|1DMG|2ASPD	1aDUST|2aASPD|3LWND|4AART|5DMG|69aVULN|7RCR|8RCVC|aBPWR
13	15463 13213	   	177.37	DCR|3DMG|2VULN|1AART	1aBEXP|2LHND|35aDMG|4AART|6LWND|7ERES|8RCR|9aVULN|aBPWR
14	22463 13213	   	177.37	DCR|3DMG|2VULN|1AART	1aLWND|2BEXP|35aDMG|4AART|6LHND|7ERES|8RCR|9aVULN|aBPWR
15	62463 13213	   	177.37	DCR|3DMG|2VULN|1AART	1aLHND|2BEXP|35aDMG|4AART|6LWND|7ERES|8RCR|9aVULN|aBPWR
16	26463 13213	   	177.27	DCR|3DMG|2VULN|1AART	1aLWND|2DUST|35aDMG|4AART|6LHND|7ERES|8RCR|9aVULN|aBPWR
17	35463 22213	   	177.27	DCR|3DMG|2VULN|1AART	1aDUST|2LHND|35aDMG|4AART|6CGEN|7BEXP|8RCR|9aVULN|aBPWR
18	35463 13213	   	177.17	DCR|3DMG|2VULN|1AART	1aDUST|2LHND|35aDMG|4AART|6LWND|7ERES|8RCR|9aVULN|aBPWR
19	13163 31214	   	176.92	DCR|2VULN|2DMG|1AART|1ZMB	1BEXP|2ZMB|3LWND|4AART|5aDMG|69VULN|7RCR|8RCVC
20	25431 43213	   	176.87	DCR|3DMG|2VULN|1AART	1aLWND|24LHND|34aDMG|4aBPWR|5AART|6BEXP|7ERES|8RCR|9aVULN
21	25431 33213	   	176.77	DCR|3DMG|2VULN|1AART	1aLWND|24LHND|34aDMG|4aBPWR|5AART|6DUST|7ERES|8RCR|9aVULN
22	25461 33213	   	176.67	DCR|3DMG|2VULN|1AART	1aLWND|2LHND|34aDMG|5AART|6DUST|7ERES|8RCR|9aVULN|aBPWR
23	22461 31633	   	176.45	DCR|2VULN|2DMG|1AART|2DUR	1aLWND|2BEXP|3aDMG|4AART|5CGEN|69VULN|7RCR|8aDUR|aBPWR
24	21363 41335	   	175.96	DCR|3VULN|1AART|1DMG|1ASPD|1DUR	1LWND|2ASPD|3DUR|4AART|5DMG|69aVULN|7RCR|8LHND
25	21363 41432	   	175.96	DCR|3VULN|1AART|1DMG|1DUR|1ASPD	1LWND|2ASPD|3DUR|4AART|5DMG|69aVULN|7RCR|8LIT
26	21363 41511	   	175.96	DCR|3VULN|1AART|1DMG|1DUR|1ASPD	1LWND|2ASPD|3DUR|4AART|5DMG|689VULN|7RCR|aRPLT
27	21363 41513	   	175.96	DCR|3VULN|1AART|1DMG|1ASPD|1DUR	1LWND|2ASPD|3DUR|4AART|5DMG|689VULN|7RCR|aCGEN
28	21363 51135	   	175.96	DCR|3VULN|1AART|1DMG|1ASPD|1DUR	1LWND|2ASPD|3DUR|4AART|5DMG|6LHND|7RCR|89aVULN
29	11163 41512	   	175.63	DCR|3VULN|1AART|1DMG|2ASPD	1BEXP|2aASPD|3LWND|4AART|5DMG|689VULN|7RCR
30	21263 41512	   	175.63	DCR|3VULN|1AART|1DMG|2ASPD	1LWND|2aASPD|3BEXP|4AART|5DMG|689VULN|7RCR
31	31163 41512	   	175.53	DCR|3VULN|1AART|1DMG|2ASPD	1DUST|2aASPD|3LWND|4AART|5DMG|689VULN|7RCR
32	15463 31212	 * 	175.16	DCR|2VULN|2DMG|1AART|2ASPD	1BEXP|2LHND|35DMG|4AART|69VULN|7aASPD|8RCR
33	61263 26212	   	175.16	DCR|2VULN|2DMG|1AART|2ASPD	1LHND|2aASPD|3FEWX|4AART|56DMG|79VULN|8RCR
34	62463 31212	   	175.16	DCR|2VULN|2DMG|1AART|2ASPD	1LHND|2BEXP|35DMG|4AART|69VULN|7aASPD|8RCR
35	35463 31212	   	175.06	DCR|2VULN|2DMG|1AART|2ASPD	1DUST|2LHND|35DMG|4AART|69VULN|7aASPD|8RCR
36	13163 31563	   	175.02	DCR|2VULN|2DMG|1AART|1ZMB	1BEXP|2ZMB|3LWND|4AART|5aDMG|68VULN|7RCR|9CGEN
37	13163 31135	   	174.92	DCR|2VULN|2DMG|1AART|1ZMB	1BEXP|2ZMB|3LWND|4AART|59DMG|6aVULN|7RCR|8TLV
38	46262 13112	 * 	174.82	DCR|3VULN|3CDMG|1DMG|1DUR	1RCVC|247CDMG|37LWND|579VULN|6RCR|7BPWR|8DMG|aDUR
39	46362 13112	   	174.82	DCR|3VULN|3CDMG|1DMG|1DUR	1RCVC|247CDMG|37LHND|579VULN|6RCR|7BPWR|8DMG|aDUR
40	13633 14612	 * 	174.64	DCR|3VULN|1AART|3ASPD|2ZMB	136BEXP|29ZMB|49aVULN|569ASPD|69BPWR|7RCR|8AART
41	15461 13213	   	174.05	DCR|2VULN|2DMG|1AART|2DUR	1aBEXP|2LHND|3aDMG|4AART|5CGEN|67DUR|8RCR|9aVULN|aBPWR
42	22461 13613	   	174.05	DCR|2VULN|2DMG|1AART|2DUR	1aLWND|2BEXP|3aDMG|4AART|5CGEN|67DUR|8RCR|9aVULN|aBPWR
43	62461 13213	   	174.05	DCR|2VULN|2DMG|1AART|2DUR	1aLHND|2BEXP|3aDMG|4AART|5CGEN|67DUR|8RCR|9aVULN|aBPWR
44	11163 41531	 * 	173.95	DCR|2VULN|1AART|1DMG|1CDMG|1DUR|1ASPD	1BEXP|2ASPD|3LWND|4AART|5DMG|68VULN|7RCR|9DUR|aCDMG
45	21263 41531	   	173.95	DCR|2VULN|1AART|1DMG|1CDMG|1DUR|1ASPD	1LWND|2ASPD|3BEXP|4AART|5DMG|68VULN|7RCR|9DUR|aCDMG
