0	Index      	 *	Score 	Summary	Detail	
1	34163 51122	 * 	304.97	紫橙2易伤1等级1毒气减费	1金币生成2等级3雷电4a核5加农对毒68易伤7时间9毒气减费
2	15152 26332	 * 	304.18	橙2等级2易伤2伤害1烈焰减费	18伤害2基地爆炸3立即金币48易伤5爆破对冰6烈焰减费78等级8序列升级9时间a核
3	34326 21236	 * 	300.32	橙3等级3易伤3攻速1挖怪	1金币生成289等级3低血量敌人4时间589易伤6挖怪789攻速89序列升级a核
4	11123 43435	   	299.87	紫橙1等级1易伤1伤害1暴击1全技能	1伤害2时间3额外掉落4暴击59核6全技能7随机矿8等级a易伤
5	15152 26312	   	294.51	橙2等级2易伤2伤害1烈焰减费	18伤害2基地爆炸3立即金币48易伤5爆破对冰6烈焰减费78等级8序列升级9敌人爆炸a核
6	34163 51132	   	293.95	紫橙2易伤1等级2时间	1金币生成2等级3雷电4a核5加农对毒68易伤79时间
7	13152 26332	   	288.87	橙2等级2易伤2伤害1烈焰减费1挖怪	18伤害2挖怪3立即金币48易伤5爆破对冰6烈焰减费78等级8序列升级9时间a核
8	31326 32156	 * 	288.19	橙橙1等级1易伤2攻速	1金币生成2时间3双倍矿4等级59攻速6随机技能7易伤8a核
9	31226 32156	   	288.09	橙橙1等级1易伤2攻速	1金币生成2时间3风暴减费4等级59攻速6随机技能7易伤8a核
10	14553 31232	   	283.81	橙2等级2易伤2伤害	15伤害24等级3挖尘68易伤7爆破对冰9时间a核
11	11215 52116	 * 	282.82	橙橙2易伤1烈焰减费1伤害2时间	1伤害29时间3风暴减费4随机技能59易伤6烈焰减费79低血量敌人8a核9序列升级
12	11123 43432	 * 	279.70	紫橙1等级2伤害1暴击1全技能	1a伤害2时间3额外掉落4暴击59核6全技能7随机矿8等级
13	13152 26312	   	279.21	橙2等级2易伤2伤害1烈焰减费1挖怪	18伤害2挖怪3立即金币48易伤5爆破对冰6烈焰减费78等级8序列升级9敌人爆炸a核
14	15254 22324	   	278.90	橙橙1等级1易伤1伤害1攻速	1伤害2基地爆炸3基础对冰4防空对愈5易伤6攻速7加一89核a等级
15	14253 32116	 * 	278.73	橙橙2等级2伤害	19伤害24等级39敌人爆炸5金币生成6随机技能79低血量敌人8a核9序列升级
16	33326 32156	   	278.53	橙橙1等级1易伤2攻速	1金币生成2敌人爆炸3双倍矿4等级59攻速6随机技能7易伤8a核
17	34162 13133	 * 	278.53	紫橙2等级1易伤	1金币生成2a等级3雷电49核5随机矿6随机技能7双倍秒伤8易伤
18	33226 32156	   	278.43	橙橙1等级1易伤2攻速	1金币生成2敌人爆炸3风暴减费4等级59攻速6随机技能7易伤8a核
19	63222 42523	   	276.78	橙2等级2易伤2烈焰减费1暴击1攻速1卖塔	18易伤2技能3雷电减费48等级5暴击6攻速78烈焰减费8序列升级9卖塔a核
20	11123 55125	 * 	275.42	紫2易伤1等级2伤害1暴击1全技能	19伤害2时间3额外掉落4暴击5核6a易伤7等级8全技能
