0	Index      	 *	Score 	Summary	Detail	
1	41311 32233	 * 	316.47	DCR|3VULN|2TLV|1LIT|1MLV|1DMG	139VULN|23TLV|3BPWR|4LIT|5RPLT|6ERES|7DMG|8RCR|aMLV
2	41311 14235	 * 	310.04	DCR|5VULN|2TLV|1LIT	1379aVULN|23TLV|3BPWR|4LIT|5RPLT|6DUR|8RCR
3	41313 61215	 * 	309.00	DCR|4VULN|3TLV|2LIT	1378VULN|237TLV|37BPWR|47LIT|5RMIN|6AART|9TBNT|aRCR
4	41331 52325	 * 	307.29	DCR|DCR|3VULN|2TLV|2SELL	13aVULN|23TLV|3BPWR|4LWND|5AAC|69RCR|78SELL
5	41311 14213	   	306.17	DCR|3VULN|2TLV|1LIT|1MLV	137VULN|23TLV|3BPWR|4LIT|5RPLT|6DUR|8RCR|9LHND|aMLV
6	41311 14253	   	306.17	DCR|3VULN|2TLV|1LIT|1MLV	137VULN|23TLV|3BPWR|4LIT|5RPLT|6DUR|8RCR|9BEXP|aMLV
7	41311 11343	   	306.17	DCR|3VULN|2TLV|1LIT|1MLV	139VULN|23TLV|3BPWR|4LIT|5RPLT|6DUR|7BEXP|8RCR|aMLV
8	41311 14223	   	306.07	DCR|3VULN|2TLV|1LIT|1MLV	137VULN|23TLV|3BPWR|4LIT|5RPLT|6DUR|8RCR|9DUST|aMLV
9	32122 31461	 * 	305.48	DCR|DCR|1TLV|1LIT|1VULN|1MLV	1LHND|2LIT|3ERES|4VULN|5DUR|6TLV|7BBNT|8MLV|9aRCR
10	41323 42322	 * 	305.46	DCR|3VULN|3TLV|2MLV|1DMG	135VULN|236TLV|3BPWR|4RCVC|7DMG|89MLV|aRCR
11	41363 42322	   	305.36	DCR|3VULN|3TLV|2MLV|1DMG	135VULN|236TLV|3BPWR|4AEFBLL|7DMG|89MLV|aRCR
12	13433 23123	   	305.34	DCR|2VULN|2TLV|1LIT|1MLV|1DMG|1CDMG	1TBNT|2LWND|35VULN|45TLV|5BPWR|6CDMG|7RCR|8LIT|9DMG|aMLV
13	41335 23123	   	305.34	DCR|2VULN|2TLV|1LIT|1MLV|1DMG|1CDMG	13VULN|23TLV|3BPWR|4LWND|5TBNT|6CDMG|7RCR|8LIT|9DMG|aMLV
14	24631 64332	 * 	304.65	DCR|DCR|2LIT|1TLV|1VULN|1CDMG	18LIT|2MULHEA|3TLV|4CDMG|5BEXP|6MBVNT|79RCR|aVULN
15	31631 54121	 * 	303.85	DCR|DCR|2VULN|2TLV|1RPLT	1LHND|28TLV|3RPLT|45VULN|69RCR|7AAC|aRCVC
16	31631 54122	   	303.85	DCR|DCR|2VULN|2TLV|1RPLT	1LHND|28TLV|3RPLT|45VULN|69RCR|7AAC|aBEXP
17	31631 54123	   	303.75	DCR|DCR|2VULN|2TLV|1RPLT	1LHND|28TLV|3RPLT|45VULN|69RCR|7AAC|aDLOT
18	41311 23532	 * 	302.99	DCR|2VULN|2TLV|2LIT|1MLV	13VULN|23TLV|3BPWR|47LIT|5RPLT|6BELT|8AART|9MLV|aRCR
19	16261 31161	   	301.48	DCR|DCR|1TLV|1LIT|1VULN|1MLV	1TBNT|2LIT|3LHND|4MLV|5VULN|6DUR|7CGEN|8TLV|9aRCR
20	41242 31243	   	301.02	DCR|4VULN|2TLV|1LIT|2DUR	189aVULN|28TLV|3LWND|4LIT|58DUR|6RPLT|7RCR|8BPWR
21	41332 34235	   	300.38	DCR|5VULN|2TLV|1LIT	1379aVULN|23TLV|3BPWR|4LWND|5LIT|6RPLT|8RCR
22	42324 32362	   	299.58	DCR|2VULN|2TLV|1LIT|1MLV|1DMG|1ASPD	14VULN|2LIT|3MLV|5MDPS|6aTLV|7DMG|8RCR|9ASPD
23	41311 54213	   	296.51	DCR|3VULN|2TLV|1LIT|1MLV	137VULN|23TLV|3BPWR|4LIT|5RPLT|6FEWX|8RCR|9LHND|aMLV
24	41312 34223	   	296.51	DCR|3VULN|2TLV|1LIT|1MLV	137VULN|23TLV|3BPWR|4LIT|5LHND|6RPLT|8RCR|9FEWX|aMLV
25	41312 34253	   	296.51	DCR|3VULN|2TLV|1LIT|1MLV	137VULN|23TLV|3BPWR|4LIT|5LHND|6RPLT|8RCR|9BEXP|aMLV
