0	Index      	 *	Score 	Summary	Detail	
1	12535 11216	 * 	287.27	DCR|2LIT|3MLV|3VULN	134MLV|2RMIN|4aBPWR|5BELT|68aVULN|7aLIT|9RCR
2	23351 31136	 * 	285.47	DCR|2LIT|3VULN|1MLV|1DMG|1DUR	149VULN|2DMG|3DUR|58LIT|6BEXP|7RCR|aMLV
3	22532 41134	   	285.47	DCR|2LIT|3VULN|1MLV|1DMG	19aVULN|2DUST|3DMG|48LIT|5MLV|6CGEN|7RCR
4	15213 26351	 * 	284.67	DCR|2LIT|4VULN|1MLV	1MLV|2VENTOX|369aVULN|4FRZICY|58LIT|7RCR
5	23231 46161	   	283.02	DCR|2LIT|2VULN|1MLV|1DMG|1AART	18VULN|2DMG|3DMSP|4MLV|57LIT|6ZMB|9RCR|aAART
6	22532 31164	 * 	280.82	DCR|2LIT|2VULN|2DMG|1MLV	1aVULN|2DUST|39DMG|48LIT|5MLV|6ERES|7RCR
7	22532 41334	 * 	280.18	DCR|3VULN|1LIT|2DMG|1MLV	19aVULN|2DUST|38DMG|4LIT|5MLV|6CGEN|7RCR
8	23351 31336	   	280.18	DCR|3VULN|1LIT|2DMG|1MLV|1DUR	149VULN|28DMG|3DUR|5LIT|6BEXP|7RCR|aMLV
9	14631 31122	 * 	279.98	DCR|3LIT|2MLV|2VULN	1aMLV|2aDUST|3LHND|468LIT|5LWND|7RCR|9aVULN|aBPWR
10	14635 31132	   	279.98	DCR|3LIT|2MLV|2VULN	1aMLV|2aDUST|3LHND|468LIT|5BEXP|7RCR|9aVULN|aBPWR
11	15255 23133	   	279.15	DCR|2LIT|2MLV|3VULN	15MLV|2VENTOX|369VULN|47LIT|8RCVC|aRCR
12	23231 33461	   	277.73	DCR|1LIT|2VULN|2DMG|1MLV|1AART	17VULN|26DMG|3DMSP|4MLV|5LIT|8ZMB|9RCR|aAART
13	23231 42614	   	277.40	DCR|1LIT|2VULN|1MLV|1DMG|1AART|1ASPD	18VULN|2DMG|3DMSP|4MLV|5LIT|6ZMB|7RCR|9ASPD|aAART
14	23231 33464	 * 	277.14	DCR|1LIT|2VULN|3DMG|1MLV	17VULN|26aDMG|3DMSP|4MLV|5LIT|8ZMB|9RCR
15	22532 31134	   	276.88	DCR|2LIT|2VULN|1MLV|1DMG|1CDMG	1aVULN|2DUST|3DMG|48LIT|5MLV|6ERES|7RCR|9CDMG
16	24236 21115	 * 	276.00	DCR|4VULN|3DMG|1MLV	1679VULN|2BEXP|37SPLREG|4RMIN|567DMG|67BPWR|8MLV|aRCR
17	23231 33465	   	275.13	DCR|1LIT|2VULN|2DMG|1MLV|1ASPD	17VULN|26DMG|3DMSP|4MLV|5LIT|8ZMB|9RCR|aASPD
18	23421 33461	   	274.07	DCR|3VULN|1LIT|2DMG|1ASPD|2ZMB	178VULN|28DMG|3ASPD|4LHND|58ZMB|6RCR|8BPWR|9LIT|aRPLT
19	23421 33463	   	274.07	DCR|3VULN|1LIT|2DMG|1ASPD|2ZMB	178VULN|28DMG|3ASPD|4LHND|58ZMB|6RCR|8BPWR|9LIT|aFEWX
20	23421 33462	   	273.97	DCR|3VULN|1LIT|2DMG|1ASPD|2ZMB	178VULN|28DMG|3ASPD|4LHND|58ZMB|6RCR|8BPWR|9LIT|aDUST
21	21551 21134	 * 	272.64	DCR|2LIT|4VULN|1DMG	149aVULN|2LHND|3DMG|58LIT|6LWND|7RCR
22	21551 31134	   	272.64	DCR|2LIT|4VULN|1DMG	149aVULN|2LHND|3DMG|58LIT|6FEWX|7RCR
23	23651 21134	   	272.64	DCR|2LIT|4VULN|1DMG	149aVULN|2DMG|3LHND|58LIT|6LWND|7RCR
24	23651 31134	   	272.64	DCR|2LIT|4VULN|1DMG	149aVULN|2DMG|3LHND|58LIT|6FEWX|7RCR
25	21551 11134	   	272.54	DCR|2LIT|4VULN|1DMG|1DUR	149aVULN|2LHND|3DMG|58LIT|6DUR|7RCR
26	22551 21134	   	272.54	DCR|2LIT|4VULN|1DMG	149aVULN|2DUST|3DMG|58LIT|6LWND|7RCR
27	22551 31134	   	272.54	DCR|2LIT|4VULN|1DMG	149aVULN|2DUST|3DMG|58LIT|6FEWX|7RCR
28	23151 21134	   	272.54	DCR|2LIT|4VULN|1DMG	149aVULN|2DMG|3LEGI|58LIT|6LWND|7RCR
29	23151 31134	   	272.54	DCR|2LIT|4VULN|1DMG	149aVULN|2DMG|3LEGI|58LIT|6FEWX|7RCR
30	23351 31134	   	272.54	DCR|2LIT|4VULN|1DMG|1DUR	149aVULN|2DMG|3DUR|58LIT|6BEXP|7RCR
31	23551 11134	   	272.54	DCR|2LIT|4VULN|1DMG|1DUR	149aVULN|2DMG|3LWND|58LIT|6DUR|7RCR
32	23651 11134	   	272.54	DCR|2LIT|4VULN|1DMG|1DUR	149aVULN|2DMG|3LHND|58LIT|6DUR|7RCR
33	24351 21136	   	272.44	DCR|2LIT|3VULN|1MLV	149VULN|2BEXP|3ZMB|58LIT|6LWND|7RCR|aMLV
34	24351 31136	   	272.44	DCR|2LIT|3VULN|1MLV	149VULN|2BEXP|3ZMB|58LIT|6FEWX|7RCR|aMLV
35	22551 11134	   	272.44	DCR|2LIT|4VULN|1DMG|1DUR	149aVULN|2DUST|3DMG|58LIT|6DUR|7RCR
36	23151 11134	   	272.44	DCR|2LIT|4VULN|1DMG|1DUR	149aVULN|2DMG|3LEGI|58LIT|6DUR|7RCR
37	24351 11136	   	272.34	DCR|2LIT|3VULN|1MLV|1DUR	149VULN|2BEXP|3ZMB|58LIT|6DUR|7RCR|aMLV
38	23413 33634	   	272.16	DCR|4VULN|1LIT|1DMG|1ASPD	179aVULN|2DMG|3ASPD|4ZMB|5LHND|6RCR|8LIT
39	23421 33634	   	272.16	DCR|4VULN|1LIT|1DMG|1ASPD	179aVULN|2DMG|3ASPD|4LHND|5ZMB|6RCR|8LIT
40	22532 31334	   	271.59	DCR|1LIT|2VULN|2DMG|1MLV|1CDMG	1aVULN|2DUST|38DMG|4LIT|5MLV|6ERES|7RCR|9CDMG
41	23231 33561	   	270.79	DCR|1LIT|2VULN|2DMG|1MLV|1AART	17VULN|26DMG|3DMSP|4MLV|5LIT|8CGEN|9RCR|aAART
42	23413 33461	   	270.78	DCR|3VULN|1LIT|2DMG|1ASPD	178VULN|28DMG|3ASPD|4ZMB|58LHND|6RCR|8BPWR|9LIT|aRPLT
43	23413 33463	   	270.78	DCR|3VULN|1LIT|2DMG|1ASPD	178VULN|28DMG|3ASPD|4ZMB|58LHND|6RCR|8BPWR|9LIT|aFEWX
44	23413 33462	   	270.68	DCR|3VULN|1LIT|2DMG|1ASPD	178VULN|28DMG|3ASPD|4ZMB|58LHND|6RCR|8BPWR|9LIT|aDUST
45	23114 34236	   	270.33	DCR|4VULN|2DMG|1MLV|2ZMB|1SELL	1578VULN|27DMG|3LEGI|47ZMB|6SELL|7BPWR|9MLV|aRCR
46	22532 41136	   	270.27	DCR|2LIT|2VULN|1MLV|1DMG	19VULN|2DUST|3DMG|48LIT|5MLV|6CGEN|7RCR|aZMB
47	23231 33564	   	270.20	DCR|1LIT|2VULN|3DMG|1MLV	17VULN|26aDMG|3DMSP|4MLV|5LIT|8CGEN|9RCR
48	23461 33251	   	270.09	DCR|3VULN|1LIT|2DMG|1ASPD|1CDMG	179VULN|26DMG|3ASPD|4RCVC|5LIT|8CDMG|aRCR
49	23231 42534	   	269.63	DCR|3VULN|1LIT|1MLV|1DMG	19aVULN|2DMG|3DMSP|4MLV|5LIT|6ZMB|7RCR|8LHND
50	13661 32334	   	269.53	DCR|3VULN|1LIT|1MLV|1DMG	1MLV|2ZMB|39aVULN|4RCVC|5LIT|6DMG|7RCR|8DUST
51	23231 42334	   	269.53	DCR|3VULN|1LIT|1MLV|1DMG	19aVULN|2DMG|3DMSP|4MLV|5LIT|6ZMB|7RCR|8DUST
52	23231 42434	   	269.53	DCR|3VULN|1LIT|1MLV|1DMG|1DUR	19aVULN|2DMG|3DMSP|4MLV|5LIT|6ZMB|7RCR|8DUR
53	23231 42634	   	269.53	DCR|3VULN|1LIT|1MLV|1DMG|1DUR	18aVULN|2DMG|3DMSP|4MLV|5LIT|6ZMB|7RCR|9DUR
54	23231 42624	   	268.38	DCR|1LIT|2VULN|2DMG|1MLV|2ZMB	18VULN|2aDMG|3DMSP|4MLV|5LIT|69ZMB|7RCR
55	13534 43333	 * 	268.33	DCR|3MLV|1LIT|2VULN|3ZMB|1ASPD|1SELL	134MLV|246ZMB|46BPWR|56VULN|7RCR|8LIT|9SELL|aASPD
56	23231 33565	   	268.19	DCR|1LIT|2VULN|2DMG|1MLV|1ASPD	17VULN|26DMG|3DMSP|4MLV|5LIT|8CGEN|9RCR|aASPD
57	21551 21334	 * 	267.35	DCR|4VULN|1LIT|2DMG	149aVULN|2LHND|38DMG|5LIT|6LWND|7RCR
58	21551 31334	   	267.35	DCR|4VULN|1LIT|2DMG	149aVULN|2LHND|38DMG|5LIT|6FEWX|7RCR
59	23651 21334	   	267.35	DCR|4VULN|1LIT|2DMG	149aVULN|28DMG|3LHND|5LIT|6LWND|7RCR
60	23651 31334	   	267.35	DCR|4VULN|1LIT|2DMG	149aVULN|28DMG|3LHND|5LIT|6FEWX|7RCR
61	21551 11334	   	267.25	DCR|4VULN|1LIT|2DMG|1DUR	149aVULN|2LHND|38DMG|5LIT|6DUR|7RCR
62	22551 21334	   	267.25	DCR|4VULN|1LIT|2DMG	149aVULN|2DUST|38DMG|5LIT|6LWND|7RCR
63	22551 31334	   	267.25	DCR|4VULN|1LIT|2DMG	149aVULN|2DUST|38DMG|5LIT|6FEWX|7RCR
64	23151 21334	   	267.25	DCR|4VULN|1LIT|2DMG	149aVULN|28DMG|3LEGI|5LIT|6LWND|7RCR
65	23151 31334	   	267.25	DCR|4VULN|1LIT|2DMG	149aVULN|28DMG|3LEGI|5LIT|6FEWX|7RCR
