0	Index      	 *	Score 	Summary	Detail	
1	32551 15313	 * 	268.87	DCR|3LIT|3VULN|1DMG	1LSRHEA|2LHND|367VULN|459LIT|8RCR|aDMG
2	32552 15312	 * 	267.97	DCR|3LIT|4VULN	1LSRHEA|2LHND|3567VULN|49aLIT|8RCR
3	32551 15311	   	267.97	DCR|3LIT|4VULN	1LSRHEA|2LHND|367aVULN|459LIT|8RCR
4	32552 15313	   	266.93	DCR|2LIT|4VULN|1AART	1LSRHEA|2LHND|3567VULN|49LIT|8RCR|aAART
5	24163 33316	 * 	263.84	DCR|1LIT|2DMG|1FLTARM|1VULN|1MLV|1ASPD	1LWND|24DMG|3MLV|5ASPD|6LIT|7FEWX|8RCR|9FLTARM|aVULN
6	46513 12122	 * 	263.33	DCR|2LIT|2VULN|1MLV|1DMG	1BEXP|25LIT|3RPLT|4MLV|6DUST|7RCR|8DMG|9aVULN
7	44163 21132	 * 	261.24	DCR|1LIT|3DMG|1VULN|1MLV|1ASPD	1BEXP|249DMG|3MLV|5LIT|6LHND|7RCR|8ASPD|aVULN
8	13163 33311	 * 	261.05	DCR|2LIT|3MLV|1VULN|1DMG|1AART|1DUR	17TLV|2DUR|378MLV|4DMG|5VULN|67LIT|7BPWR|9RCR|aAART
9	14162 13324	 * 	261.00	DCR|3VULN|1LIT|1MLV|2CDMG	17TLV|2RPLT|37aVULN|4MLV|5LIT|67CDMG|7BPWR|8RCR|9RCVC
10	61163 33311	 * 	260.90	DCR|2LIT|3MLV|1VULN|1DMG|2DUR|1AART	17DUR|2CGEN|378MLV|4DMG|5VULN|67LIT|7BPWR|9RCR|aAART
11	14112 15431	 * 	259.94	DCR|1LIT|2VULN|2DMG|1MLV	1TLV|2RPLT|34VULN|59DMG|6RCR|7FEWX|8MLV|aLIT
12	24163 33332	   	259.44	DCR|1LIT|3DMG|1VULN|1MLV|1ASPD	1LWND|249DMG|3MLV|5ASPD|6LIT|7FEWX|8RCR|aVULN
13	24215 63332	   	259.44	DCR|1LIT|3DMG|1VULN|1MLV|1ASPD	1LWND|279DMG|3BEXP|4LIT|5MLV|6ASPD|8RCR|aVULN
14	44163 23332	   	259.44	DCR|1LIT|3DMG|1VULN|1MLV|1ASPD	1BEXP|249DMG|3MLV|5LIT|6LHND|7ASPD|8RCR|aVULN
15	24163 36332	   	259.34	DCR|1LIT|3DMG|1VULN|1MLV|1ASPD	1LWND|249DMG|3MLV|5ASPD|6LIT|7DUST|8RCR|aVULN
16	33112 14663	   	259.34	DCR|1LIT|3DMG|1VULN|1MLV|1ASPD	1LSRHEA|237DMG|4BEXP|5VULN|6MLV|8RCR|9ASPD|aLIT
17	14162 13352	 * 	258.92	DCR|1LIT|2VULN|1MLV|1DMG|2CDMG	17TLV|2RPLT|37VULN|4MLV|5LIT|67CDMG|7BPWR|8RCR|9BELT|aDMG
18	14162 35232	 * 	258.86	DCR|3LIT|2VULN|1MLV	1TLV|2RPLT|3aVULN|4MLV|567LIT|8RCR|9FRZICY
19	33112 14621	 * 	257.53	DCR|2MLV|1LIT|3DMG|1VULN	1LSRHEA|237DMG|4BEXP|5VULN|69MLV|8RCR|aLIT
20	66513 31113	 * 	256.88	DCR|3LIT|2MLV|1VULN|1AART|1DUR	1DUR|256LIT|3RPLT|46MLV|6BPWR|7RCR|8FEWX|9VULN|aAART
21	44315 31113	 * 	256.43	DCR|2LIT|1FLTARM|1MLV|1DMG|1ASPD	16BEXP|2DMG|3DUST|4aLIT|5MLV|7RCR|8ASPD|9FLTARM
22	64215 31113	   	256.43	DCR|2LIT|1FLTARM|1MLV|1DMG|1ASPD|1DUR	1DUR|2DMG|36BEXP|4aLIT|5MLV|7RCR|8ASPD|9FLTARM
23	14112 15422	   	256.01	DCR|1LIT|2VULN|1MLV|1DMG|1CDMG	1TLV|2RPLT|34VULN|5DMG|6RCR|7FEWX|8MLV|9CDMG|aLIT
24	12523 32326	   	255.91	DCR|2LIT|1VULN|1MLV|1DMG|1CDMG	1TLV|2CDMG|3ZMB|4ERES|59LIT|6DMG|7MLV|8RCR|aVULN
25	25461 23112	 * 	254.80	ACR|2LIT|2VULN|1MLV|1CDMG|1ASPD	1LWND|28VULN|3RCR|49LIT|5MLV|6CDMG|7ZMB|aASPD
26	32152 23635	   	254.44	DCR|1LIT|2VULN|2DMG|1MLV	1LSRHEA|2aLHND|3DUST|4LIT|5aVULN|6MLV|7NUKE|8aDMG|9RCR|aBPWR
27	26521 11511	   	253.41	DCR|2LIT|2VULN|1MLV|1CDMG	1LWND|25LIT|3MGNSTR|46VULN|7MLV|8CDMG|9RCR|aCGEN
28	26521 11512	   	253.41	DCR|2LIT|2VULN|1MLV|1CDMG	1LWND|25LIT|3MGNSTR|46VULN|7MLV|8CDMG|9RCR|aRPLT
29	26521 11513	   	253.41	DCR|2LIT|2VULN|1MLV|1CDMG	1aLWND|25LIT|3MGNSTR|46VULN|7MLV|8CDMG|9RCR
30	22551 11511	   	253.31	DCR|2LIT|2VULN|1MLV|1CDMG	1LWND|2CANSTR|36VULN|45LIT|7MLV|8CDMG|9RCR|aCGEN
31	22551 11512	   	253.31	DCR|2LIT|2VULN|1MLV|1CDMG	1LWND|2CANSTR|36VULN|45LIT|7MLV|8CDMG|9RCR|aRPLT
32	22551 11513	   	253.31	DCR|2LIT|2VULN|1MLV|1CDMG	1aLWND|2CANSTR|36VULN|45LIT|7MLV|8CDMG|9RCR
33	32551 11511	   	253.31	DCR|2LIT|2VULN|1MLV|1CDMG	1LSRHEA|2LHND|36VULN|45LIT|7MLV|8CDMG|9RCR|aCGEN
34	32551 11512	   	253.31	DCR|2LIT|2VULN|1MLV|1CDMG	1LSRHEA|2LHND|36VULN|45LIT|7MLV|8CDMG|9RCR|aRPLT
35	32551 11513	   	253.31	DCR|2LIT|2VULN|1MLV|1CDMG	1LSRHEA|2LHND|36VULN|45LIT|7MLV|8CDMG|9RCR|aLWND
36	14162 35223	 * 	252.72	DCR|3LIT|1VULN|1MLV|1DMG	1TLV|2RPLT|3VULN|4MLV|567LIT|8RCR|9LHND|aDMG
37	26522 11511	   	252.68	DCR|3VULN|1LIT|1MLV|1CDMG	1LWND|2LIT|3MGNSTR|456VULN|7MLV|8CDMG|9RCR|aCGEN
38	26522 11512	   	252.68	DCR|3VULN|1LIT|1MLV|1CDMG	1LWND|2LIT|3MGNSTR|456VULN|7MLV|8CDMG|9RCR|aRPLT
39	26522 11513	   	252.68	DCR|3VULN|1LIT|1MLV|1CDMG	1aLWND|2LIT|3MGNSTR|456VULN|7MLV|8CDMG|9RCR
40	14162 35213	   	252.62	DCR|3LIT|1VULN|1MLV|1DMG|1DUR	1TLV|2RPLT|3VULN|4MLV|567LIT|8RCR|9DUR|aDMG
41	22552 11511	   	252.58	DCR|3VULN|1LIT|1MLV|1CDMG	1LWND|2CANSTR|356VULN|4LIT|7MLV|8CDMG|9RCR|aCGEN
42	22552 11512	   	252.58	DCR|3VULN|1LIT|1MLV|1CDMG	1LWND|2CANSTR|356VULN|4LIT|7MLV|8CDMG|9RCR|aRPLT
43	22552 11513	   	252.58	DCR|3VULN|1LIT|1MLV|1CDMG	1aLWND|2CANSTR|356VULN|4LIT|7MLV|8CDMG|9RCR
44	32552 11511	   	252.58	DCR|3VULN|1LIT|1MLV|1CDMG	1LSRHEA|2LHND|356VULN|4LIT|7MLV|8CDMG|9RCR|aCGEN
45	32552 11512	   	252.58	DCR|3VULN|1LIT|1MLV|1CDMG	1LSRHEA|2LHND|356VULN|4LIT|7MLV|8CDMG|9RCR|aRPLT
46	32552 11513	   	252.58	DCR|3VULN|1LIT|1MLV|1CDMG	1LSRHEA|2LHND|356VULN|4LIT|7MLV|8CDMG|9RCR|aLWND
47	14162 13316	   	252.51	DCR|1LIT|2VULN|1MLV|2CDMG|1ASPD	17TLV|2RPLT|37VULN|4MLV|5LIT|67CDMG|7BPWR|8RCR|9LWND|aASPD
48	14162 13342	   	252.51	DCR|1LIT|2VULN|1MLV|2CDMG|1ASPD	17TLV|2RPLT|37VULN|4MLV|5LIT|67CDMG|7BPWR|8RCR|9ASPD|aLHND
49	14162 13343	   	252.51	DCR|1LIT|2VULN|1MLV|2CDMG|1ASPD	17TLV|2RPLT|37VULN|4MLV|5LIT|67CDMG|7BPWR|8RCR|9ASPD|aBEXP
50	14162 13341	   	252.41	DCR|1LIT|2VULN|1MLV|2CDMG|1ASPD	17TLV|2RPLT|37VULN|4MLV|5LIT|67CDMG|7BPWR|8RCR|9ASPD|aDUST
51	32522 23635	 * 	251.21	DCR|2LIT|2DMG|1VULN|1MLV	1LSRHEA|2aLHND|3VULN|4FEWX|5aLIT|6MLV|7NUKE|8aDMG|9RCR|aBPWR
52	32512 23635	   	251.11	DCR|2LIT|2DMG|1VULN|1MLV|1DUR	1LSRHEA|2aLHND|3VULN|4DUR|5aLIT|6MLV|7NUKE|8aDMG|9RCR|aBPWR
53	32552 15311	   	250.68	DCR|2LIT|4VULN	1LSRHEA|2LHND|3567VULN|49LIT|8RCR|aFEWX
54	44163 21222	   	250.02	DCR|2LIT|2DMG|1MLV|1ASPD|1CDMG	1BEXP|24DMG|3MLV|58LIT|6LHND|7RCR|9CDMG|aASPD
55	12536 32633	 * 	249.19	DCR|1LIT|1VULN|1MLV|2ASPD|2CDMG	15TLV|28CDMG|3ZMB|45ASPD|5BPWR|6RCR|7VULN|9LIT|aMLV
56	32551 15312	   	248.81	DCR|3LIT|3VULN	1LSRHEA|2LHND|367VULN|459LIT|8RCR|aLWND
57	56313 15312	   	248.81	DCR|3LIT|3VULN	1RCVC|29aLIT|367VULN|4LHND|5CANSTR|8RCR
