0	Index      	 *	Score 	Summary	Detail	
1	22236 12134	 * 	340.99	DCR|2LIT|4VULN|2MLV|1DMG	1248VULN|3RPLT|58LIT|6RMIN|78MLV|8BPWR|9RCR|aDMG
2	31313 45132	   	340.47	DCR|2LIT|4VULN|2MLV|1DMG|1SELL	1SELL|248aVULN|3DMG|5LEGI|68MLV|78LIT|8BPWR|9RCR
3	31313 45134	 * 	338.11	DCR|2LIT|2MLV|3VULN|2DMG|1SELL	1SELL|248VULN|3aDMG|5LEGI|68MLV|78LIT|8BPWR|9RCR
4	31323 45132	 * 	338.11	DCR|2LIT|2MLV|3VULN|2DMG|1SELL	1SELL|28aVULN|34DMG|5LEGI|68MLV|78LIT|8BPWR|9RCR
5	22236 12132	 * 	336.23	DCR|5VULN|2LIT|2MLV	1248aVULN|3RPLT|58LIT|6RMIN|78MLV|8BPWR|9RCR
6	22613 15152	 * 	335.81	DCR|5VULN|2LIT|2DMG|1MLV	1258aVULN|3MLV|48DMG|6RPLT|78LIT|8BPWR|9RCR
7	22613 33152	   	335.81	DCR|5VULN|2LIT|2DMG|1MLV	1258aVULN|3MLV|48DMG|68LIT|7RPLT|8BPWR|9RCR
8	26313 15152	   	335.81	DCR|5VULN|2LIT|2DMG|1MLV	1358aVULN|2MLV|48DMG|6RPLT|78LIT|8BPWR|9RCR
9	26313 33152	   	335.81	DCR|5VULN|2LIT|2DMG|1MLV	1358aVULN|2MLV|48DMG|68LIT|7RPLT|8BPWR|9RCR
10	31313 45142	 * 	334.97	DCR|3LIT|2MLV|3VULN|1DMG|1SELL	1SELL|248VULN|3DMG|5LEGI|68MLV|789LIT|8BPWR|aRCR
11	22613 33154	 * 	334.57	DCR|2LIT|4VULN|3DMG|1MLV	1258VULN|3MLV|48aDMG|68LIT|7RPLT|8BPWR|9RCR
12	26313 33154	   	334.57	DCR|2LIT|4VULN|3DMG|1MLV	1358VULN|2MLV|48aDMG|68LIT|7RPLT|8BPWR|9RCR
13	22236 12136	   	331.37	DCR|2LIT|4VULN|2MLV|1CDMG	1248VULN|3RPLT|58LIT|6RMIN|78MLV|8BPWR|9RCR|aCDMG
14	31323 45134	 * 	328.38	DCR|2LIT|2MLV|2VULN|3DMG|1SELL	1SELL|28VULN|34aDMG|5LEGI|68MLV|78LIT|8BPWR|9RCR
15	31323 45142	 * 	328.14	DCR|3LIT|2MLV|2VULN|2DMG|1SELL	1SELL|28VULN|34DMG|5LEGI|68MLV|789LIT|8BPWR|aRCR
16	51633 33152	   	326.24	DCR|2LIT|4VULN|2MLV	18ZMB|23MLV|458aVULN|68LIT|7RPLT|8BPWR|9RCR
17	22346 12142	 * 	325.71	DCR|3LIT|2MLV|3VULN|1CDMG	128VULN|3LEGI|4CDMG|589LIT|6RMIN|78MLV|8BPWR|aRCR
18	22613 15151	   	318.92	DCR|2LIT|4VULN|2DMG|1MLV	1258VULN|3MLV|48DMG|6RPLT|78LIT|8BPWR|9RCR|aLHND
19	22613 15153	   	318.92	DCR|2LIT|4VULN|2DMG|1MLV	1258VULN|3MLV|48DMG|6RPLT|78LIT|8BPWR|9RCR|aFEWX
20	22613 33151	   	318.92	DCR|2LIT|4VULN|2DMG|1MLV	1258VULN|3MLV|48DMG|68LIT|7RPLT|8BPWR|9RCR|aLHND
21	22613 33153	   	318.92	DCR|2LIT|4VULN|2DMG|1MLV	1258VULN|3MLV|48DMG|68LIT|7RPLT|8BPWR|9RCR|aFEWX
22	26313 15151	   	318.92	DCR|2LIT|4VULN|2DMG|1MLV	1358VULN|2MLV|48DMG|6RPLT|78LIT|8BPWR|9RCR|aLHND
23	26313 15153	   	318.92	DCR|2LIT|4VULN|2DMG|1MLV	1358VULN|2MLV|48DMG|6RPLT|78LIT|8BPWR|9RCR|aFEWX
24	26313 33151	   	318.92	DCR|2LIT|4VULN|2DMG|1MLV	1358VULN|2MLV|48DMG|68LIT|7RPLT|8BPWR|9RCR|aLHND
25	26313 33153	   	318.92	DCR|2LIT|4VULN|2DMG|1MLV	1358VULN|2MLV|48DMG|68LIT|7RPLT|8BPWR|9RCR|aFEWX
26	22612 15152	   	318.92	DCR|2LIT|4VULN|2DMG|1MLV	128aVULN|3MLV|48DMG|5RCVC|6RPLT|78LIT|8BPWR|9RCR
27	22612 33152	   	318.92	DCR|2LIT|4VULN|2DMG|1MLV	128aVULN|3MLV|48DMG|5RCVC|68LIT|7RPLT|8BPWR|9RCR
28	26312 15152	   	318.92	DCR|2LIT|4VULN|2DMG|1MLV	138aVULN|2MLV|48DMG|5RCVC|6RPLT|78LIT|8BPWR|9RCR
29	26312 33152	   	318.92	DCR|2LIT|4VULN|2DMG|1MLV	138aVULN|2MLV|48DMG|5RCVC|68LIT|7RPLT|8BPWR|9RCR
30	22613 33156	   	318.82	DCR|2LIT|4VULN|2DMG|1MLV	1258VULN|3MLV|48DMG|68LIT|7RPLT|8BPWR|9RCR|aDUR
31	26313 33156	   	318.82	DCR|2LIT|4VULN|2DMG|1MLV	1358VULN|2MLV|48DMG|68LIT|7RPLT|8BPWR|9RCR|aDUR
32	31311 45132	   	318.67	DCR|2LIT|4VULN|2DMG|1MLV|1SELL	1SELL|248aVULN|38DMG|5FEWX|6MLV|78LIT|8BPWR|9RCR
33	21145 62132	   	316.22	DCR|2LIT|2MLV|3VULN|1CDMG|1ASPD	18aVULN|25FEWX|38LIT|4ASPD|6CDMG|78MLV|8BPWR|9RCR
34	22612 33154	   	315.41	DCR|2LIT|3VULN|3DMG|1MLV	128VULN|3MLV|48aDMG|5RCVC|68LIT|7RPLT|8BPWR|9RCR
35	26312 33154	   	315.41	DCR|2LIT|3VULN|3DMG|1MLV	138VULN|2MLV|48aDMG|5RCVC|68LIT|7RPLT|8BPWR|9RCR
36	31311 45134	   	315.16	DCR|2LIT|3VULN|3DMG|1MLV|1SELL	1SELL|248VULN|38aDMG|5FEWX|6MLV|78LIT|8BPWR|9RCR
37	31311 45142	 * 	315.01	DCR|3LIT|3VULN|2DMG|1MLV|1SELL	1SELL|248VULN|38DMG|5FEWX|6MLV|789LIT|8BPWR|aRCR
38	21133 12132	   	313.03	DCR|2LIT|2MLV|3VULN|1CDMG	18aVULN|2FEWX|38LIT|4ZMB|5CDMG|6RCVC|78MLV|8BPWR|9RCR
39	22256 12134	   	312.24	DCR|2LIT|2MLV|3VULN|1DMG	128VULN|3RPLT|4RCVC|58LIT|6RMIN|78MLV|8BPWR|9RCR|aDMG
40	22653 13234	   	311.94	DCR|2LIT|2MLV|3VULN|1DMG	126VULN|38MLV|4ERES|56LIT|6BPWR|7RPLT|9RCR|aDMG
41	26353 13234	   	311.94	DCR|2LIT|2MLV|3VULN|1DMG	136VULN|28MLV|4ERES|56LIT|6BPWR|7RPLT|9RCR|aDMG
42	31234 56135	   	311.72	DCR|2LIT|2MLV|3VULN|1DMG|1SELL	1SELL|248VULN|3MBVNT|5RMIN|68MLV|78LIT|8BPWR|9RCR|aDMG
43	31237 12135	   	311.72	DCR|2LIT|2MLV|3VULN|1DMG|1SELL	1SELL|248VULN|3MBVNT|58LIT|6RMIN|78MLV|8BPWR|9RCR|aDMG
44	31313 45131	   	311.72	DCR|2LIT|2MLV|3VULN|1DMG|1SELL	1SELL|248VULN|3DMG|5LEGI|68MLV|78LIT|8BPWR|9RCR|aLHND
45	31313 45133	   	311.72	DCR|2LIT|2MLV|3VULN|1DMG|1SELL	1SELL|248VULN|3DMG|5LEGI|68MLV|78LIT|8BPWR|9RCR|aFEWX
46	31343 45132	   	311.72	DCR|2LIT|2MLV|3VULN|1DMG|1SELL	1SELL|28aVULN|3DMG|4RCVC|5LEGI|68MLV|78LIT|8BPWR|9RCR
47	31356 12162	   	311.72	DCR|2LIT|2MLV|3VULN|1DMG|1SELL	1SELL|28aVULN|3DMG|4MBVNT|58LIT|6RCVC|78MLV|8BPWR|9RCR
48	23115 44277	   	311.68	DCR|2LIT|2MLV|2VULN|1DMG|1NUKE	19VULN|2LWND|39LIT|4FEWX|5MBVNT|6DMG|79MLV|8RCR|9BPWR|aNUKE
49	31313 45136	   	311.57	DCR|2LIT|2MLV|3VULN|1DMG|1SELL	1SELL|248VULN|3DMG|5LEGI|68MLV|78LIT|8BPWR|9RCR|aDUR
50	22623 33154	   	311.57	DCR|2LIT|4VULN|1MLV|1DMG	1258VULN|3MLV|48ZMB|68LIT|7RPLT|8BPWR|9RCR|aDMG
51	26323 33154	   	311.57	DCR|2LIT|4VULN|1MLV|1DMG	1358VULN|2MLV|48ZMB|68LIT|7RPLT|8BPWR|9RCR|aDMG
52	36136 12134	   	311.51	DCR|2LIT|2MLV|3VULN|1DMG|2SELL	12SELL|348VULN|58LIT|6RMIN|78MLV|8BPWR|9RCR|aDMG
