0	Index      	 *	Score 	Summary	Detail	
1	14182 34248	 * 	290.52	DCR|3LIT|2VULN|2DMG|2ASPD|1DUR	1aDMG|2MBVNT|349LIT|5DUR|6aVULN|7aASPD|8RCR|aBPWR
2	61233 23521	 * 	288.60	ACR|2LIT|2FLTARM|2VULN|1MLV|1DUR	1BASICY|2RCR|35FLTARM|45VULN|5BPWR|6ERES|7DUR|89LIT|aMLV
3	14473 21217	 * 	286.56	DCR|3LIT|3VULN|2DMG	19DMG|2MBVNT|379VULN|4ERES|5LWND|69aLIT|8RCR|9BPWR
4	14133 41217	   	286.46	DCR|3LIT|3VULN|2DMG|1DUR	19DMG|2MBVNT|39aLIT|4ERES|5DUR|679VULN|8RCR|9BPWR
5	14311 26642	 * 	286.38	DCR|2LIT|2MLV|2DMG|1VULN|1CDMG	1aDMG|2MBVNT|3AART|4CDMG|5aMLV|6FEWX|7VULN|8aLIT|9RCR|aBPWR
6	14311 46642	   	286.38	DCR|2LIT|2MLV|2DMG|1VULN|1CDMG	1aDMG|2MBVNT|3AART|4CDMG|5aMLV|6LHND|7VULN|8aLIT|9RCR|aBPWR
7	16211 26642	   	286.38	DCR|2LIT|2MLV|2DMG|1VULN|1CDMG	1aDMG|2CDMG|3MBVNT|4AART|5aMLV|6FEWX|7VULN|8aLIT|9RCR|aBPWR
8	16211 46642	   	286.38	DCR|2LIT|2MLV|2DMG|1VULN|1CDMG	1aDMG|2CDMG|3MBVNT|4AART|5aMLV|6LHND|7VULN|8aLIT|9RCR|aBPWR
9	61231 31323	   	285.88	ACR|2LIT|2FLTARM|2VULN|1MLV	1BASICY|2RCR|39FLTARM|48VULN|56LIT|7MLV|aZMB
10	14473 21211	   	285.51	DCR|2LIT|3VULN|2DMG|1AART	19DMG|2MBVNT|379VULN|4ERES|5LWND|69LIT|8RCR|9BPWR|aAART
11	14133 41211	   	285.41	DCR|2LIT|3VULN|2DMG|1AART|1DUR	19DMG|2MBVNT|39LIT|4ERES|5DUR|679VULN|8RCR|9BPWR|aAART
12	14431 14718	 * 	284.13	DCR|2LIT|2VULN|1MLV|2ASPD|1DMG	1DMG|2MBVNT|39VULN|4MULHEA|5MLV|69LIT|7LHND|89ASPD|9BPWR|aRCR
13	61231 31316	 * 	282.15	ACR|2LIT|3VULN|1FLTARM|1MLV	1BASICY|2RCR|3FLTARM|48aVULN|56LIT|7MLV|9TLV
14	61231 31416	   	282.15	ACR|2LIT|3VULN|1FLTARM|1MLV	1BASICY|2RCR|3FLTARM|49aVULN|56LIT|7MLV|8CGEN
15	61231 32316	   	282.15	ACR|2LIT|3VULN|1FLTARM|1MLV	1BASICY|2RCR|3FLTARM|48aVULN|56LIT|7CGEN|9MLV
16	61231 31516	   	282.05	ACR|2LIT|3VULN|1FLTARM|1MLV	1BASICY|2RCR|3FLTARM|49aVULN|56LIT|7MLV|8ERES
17	13314 35226	 * 	280.92	ACR|4VULN|1LIT|1MLV|2CDMG|1DMG	1DMG|2RCR|3AART|46CDMG|569aVULN|6BPWR|7MLV|8LIT
18	61231 31212	   	280.60	ACR|2LIT|2VULN|1FLTARM|1MLV|1ASPD	1BASICY|2RCR|3FLTARM|49VULN|56LIT|7MLV|8ZMB|aASPD
19	33214 63113	 * 	279.37	DCR|2LIT|4VULN|1MLV	13FEWX|2AART|4689VULN|56LIT|6BPWR|7MLV|aRCR
20	33614 63113	   	279.37	DCR|2LIT|4VULN|1MLV	1FEWX|2AART|3689VULN|4DMSP|56LIT|6BPWR|7MLV|aRCR
21	13313 15226	 * 	279.35	ACR|3VULN|1LIT|2DMG|1MLV|2CDMG	15DMG|2RCR|3AART|45CDMG|5BPWR|69aVULN|7MLV|8LIT
22	61231 31321	   	278.94	ACR|2LIT|2FLTARM|2VULN|1MLV	1BASICY|2RCR|39FLTARM|48VULN|56LIT|7MLV|aLWND
23	61231 31322	   	278.94	ACR|2LIT|2FLTARM|2VULN|1MLV	1BASICY|2RCR|39FLTARM|48VULN|56LIT|7MLV|aBEXP
24	61231 31324	   	278.94	ACR|2LIT|2FLTARM|2VULN|1MLV	1BASICY|2RCR|39FLTARM|48VULN|56LIT|7MLV|aFEWX
25	61231 31326	   	278.94	ACR|2LIT|2FLTARM|2VULN|1MLV	1BASICY|2RCR|39FLTARM|48VULN|56LIT|7MLV|aRPLT
26	61233 21521	   	278.94	ACR|2LIT|2FLTARM|2VULN|1MLV	1BASICY|2RCR|35FLTARM|45VULN|5BPWR|6ERES|7LWND|89LIT|aMLV
27	61233 22521	   	278.94	ACR|2LIT|2FLTARM|2VULN|1MLV	1BASICY|2RCR|35FLTARM|45VULN|5BPWR|6ERES|7FEWX|89LIT|aMLV
28	61233 26521	   	278.84	ACR|2LIT|2FLTARM|2VULN|1MLV	1BASICY|2RCR|35FLTARM|45VULN|5BPWR|6ERES|7LEGI|89LIT|aMLV
29	61233 53521	   	278.84	ACR|2LIT|2FLTARM|2VULN|1MLV	1BASICY|2RCR|35FLTARM|45VULN|5BPWR|6DUST|7ERES|89LIT|aMLV
30	61233 52262	 * 	278.75	ACR|2LIT|3VULN|2FLTARM|1DUR	1aBASICY|2RCR|35FLTARM|45aVULN|5aBPWR|6DUST|7DUR|8RPLT|9aLIT
31	61233 23523	   	278.65	ACR|2LIT|3VULN|2FLTARM|1DUR	1BASICY|2RCR|35FLTARM|45aVULN|5BPWR|6ERES|7DUR|89LIT
32	61211 31322	 * 	277.31	ACR|3LIT|2VULN|1FLTARM|1MLV	1BASICY|2RCR|3FLTARM|4LHND|569LIT|7MLV|8aVULN
33	61231 31122	   	277.31	ACR|3LIT|2VULN|1FLTARM|1MLV	1BASICY|2RCR|3FLTARM|4aVULN|569LIT|7MLV|8LHND
34	61231 36222	   	277.31	ACR|3LIT|2VULN|1FLTARM|1MLV	1BASICY|2RCR|3FLTARM|4aVULN|569LIT|7LWND|8MLV
35	16234 44174	   	276.98	DCR|2LIT|2VULN|1MLV|1DMG|1CDMG	1DMG|2CDMG|3MBVNT|48LIT|59VULN|6LHND|7RCR|aMLV
36	16234 84174	   	276.98	DCR|2LIT|2VULN|1MLV|1DMG|1CDMG	1DMG|2CDMG|3MBVNT|48LIT|59VULN|6BEXP|7RCR|aMLV
37	14424 54174	   	276.88	DCR|2LIT|2VULN|1MLV|1DMG|1CDMG|1DUR	1DMG|2MBVNT|39VULN|48LIT|5DUR|6CDMG|7RCR|aMLV
