0	Index      	 *	Score 	Summary	Detail	
1	34542 21423	 * 	258.48	紫2基础对甲2攻速2基地爆炸1易伤1全技能	1a基地爆炸2掉矿3核4a攻速5全技能6加一7矿等8易伤9a基础对甲a序列升级
2	15542 21423	   	243.64	紫2基础对甲2攻速1易伤1全技能1基地爆炸	1a矿等2基地爆炸3核4a攻速5全技能6加一7技能点8易伤9a基础对甲a序列升级
3	15542 24423	   	243.64	紫2基础对甲2攻速1易伤1全技能1基地爆炸	1a矿等2基地爆炸3核4a攻速5全技能6加一7掉矿8易伤9a基础对甲a序列升级
4	33236 25246	 * 	238.62	紫3伤害3易伤3基地爆炸1暴击	19a基地爆炸29a伤害3加一4时间5核6暴击79a易伤8技能9a序列升级
5	33283 25246	   	238.62	紫3伤害3易伤3基地爆炸1暴击	19a基地爆炸29a伤害3加一4低血量敌人5核6暴击79a易伤8技能9a序列升级
6	32313 45226	 * 	234.50	紫1基础对甲3基地爆炸2伤害1全技能	18a基地爆炸2a时间3核4基础对甲5挖尘6平台7全技能9a伤害a序列升级
7	32331 43635	 * 	233.98	紫1基础对甲2易伤2攻速2基地爆炸	19基地爆炸29时间3核4敌人爆炸58易伤69攻速7双倍秒伤9序列升级a基础对甲
8	32311 15112	   	233.06	紫1基础对甲2攻速2基地爆炸1易伤	18基地爆炸2时间3核4基础对甲5技能6立即金币7易伤9a攻速
9	31134 35446	 * 	232.74	紫3伤害3基地爆炸1易伤1攻速1暴击	19a基地爆炸2暴击39a时间4核5攻速6加一7易伤89a伤害9a序列升级
10	33246 84436	 * 	231.98	紫3易伤1基础对甲2伤害2基地爆炸	19基地爆炸26伤害3加一469易伤5核69序列升级79最后敌人8双倍秒伤a基础对甲
11	32315 26412	 * 	230.68	紫1基础对甲2攻速1易伤1伤害1基地爆炸	1基地爆炸25时间3核4基础对甲6易伤7立即金币8伤害9a攻速
12	32316 26412	   	230.68	紫1基础对甲2攻速1易伤1伤害1基地爆炸	1基地爆炸2时间3核4基础对甲5双倍矿6易伤7立即金币8伤害9a攻速
13	32311 34651	   	229.54	紫1基础对甲2攻速2基地爆炸1全技能	1a基地爆炸2a时间3核4基础对甲5技能6最后敌人7a攻速8挖青9全技能a序列升级
14	33246 26345	 * 	229.19	紫2易伤2伤害2基地爆炸3暴击1全技能	18基地爆炸2a伤害3加一48易伤5核689暴击7全技能8序列升级
15	55246 22441	 * 	229.01	紫3易伤2攻速2伤害1基地爆炸1暴击	19攻速2基地爆炸3加一49a易伤5核6暴击7敌人爆炸89伤害9序列升级
