0	Index      	 *	Score 	Summary	Detail	
1	56224 21448	 * 	254.92	紫3易伤3伤害3基地爆炸1全技能	1核27a基地爆炸3全技能4加一57激光对绿67a伤害7a序列升级89a易伤
2	53621 31363	 * 	251.06	紫3攻速1基础对甲2基地爆炸2暴击1卖塔	1核28暴击3平台4敌人爆炸58基地爆炸68a攻速7卖塔8序列升级9基础对甲
3	56224 21428	   	241.60	紫3伤害2易伤3基地爆炸1全技能	1核27a基地爆炸3全技能4加一57激光对绿67a伤害7a序列升级8a易伤9立即金币
4	53313 63333	 * 	237.69	紫1基础对甲2易伤2攻速2暴击	1核29暴击3挖尘4技能5额外掉落6挖青79攻速89易伤9序列升级a基础对甲
5	51134 32431	 * 	235.56	紫1基础对甲2伤害1攻速1易伤1基地爆炸	1核2最后敌人3金币生成4掉矿5基础对甲6基地爆炸7a伤害8攻速9易伤
6	53621 31361	 * 	235.40	紫1基础对甲2攻速2基地爆炸2暴击1卖塔	1核28暴击3平台4a敌人爆炸58基地爆炸68攻速7卖塔8序列升级9基础对甲
7	53621 31362	 * 	235.40	紫1基础对甲2攻速2基地爆炸2暴击1卖塔	1核28暴击3平台4敌人爆炸58基地爆炸68攻速7卖塔8序列升级9基础对甲a随机矿
8	53341 31361	 * 	235.30	紫1基础对甲2攻速2基地爆炸2暴击1卖塔	1核28暴击3挖尘48基地爆炸5平台68攻速7卖塔8序列升级9基础对甲a敌人爆炸
9	53341 31362	 * 	235.30	紫1基础对甲2攻速2基地爆炸2暴击1卖塔	1核28暴击3挖尘48基地爆炸5平台68攻速7卖塔8序列升级9基础对甲a额外掉落
10	53341 31363	 * 	235.20	紫1基础对甲2攻速2基地爆炸2暴击1卖塔	1核28暴击3a挖尘48基地爆炸5平台68攻速7卖塔8序列升级9基础对甲
11	56243 13122	 * 	234.62	紫3基地爆炸2攻速2伤害1易伤1全技能1卖塔	1核27a基地爆炸3全技能4a伤害5易伤6矿等8a攻速9卖塔a序列升级
12	56224 21444	 * 	233.80	紫2易伤2伤害2基地爆炸1攻速1全技能	1核27基地爆炸3全技能4加一57激光对绿67伤害7序列升级89易伤a攻速
13	53613 53333	   	230.42	紫1基础对甲1攻速1伤害1基地爆炸1全技能1暴击	1核2暴击3平台4低血量敌人5攻速6基地爆炸7雷电8基础对甲9伤害a全技能
14	53621 31163	 * 	228.89	紫1基础对甲2攻速2基地爆炸1暴击1卖塔	1核2暴击3平台4敌人爆炸58基地爆炸6a攻速7卖塔9基础对甲
15	51134 25233	 * 	226.92	紫1基础对甲2攻速1伤害1基础对冰	1核2最后敌人3金币生成4掉矿5基础对甲6等级7基础对冰8a攻速9伤害
16	56134 31211	 * 	225.09	紫1基础对甲2基地爆炸1易伤1基础对冰1全技能	1核26基地爆炸3金币生成4掉矿5基础对甲7敌人爆炸8易伤9基础对冰a全技能
