0	Index      	 *	Score 	Summary	Detail	
1	25214 24131	 * 	249.76	紫3易伤3攻速3伤害1基地爆炸	189攻速289易伤3喷火对黄4掉矿5核6平台789伤害89序列升级a基地爆炸
2	33211 24562	 * 	237.07	紫2易伤1基础对甲1攻速1伤害1基地爆炸1暴击	1挖尘27易伤3核4攻速5时间6暴击8伤害9基地爆炸a基础对甲
3	33213 24532	   	237.07	紫2易伤1基础对甲1攻速1伤害1基地爆炸1暴击	1挖尘27易伤3核4攻速5基地爆炸6暴击8伤害9时间a基础对甲
4	33213 24552	   	237.07	紫2易伤1基础对甲1攻速1伤害1基地爆炸1暴击	1挖尘27易伤3核4攻速5基地爆炸6暴击8伤害9低血量敌人a基础对甲
5	25214 24133	   	236.11	紫3易伤3攻速3伤害	189攻速289易伤3喷火对黄4掉矿5核6平台789伤害89序列升级a随机矿
6	25214 24132	   	236.01	紫3易伤3攻速3伤害	189攻速289易伤3喷火对黄4掉矿5核6平台789伤害89序列升级a火球减费
7	41166 12113	 * 	230.67	紫2基础对甲3易伤2基地爆炸1全技能	16a易伤26基地爆炸3全技能4双倍秒伤5核6a序列升级7a基础对甲8随机矿9a时间
8	33255 31513	 * 	229.89	紫2基础对甲2攻速1易伤1全技能	1a挖尘2易伤3核4挖青5全技能6a攻速7低血量敌人8最后敌人9a基础对甲a序列升级
9	41211 51232	 * 	229.25	紫2易伤2攻速2基地爆炸1伤害1全技能	19易伤26基地爆炸3核49攻速59时间7全技能8加一9序列升级a伤害
10	41214 51232	   	229.25	紫2易伤2攻速2基地爆炸1伤害1全技能	19易伤26基地爆炸3核49攻速59低血量敌人7全技能8加一9序列升级a伤害
11	41214 25122	   	228.00	紫2易伤2攻速2伤害1基地爆炸1暴击	1a易伤2基地爆炸3核4a攻速5低血量敌人6暴击7平台8a伤害9双倍秒伤a序列升级
12	41235 33511	 * 	225.31	紫1基础对甲1易伤2基地爆炸1攻速1全技能	1易伤2a基地爆炸3核4低血量敌人5全技能6攻速7时间8最后敌人9基础对甲
13	41235 31511	   	225.21	紫1基础对甲1易伤2基地爆炸1攻速1全技能	1易伤2a基地爆炸3核4低血量敌人5全技能6攻速7挖青8最后敌人9基础对甲
14	41214 51234	 * 	224.64	紫2易伤2攻速2全技能2基地爆炸	19易伤26基地爆炸3核49攻速59低血量敌人7a全技能8加一9序列升级
15	61231 16236	 * 	224.55	橙2基础对甲3攻速2伤害1易伤	126掉矿379攻速4易伤59伤害89基础对甲9序列升级a核
