0	Index      	Bounty	 *	Score 	Summary	Detail	
1	36122 52224	5	 * 	302.21	橙4易伤3伤害3时间	128时间348a易伤5全技能678伤害8序列升级9核
2	43121 33553	9	 * 	294.20	橙4易伤2等级2伤害1时间	19伤害2矿等3459易伤6时间7掉矿89等级9序列升级a核
3	14122 15224	5	 * 	292.74	橙5易伤3伤害2攻速	18攻速268伤害3468a易伤5全技能68序列升级7核9随机矿
4	32321 41241	3	 * 	290.26	橙3易伤3时间2伤害1等级	139时间2攻速4加一589易伤69伤害7核9序列升级a等级
5	12112 15224	5	 * 	290.14	橙4易伤3伤害3攻速	128攻速368伤害4689易伤5全技能68序列升级7核a雷电
6	14122 15241	6	   	289.70	橙4易伤3伤害3攻速2全技能	18a攻速28a伤害348a易伤56全技能7核8a序列升级9平台
7	42122 15241	6	   	289.70	橙4易伤3伤害3攻速2全技能	18a伤害28a攻速348a易伤56全技能7核8a序列升级9平台
8	36122 52223	5	   	289.47	橙3易伤3伤害3时间	128时间348易伤5全技能678伤害8序列升级9核a雷电
9	15323 16161	4	   	289.30	橙3易伤2等级2伤害2攻速1时间	19攻速29a易伤3时间46等级5挖青7核89伤害9序列升级
10	36533 22224	7	   	288.93	橙3易伤3伤害3时间2全技能	128时间348伤害57全技能68a易伤8序列升级9核
11	43122 23553	9	 * 	287.74	橙3易伤2等级2伤害2时间	19伤害2矿等349易伤56时间7掉矿89等级9序列升级a核
12	36122 22225	6	 * 	287.21	橙5易伤3时间1伤害	128时间34789易伤5全技能6核8序列升级a伤害
13	42122 15224	5	 * 	284.52	橙5易伤2伤害3攻速	18伤害268攻速3468a易伤5全技能68序列升级7核9随机矿
14	21131 31445	8	 * 	283.69	橙5易伤3时间1等级	189挖尘2立即金币34589易伤689时间7核89序列升级a等级
15	41221 64222	3	 * 	282.32	橙3易伤3伤害2等级	168伤害2全技能3立即金币468易伤5挖青68序列升级78等级9核a双倍矿
16	41221 64223	3	   	282.32	橙3易伤3伤害2等级	168伤害2全技能3立即金币468易伤5挖青68序列升级78等级9核a平台
17	44212 42222	3	   	282.32	橙3易伤3伤害2等级	128伤害3低血量敌人478易伤5全技能68等级8序列升级9核a双倍矿
18	44212 42223	3	   	282.32	橙3易伤3伤害2等级	128伤害3低血量敌人478易伤5全技能68等级8序列升级9核a平台
19	44222 42222	4	   	282.32	橙3易伤3伤害2等级	128伤害3低血量敌人478易伤5全技能68等级8序列升级9核a双倍矿
20	44222 42223	4	   	282.32	橙3易伤3伤害2等级	128伤害3低血量敌人478易伤5全技能68等级8序列升级9核a平台
21	42122 15212	6	   	282.27	橙4易伤3伤害2全技能2攻速	18a伤害28攻速348a易伤56全技能7核8a序列升级9a低血量敌人
22	42122 15262	6	   	282.27	橙4易伤3伤害2全技能2攻速	18a伤害28攻速348a易伤56全技能7核8a序列升级9a敌人爆炸
23	36137 47141	4	   	281.95	橙3易伤3时间2伤害1等级	129时间379易伤4加一5随机矿69伤害8核9序列升级a等级
24	12112 15221	5	   	281.83	橙4易伤3伤害3攻速	128攻速368伤害4689易伤5全技能68序列升级7核a双倍矿
25	12112 15223	5	   	281.83	橙4易伤3伤害3攻速	128攻速368伤害4689易伤5全技能68序列升级7核a敌人爆炸
26	14612 15221	5	   	281.83	橙4易伤3伤害3攻速	138攻速268伤害4689易伤5全技能68序列升级7核a双倍矿
27	14612 15223	5	   	281.83	橙4易伤3伤害3攻速	138攻速268伤害4689易伤5全技能68序列升级7核a敌人爆炸
28	12112 15222	5	   	281.73	橙4易伤3伤害3攻速	128攻速368伤害4689易伤5全技能68序列升级7核a赏金塔
29	12112 15226	5	   	281.73	橙4易伤3伤害3攻速	128攻速368伤害4689易伤5全技能68序列升级7核a掉矿
30	14612 15222	5	   	281.73	橙4易伤3伤害3攻速	138攻速268伤害4689易伤5全技能68序列升级7核a赏金塔
31	12112 15225	5	   	281.59	橙4易伤3伤害3攻速1卖塔	128攻速368伤害4689易伤5全技能68序列升级7核a卖塔
32	15331 56123	4	   	281.40	橙3易伤2时间1等级1伤害1暴击	1攻速245易伤34时间4序列升级6暴击7核8伤害9雷电a等级
33	36122 52221	5	   	281.16	橙3易伤3伤害3时间	128时间348易伤5全技能678伤害8序列升级9核a低血量敌人
34	36122 52225	5	   	281.16	橙3易伤3伤害3时间	128时间348易伤5全技能678伤害8序列升级9核a基地爆炸
35	36533 32224	5	   	281.16	橙3易伤3伤害3时间	128时间348伤害5全技能6立即金币78a易伤8序列升级9核
36	36122 52222	5	   	281.06	橙3易伤3伤害3时间	128时间348易伤5全技能678伤害8序列升级9核a赏金塔
37	31215 32235	4	 * 	280.80	橙4易伤2等级2时间	17时间2额外掉落3掉矿478a易伤57等级6全技能7序列升级9核
38	31215 34135	4	   	280.80	橙4易伤2等级2时间	18时间2额外掉落3掉矿478a易伤58等级6全技能8序列升级9核
39	44124 23111	9	   	280.76	橙3易伤3伤害2等级	123伤害49a易伤56等级7攻速8核
40	12424 11161	6	 * 	280.58	橙3易伤2等级2伤害3攻速	123攻速49a易伤59等级6双倍矿7核89伤害9序列升级
41	12424 13161	8	   	280.58	橙3易伤2等级2伤害3攻速	123攻速49a易伤59等级6双倍矿79伤害8核9序列升级
42	12424 21161	5	   	280.58	橙3易伤2等级2伤害3攻速	123攻速49a易伤59等级6立即金币7核89伤害9序列升级
43	12425 21161	4	   	280.58	橙3易伤2等级2伤害3攻速	123攻速49a易伤59等级6立即金币7核89伤害9序列升级
44	36521 71241	3	   	280.51	橙3易伤3时间1等级1伤害2攻速	129时间3伤害4加一589易伤69攻速7核9序列升级a等级
45	42121 22642	7	   	279.82	橙4易伤2伤害2时间2攻速	19伤害26攻速3459易伤7额外掉落89时间9序列升级a核
