0	Index      	 *	Score 	Summary	Detail	
1	21113 12321	 * 	397.50	橙2易伤1双倍秒伤2暴击1等级1时间	17暴击27随机技能3随机矿4时间5等级67易伤7序列升级8核9平台a双倍秒伤
2	21112 45321	   	397.40	橙2易伤1双倍秒伤2暴击1等级1时间	16暴击2随机技能3随机矿4时间56易伤6序列升级7等级8核9平台a双倍秒伤
3	24331 21611	 * 	387.54	紫3易伤1双倍秒伤3暴击1时间	128暴击28序列升级3核468易伤58策反7平台9时间a双倍秒伤
4	24335 21611	   	387.34	紫3易伤1双倍秒伤3暴击1时间	128暴击28序列升级3核468易伤5核弹7平台9时间a双倍秒伤
5	24336 21611	   	387.34	紫3易伤1双倍秒伤3暴击1时间	128暴击28序列升级3核468易伤58攻速7平台9时间a双倍秒伤
6	33533 16333	 * 	381.45	橙2易伤1双倍秒伤2伤害2时间	17伤害27易伤3最后敌人4赏金邻近5敌人爆炸67时间7序列升级8立即金币9核a双倍秒伤
7	33533 16433	   	381.45	橙2易伤1双倍秒伤2伤害2时间	17伤害27易伤38最后敌人4赏金邻近5敌人爆炸67时间7序列升级9核a双倍秒伤
8	33536 16333	   	381.35	橙2易伤1双倍秒伤2伤害2时间	17伤害27易伤3最后敌人4赏金邻近5挖尘67时间7序列升级8立即金币9核a双倍秒伤
9	33431 46333	   	381.25	橙2易伤1双倍秒伤2伤害2时间	17伤害27易伤3基地爆炸4赏金邻近58时间67挖尘7序列升级9核a双倍秒伤
10	33411 21133	   	377.31	橙2易伤1双倍秒伤1等级1伤害1时间	1伤害25易伤3基地爆炸4掉矿6等级7时间8赏金邻近9核a双倍秒伤
11	63134 31133	 * 	374.83	橙3易伤1双倍秒伤1时间	13技能点235易伤3序列升级4敌人爆炸6最后敌人7时间8赏金邻近9核a双倍秒伤
12	63134 41133	   	374.83	橙3易伤1双倍秒伤1时间	13技能点235易伤3序列升级4敌人爆炸6基地爆炸7时间8赏金邻近9核a双倍秒伤
13	63154 31133	   	374.83	橙3易伤1双倍秒伤1时间	13技能点235易伤3序列升级4基地爆炸6最后敌人7时间8赏金邻近9核a双倍秒伤
14	63334 31133	   	374.83	橙3易伤1双倍秒伤1时间	1技能点235易伤4敌人爆炸6最后敌人7时间8赏金邻近9核a双倍秒伤
15	63334 41133	   	374.83	橙3易伤1双倍秒伤1时间	1技能点235易伤4敌人爆炸6基地爆炸7时间8赏金邻近9核a双倍秒伤
16	63354 31133	   	374.83	橙3易伤1双倍秒伤1时间	1技能点235易伤4基地爆炸6最后敌人7时间8赏金邻近9核a双倍秒伤
17	63133 41133	   	374.73	橙3易伤1双倍秒伤1时间	13技能点236易伤3序列升级4敌人爆炸5挖尘7时间8赏金邻近9核a双倍秒伤
18	63153 41133	   	374.73	橙3易伤1双倍秒伤1时间	13技能点236易伤3序列升级4基地爆炸5挖尘7时间8赏金邻近9核a双倍秒伤
19	63163 41133	   	374.73	橙3易伤1双倍秒伤1时间	13技能点236易伤3序列升级4最后敌人5挖尘7时间8赏金邻近9核a双倍秒伤
20	63333 41133	   	374.73	橙3易伤1双倍秒伤1时间	1技能点236易伤4敌人爆炸5挖尘7时间8赏金邻近9核a双倍秒伤
21	63353 41133	   	374.73	橙3易伤1双倍秒伤1时间	1技能点236易伤4基地爆炸5挖尘7时间8赏金邻近9核a双倍秒伤
22	63363 41133	   	374.73	橙3易伤1双倍秒伤1时间	1技能点236易伤4最后敌人5挖尘7时间8赏金邻近9核a双倍秒伤
23	21114 12321	   	371.30	橙2易伤1双倍秒伤2暴击1时间	17暴击27随机技能3随机矿4时间5金币生成67易伤7序列升级8核9平台a双倍秒伤
24	33431 66333	   	368.99	橙2易伤1双倍秒伤2伤害1时间	17伤害27易伤3基地爆炸4赏金邻近5时间67最后敌人7序列升级8立即金币9核a双倍秒伤
25	33531 46333	   	368.79	橙2易伤1双倍秒伤2伤害1时间	17伤害27易伤3最后敌人4赏金邻近5时间67挖尘7序列升级8立即金币9核a双倍秒伤
