0	Index      	 *	Score 	Summary	Detail	
1	63361 12134	 * 	362.43	紫3易伤1双倍秒伤1暴击1时间	1核2风暴减费368易伤456最后敌人6序列升级7时间9暴击a双倍秒伤
2	63334 22633	 * 	358.20	紫2易伤1双倍秒伤3等级1时间1全技能	1核2风暴减费35易伤456等级5序列升级7随机技能8时间9全技能a双倍秒伤
3	36615 23321	 * 	357.15	橙2易伤1双倍秒伤1等级1时间	1核弹24易伤3掉矿5烈焰减费6核7时间8金币生成9等级a双倍秒伤
4	64313 32134	 * 	344.75	紫2易伤1双倍秒伤1暴击1等级1时间	1核2最后敌人3赏金塔4技能58易伤6等级7时间9暴击a双倍秒伤
5	33215 42613	 * 	339.89	3易伤1双倍秒伤3暴击2时间	1核弹237暴击478易伤5额外掉落67时间7序列升级9挖尘a双倍秒伤
6	33215 42623	   	339.89	3易伤1双倍秒伤3暴击2时间1挖怪	1核弹237暴击478易伤5额外掉落67时间7序列升级9挖怪a双倍秒伤
7	63334 53212	 * 	337.21	紫4易伤2等级1伤害1时间	1核2风暴减费359a易伤45等级5序列升级6掉矿7时间8伤害
8	63321 56312	   	334.93	紫3易伤1双倍秒伤1时间	1核27风暴减费378易伤4随机技能5掉矿67雷电7序列升级9时间a双倍秒伤
9	36435 23212	 * 	334.01	橙4易伤1伤害1时间	1核弹249a易伤3矿等5毒气减费6核7时间8伤害
10	36615 23212	   	333.91	橙4易伤1伤害1时间	1核弹249a易伤3掉矿5烈焰减费6核7时间8伤害
