0	Index      	 *	Score 	Summary	Detail	
1	51213 35115	 * 	309.22	橙4易伤3等级3策反	19a策反2矿等39a等级4金币生成5暴雪减费689a易伤7核9a序列升级
2	21213 35115	 * 	300.62	橙3易伤2等级2攻速1伤害	19攻速2矿等39等级4金币生成5暴雪减费689易伤7核9序列升级a伤害
3	21243 35115	   	300.52	橙3易伤2等级2攻速1伤害	19攻速2矿等39等级4掉矿5暴雪减费689易伤7核9序列升级a伤害
4	21213 35113	   	294.21	橙3易伤2等级2攻速1暴击	19攻速2矿等39等级4金币生成5暴雪减费689易伤7核9序列升级a暴击
5	21243 35113	   	294.11	橙3易伤2等级2攻速1暴击	19攻速2矿等39等级4掉矿5暴雪减费689易伤7核9序列升级a暴击
6	21213 35114	 * 	292.00	橙3易伤2等级3攻速	19a攻速2矿等39等级4金币生成5暴雪减费689易伤7核9序列升级
7	21243 35114	   	291.90	橙3易伤2等级3攻速	19a攻速2矿等39等级4掉矿5暴雪减费689易伤7核9序列升级
8	21258 44427	 * 	290.12	紫3易伤2等级2攻速	18攻速2矿等38等级4加一5核6挖青789易伤8序列升级a时间
9	46142 32132	 * 	289.76	紫橙3易伤2全技能1伤害	1挖尘29核38a易伤45全技能6伤害7随机技能
10	21154 35112	   	287.60	橙3易伤2等级2攻速	17攻速27矿等359易伤4最后敌人67等级7序列升级8随机技能a核
11	21124 35112	   	287.50	橙3易伤2等级2攻速	17攻速27矿等359易伤4挖尘67等级7序列升级8随机技能a核
12	21258 44426	   	287.40	紫3易伤2等级2攻速	18攻速2矿等38等级4加一5核6挖青789易伤8序列升级a随机技能
13	21258 44417	   	285.49	紫2等级2易伤2攻速1毒气减费	18攻速2矿等38等级4加一5核6挖青78易伤8序列升级9毒气减费a时间
14	21258 44436	   	285.49	紫2等级2易伤2攻速1毒气减费	18攻速2矿等38等级4加一5核6挖青78易伤8序列升级9时间a毒气减费
15	24112 14243	   	284.08	橙3易伤1等级2攻速1火球减费	16攻速2最后敌人3额外掉落4等级56a易伤6序列升级7火球减费8时间9核
16	21258 44416	   	282.77	紫2等级2易伤2攻速1毒气减费	18攻速2矿等38等级4加一5核6挖青78易伤8序列升级9毒气减费a随机技能
17	46142 33221	 * 	282.38	紫2易伤1等级2伤害2全技能1烈焰减费	17挖尘2核37易伤45全技能67伤害7序列升级8等级9矿等a烈焰减费
18	21258 44461	 * 	280.86	紫3等级2易伤3攻速	18a攻速2矿等389等级4加一5核6挖青78易伤8序列升级
19	21213 35111	   	280.56	橙3易伤2等级2攻速	19攻速2矿等39等级4金币生成5暴雪减费689易伤7核9序列升级a最后敌人
20	21258 44422	   	280.46	紫3易伤2等级2攻速	18攻速2矿等38等级4加一5核6挖青789易伤8序列升级a金币生成
21	21258 44423	   	280.46	紫3易伤2等级2攻速	18攻速2矿等38等级4加一5核6挖青789易伤8序列升级a技能点
22	21258 44425	   	280.46	紫3易伤2等级2攻速	18攻速2矿等38等级4加一5核6挖青789易伤8序列升级a最后敌人
23	21213 35112	   	280.46	橙3易伤2等级2攻速	19攻速2矿等39等级4金币生成5暴雪减费689易伤7核9序列升级a狙击对直升
24	21213 35116	   	280.46	橙3易伤2等级2攻速	19攻速2矿等39等级4金币生成5暴雪减费689易伤7核9序列升级a挖尘
25	21243 35111	   	280.46	橙3易伤2等级2攻速	19攻速2矿等39等级4掉矿5暴雪减费689易伤7核9序列升级a最后敌人
26	21258 44421	   	280.36	紫3易伤2等级2攻速	18攻速2矿等38等级4加一5核6挖青789易伤8序列升级a雷电减费
27	21258 44424	   	280.36	紫3易伤2等级2攻速	18攻速2矿等38等级4加一5核6挖青789易伤8序列升级a挖尘
28	21243 35112	   	280.36	橙3易伤2等级2攻速	19攻速2矿等39等级4掉矿5暴雪减费689易伤7核9序列升级a狙击对直升
29	21243 35116	   	280.36	橙3易伤2等级2攻速	19攻速2矿等39等级4掉矿5暴雪减费689易伤7核9序列升级a挖尘
30	46131 32232	 * 	279.35	紫3易伤1等级2伤害1暴击	1挖尘2核348易伤5矿等6暴击7a伤害9等级
31	46136 32232	   	279.35	紫3易伤1等级2伤害1暴击	1挖尘2核348易伤5随机矿6暴击7a伤害9等级
32	46151 32232	   	279.35	紫3易伤1等级2伤害1暴击	14挖尘2核348易伤4序列升级5矿等6暴击7a伤害9等级
33	46133 32232	   	279.25	紫3易伤1等级2伤害1暴击	1挖尘2核348易伤5掉矿6暴击7a伤害9等级
34	46153 32232	   	279.25	紫3易伤1等级2伤害1暴击	14挖尘2核348易伤4序列升级5掉矿6暴击7a伤害9等级
35	46133 32215	   	279.25	紫3易伤1等级2伤害1暴击	1挖尘2核348易伤5掉矿6暴击79伤害a等级
