0	Index      	Bounty	 *	Score 	Summary	Detail	
1	16221 32512	10	 * 	295.44	橙5易伤3伤害2雷电	1双倍物品2457a易伤357伤害57序列升级67雷电8敌人爆炸9核
2	61431 21511	1	 * 	291.73	橙4易伤3时间2等级1伤害	1加一2368易伤456时间68序列升级78等级9伤害a核
3	16221 32143	5	 * 	289.67	橙4易伤2伤害2时间1暴击	1双倍物品2458易伤35伤害5序列升级6核7暴击9a时间
4	16221 32553	9	   	289.55	橙4易伤3伤害2雷电1暴击	1双倍物品2457易伤357伤害57序列升级67雷电8敌人爆炸9暴击a核
5	16221 32166	5	   	289.38	橙5易伤2伤害1暴击1攻速	1双倍物品2458a易伤35伤害5序列升级6核7暴击9攻速
6	61431 25418	1	 * 	287.39	橙5易伤3时间1等级	1加一2368a易伤456时间6序列升级7核9等级
7	61468 33123	1	   	287.03	橙4易伤2伤害2时间1攻速	1加一237a易伤4攻速5a伤害6核8挖青9a时间a序列升级
8	23236 43122	3	 * 	286.04	橙5易伤2伤害2攻速	1a掉矿25攻速3立即金币4579a易伤5a序列升级6核8a伤害
9	52136 43122	3	   	286.04	橙5易伤2伤害2攻速	1立即金币2a伤害35掉矿4579a易伤5a序列升级6核8a攻速
10	21636 43122	2	   	285.94	橙5易伤2伤害2攻速	12a掉矿25a序列升级35攻速4579a易伤6核8a伤害
11	16221 32162	5	   	285.50	橙4易伤3伤害1暴击1攻速	1双倍物品2458易伤35a伤害5序列升级6核7暴击9攻速
12	21151 31512	4	 * 	285.29	橙3易伤3伤害3攻速1等级	123掉矿279序列升级479攻速579伤害679易伤8核a等级
13	21161 31512	3	   	285.29	橙3易伤3伤害3攻速1等级	123掉矿279序列升级479攻速579伤害679易伤8核a等级
14	61431 25437	1	   	284.79	橙5易伤3时间1暴击	1加一23689易伤456时间6序列升级7核a暴击
15	52132 66111	2	 * 	282.96	橙3易伤3时间2伤害1等级	1立即金币27伤害3等级478易伤567时间7序列升级9加一a核
16	16261 11321	9	   	282.75	橙4易伤2伤害2攻速1时间	1双倍物品259a易伤39伤害4时间6金币生成79攻速8核9序列升级
17	23236 43162	3	 * 	282.16	橙4易伤3伤害2攻速	1a掉矿25攻速3立即金币457a易伤5a序列升级6核89a伤害
18	16221 32511	10	 * 	280.91	橙4易伤3伤害3雷电	1双倍物品2457易伤357伤害57序列升级67a雷电8敌人爆炸9核
19	61468 33423	1	 * 	279.75	橙4易伤2时间2攻速1伤害	1加一237a易伤4a攻速5伤害6核8最后敌人9a时间a序列升级
20	16221 32413	5	   	279.70	橙3易伤2伤害1等级1时间1暴击1攻速	1双倍物品245易伤35伤害5序列升级6核7暴击8等级9攻速a时间
21	61431 25417	1	   	277.51	橙4易伤3时间1等级1全技能	1加一2368易伤456时间6序列升级7核9等级a全技能
22	21151 31515	4	   	277.34	橙3易伤3伤害3攻速	123掉矿279序列升级479攻速579伤害679易伤8核a雷电
23	21161 31515	3	   	277.34	橙3易伤3伤害3攻速	123掉矿279序列升级479攻速579伤害679易伤8核a雷电
24	16221 13355	10	   	277.09	橙4易伤3伤害1等级	1双倍物品2456易伤359伤害5序列升级7金币生成8等级a核
25	16221 32366	5	 * 	276.16	橙4易伤2伤害2暴击1攻速	1双倍物品245a易伤35伤害5序列升级6核78暴击9攻速
26	61421 31543	1	   	276.12	橙4易伤2伤害2时间	1加一239a易伤4基地爆炸5a时间6核7随机矿8a伤害a序列升级
27	61512 31543	1	   	276.12	橙4易伤2伤害2时间	1加一259a易伤3敌人爆炸4a时间6核7随机矿8a伤害a序列升级
28	16221 32511	9	   	275.90	橙4易伤3伤害2雷电	1双倍物品2457易伤357伤害57序列升级67雷电8敌人爆炸9核a金币生成
29	16221 32514	10	   	275.90	橙4易伤3伤害2雷电	1双倍物品2457易伤357伤害57序列升级67雷电8敌人爆炸9核a随机矿
30	16221 32212	10	   	275.80	橙4易伤3伤害2雷电1核弹	1双倍物品2457易伤357伤害57序列升级67雷电8核弹9策反a核
31	16221 32512	9	   	275.80	橙4易伤3伤害2雷电	1双倍物品2457易伤357伤害57序列升级67雷电8敌人爆炸9核a赏金邻近
32	16221 32513	9	   	275.80	橙4易伤3伤害2雷电	1双倍物品2457易伤357伤害57序列升级67雷电8敌人爆炸9核a掉矿
33	16221 32513	10	   	275.80	橙4易伤3伤害2雷电	1双倍物品2457易伤357伤害57序列升级67雷电8敌人爆炸9核a挖尘
34	16221 32515	9	   	275.80	橙4易伤3伤害2雷电1核弹	1双倍物品2457易伤357伤害57序列升级67雷电8敌人爆炸9核a核弹
35	16221 32516	9	   	275.80	橙4易伤3伤害2雷电	1双倍物品2457易伤357伤害57序列升级67雷电8敌人爆炸9核a赏金塔
36	16224 32331	10	   	275.80	橙4易伤3伤害2雷电	1双倍物品2457易伤379伤害67雷电7序列升级8策反a核
37	16261 11324	10	   	275.77	橙3易伤3伤害2攻速1时间	1双倍物品259易伤39a伤害4时间6金币生成79攻速8核9序列升级
38	16221 32131	10	   	275.70	橙4易伤3伤害2雷电	1双倍物品2457易伤357伤害57序列升级67雷电89掉矿a核
39	16224 32231	10	   	275.70	橙4易伤3伤害2雷电	1双倍物品2457易伤379伤害67雷电7序列升级8掉矿a核
40	23563 41122	5	   	275.63	橙5易伤2伤害1攻速	17a掉矿2攻速3459a易伤6核8a伤害a序列升级
41	16221 12146	5	   	275.09	橙4易伤2伤害1时间1暴击	1双倍物品2458易伤35伤害5序列升级6基地爆炸7暴击9时间a核
42	16221 12436	5	   	275.09	橙4易伤2伤害1等级1暴击	1双倍物品245a易伤35伤害5序列升级6基地爆炸7暴击8等级9核
43	16221 13543	10	   	275.09	橙4易伤2伤害1时间1暴击	1双倍物品2456易伤35伤害5序列升级7金币生成8时间9暴击a核
44	16221 22146	6	   	275.09	橙4易伤2伤害1时间1暴击	1双倍物品2458易伤35伤害5序列升级6基地爆炸7暴击9时间a核
45	16221 22436	6	   	275.09	橙4易伤2伤害1等级1暴击	1双倍物品245a易伤35伤害5序列升级6基地爆炸7暴击8等级9核
46	16221 32115	5	   	275.09	橙4易伤2伤害1时间1暴击	1双倍物品2458易伤35伤害5序列升级6核7暴击9立即金币a时间
47	16221 32123	5	   	275.09	橙4易伤2伤害1时间1暴击	1双倍物品2458易伤35伤害5序列升级6核7暴击9基地爆炸a时间
48	16221 32133	5	   	275.09	橙4易伤2伤害1时间1暴击	1双倍物品2458易伤35伤害5序列升级6核7暴击9敌人爆炸a时间
49	16221 32146	5	   	275.09	橙4易伤2伤害1时间1暴击	1双倍物品2458易伤35伤害5序列升级6核7暴击9时间a随机矿
50	16221 32426	5	   	275.09	橙4易伤2伤害1等级1暴击	1双倍物品245a易伤35伤害5序列升级6核7暴击8等级9基地爆炸
51	16221 52136	6	   	275.09	橙4易伤2伤害1时间1暴击	1双倍物品2458易伤35伤害5序列升级6时间7暴击9基地爆炸a核
52	16221 32141	5	   	274.99	橙4易伤2伤害1时间1暴击	1双倍物品2458易伤35伤害5序列升级6核7暴击9时间a挖尘
53	16221 32142	5	   	274.99	橙4易伤2伤害1时间1暴击	1双倍物品2458易伤35伤害5序列升级6核7暴击9时间a加一
54	16221 32145	5	   	274.99	橙4易伤2伤害1时间1暴击	1双倍物品2458易伤35伤害5序列升级6核7暴击9时间a掉矿
55	16221 32265	5	   	274.99	橙4易伤2伤害1时间1暴击	1双倍物品245a易伤35伤害5序列升级6核7暴击8赏金邻近9时间
