0	Index      	Bounty	 *	Score 	Summary	Detail	
1	14361 32363	5	 * 	309.05	橙4易伤3伤害2时间2暴击	1全技能268a易伤35暴击45a伤害5a序列升级7a时间9核
2	14362 32363	5	 * 	305.32	橙5易伤2伤害2时间1暴击	1全技能2568a易伤3暴击4a伤害7a时间9核a序列升级
3	14333 12363	7	   	305.32	橙5易伤2伤害2时间1暴击	1全技能2678a易伤3暴击4a时间5a伤害9核a序列升级
4	14333 12463	8	   	305.32	橙5易伤2伤害2时间1暴击	1全技能2678a易伤3暴击4a时间5a伤害9核a序列升级
5	14333 12663	8	   	302.64	橙4易伤3伤害2时间1暴击	1全技能267a易伤3暴击4a时间58a伤害9核a序列升级
6	33133 22433	9	 * 	301.12	橙5易伤3伤害2等级	1挖青258伤害3589a易伤4立即金币58序列升级6核78等级
7	14333 32363	7	 * 	300.21	橙4易伤3时间2伤害1暴击	1全技能278a易伤3暴击46a时间5a伤害9核a序列升级
8	14333 32463	8	   	300.21	橙4易伤3时间2伤害1暴击	1全技能278a易伤3暴击46a时间5a伤害9核a序列升级
9	33133 22435	10	   	299.02	橙4易伤3伤害2等级1时间	1挖青258伤害3589易伤4立即金币58序列升级6核78等级a时间
10	14361 32163	5	   	295.77	橙3易伤3伤害2时间2暴击2全技能	18全技能26a易伤35暴击45a伤害5a序列升级7a时间9核
11	14333 32663	8	 * 	294.81	橙3易伤3伤害3时间1暴击	1全技能27a易伤3暴击46a时间58a伤害9核a序列升级
12	14362 32163	5	   	294.75	橙4易伤2伤害2时间2全技能1暴击	18全技能256a易伤3暴击4a伤害7a时间9核a序列升级
13	14333 12163	7	   	294.75	橙4易伤2伤害2时间2全技能1暴击	18全技能267a易伤3暴击4a时间5a伤害9核a序列升级
14	14333 42363	7	   	294.75	橙4易伤2伤害2时间2全技能1暴击	16全技能278a易伤3暴击4a时间5a伤害9核a序列升级
15	33133 21354	9	   	292.94	橙5易伤3伤害1等级	1挖青259伤害35789易伤4立即金币59序列升级6核a等级
16	33133 22421	10	   	291.08	橙4易伤3伤害2等级	1挖青258伤害358a易伤4立即金币58序列升级6核78等级9攻速
17	14312 32363	3	   	286.98	橙4易伤2伤害2时间1暴击	1全技能258a易伤3暴击4双倍矿6a伤害7a时间9核a序列升级
18	14333 14363	6	   	286.98	橙4易伤2伤害2时间1暴击	1全技能268a易伤3暴击4a时间5a伤害7立即金币9核a序列升级
19	14333 32163	7	   	286.93	橙3易伤3时间2伤害2全技能1暴击	18全技能27a易伤3暴击46a时间5a伤害9核a序列升级
20	14361 12453	8	 * 	284.16	橙4易伤3伤害3暴击	1全技能279a易伤35a暴击45a伤害5a序列升级6加一8核
21	14361 12453	9	   	284.16	橙4易伤3伤害3暴击	1全技能279a易伤35a暴击45a伤害5a序列升级6加一8核
22	33133 22236	9	   	282.77	橙4易伤3伤害2等级	1挖青25a伤害358a易伤4立即金币5a序列升级6核7a等级9额外掉落
23	33133 22431	10	   	282.77	橙4易伤3伤害2等级	1挖青258伤害3589易伤4立即金币58序列升级6核78等级a矿等
