0	Index      	 *	Score 	Summary	Detail	
1	41365 12111	 * 	294.32	橙3雷电2易伤2伤害2攻速	1全技能245雷电3a攻速6核7随机矿8a伤害9a易伤a序列升级
2	42365 12111	   	294.32	橙3雷电2易伤2伤害2攻速	1全技能2a攻速345雷电6核7随机矿8a伤害9a易伤a序列升级
3	33626 21161	 * 	292.67	橙3雷电4易伤2攻速	1a最后敌人256a易伤346雷电6a序列升级7全技能8a攻速9核
4	41144 31221	 * 	278.88	橙2雷电2易伤1矿等1伤害1暴击	1全技能2a雷电3最后敌人4矿等57易伤6核8伤害9暴击
5	33614 22432	 * 	276.14	橙2矿等1雷电2易伤2伤害1卖塔	1最后敌人2a易伤3雷电4卖塔5低血量敌人6a伤害7核8压碎对壮9a矿等a序列升级
6	33623 21161	   	273.51	橙3雷电3易伤2攻速	15a最后敌人26a易伤346雷电6a序列升级7全技能8a攻速9核
7	33626 23325	   	271.51	橙3雷电4易伤	1最后敌人2569易伤346雷电6序列升级7敌人爆炸8策反a核
8	62132 14315	 * 	270.70	紫2雷电3易伤1矿等1全技能1暴击	167激光对冰2多重对甲37雷电4核567易伤67序列升级8矿等9暴击a全技能
9	62132 14312	 * 	270.67	紫2雷电2矿等3易伤1暴击	167激光对冰2多重对甲37雷电4核567易伤67序列升级8a矿等9暴击
10	64136 23112	 * 	270.07	紫2雷电2易伤2伤害1矿等1暴击	1激光对冰2a雷电3最后敌人4核5矿等6a伤害7暴击8a易伤9挖青a序列升级
11	11333 61422	   	269.86	橙2雷电2易伤1矿等1全技能1暴击	18基地爆炸2暴击38易伤4最后敌人5矿等68雷电7额外掉落8序列升级9核a全技能
12	11343 61422	   	269.86	橙2雷电2易伤1矿等1全技能1暴击	18基地爆炸2暴击38易伤4低血量敌人5矿等68雷电7额外掉落8序列升级9核a全技能
13	41144 31212	   	269.66	橙1雷电2易伤1矿等1伤害1暴击1攻速	1全技能2雷电3最后敌人4矿等57易伤6核8伤害9攻速a暴击
14	64321 25331	   	268.37	紫2雷电2易伤2伤害1矿等1攻速	1激光对冰29雷电3矿等4最后敌人5核69伤害7敌人爆炸89易伤9序列升级a攻速
15	64331 21331	   	268.37	紫2雷电2易伤2伤害1矿等1攻速	1激光对冰29雷电3矿等4低血量敌人5核69伤害7最后敌人89易伤9序列升级a攻速
16	64331 25331	   	268.37	紫2雷电2易伤2伤害1矿等1攻速	1激光对冰29雷电3矿等4低血量敌人5核69伤害7敌人爆炸89易伤9序列升级a攻速
17	64341 21331	   	268.37	紫2雷电2易伤2伤害1矿等1攻速	1激光对冰29雷电3矿等4基地爆炸5核69伤害7最后敌人89易伤9序列升级a攻速
18	64321 23112	   	268.27	紫2雷电2易伤2伤害1矿等1暴击	1激光对冰2a雷电3矿等4最后敌人5核6a伤害7暴击8a易伤9挖青a序列升级
19	64321 23152	   	268.27	紫2雷电2易伤2伤害1矿等1暴击	1激光对冰2a雷电3矿等4最后敌人5核6a伤害7暴击8a易伤9加一a序列升级
20	41131 31421	 * 	267.50	橙2雷电3易伤1矿等	1全技能29雷电3最后敌人479易伤5随机矿6核89低血量敌人9序列升级a矿等
21	41131 31121	   	267.30	橙2雷电3易伤1矿等2时间	1全技能29雷电3最后敌人479易伤5随机矿6核89时间9序列升级a矿等
22	41361 32613	 * 	266.37	橙3雷电1易伤1矿等1核弹1攻速	1全技能249雷电3攻速5矿等6双倍矿7易伤8核a核弹
23	42361 32613	   	266.37	橙3雷电1易伤1矿等1核弹1攻速	1全技能2攻速349雷电5矿等6双倍矿7易伤8核a核弹
24	21326 62333	 * 	266.17	橙3雷电1易伤1矿等1伤害1攻速	1掉矿2爆破对冰3易伤4矿等56a雷电7攻速8核9伤害
25	41144 31211	 * 	266.07	橙2矿等1雷电2易伤1伤害1攻速	1全技能2雷电3最后敌人4a矿等57易伤6核8伤害9攻速
26	33626 21124	   	266.00	橙3雷电3易伤1攻速	1最后敌人256易伤346雷电6序列升级7全技能8攻速9策反a核
27	33661 12242	   	265.95	橙2雷电2易伤1矿等1暴击	157最后敌人27易伤37雷电4平台6核7序列升级8暴击9策反a矿等
