0	Index      	 *	Score 	Summary	Detail	
1	22633 41532	 * 	285.41	ACR|DCR|3VULN|1TLV|1MLV	1ERES|2aRCR|3CGEN|459VULN|6TLV|7BEXP|8MLV
2	32623 53262	 * 	280.45	DCR|DCR|2MLV|1DMG|1ASPD	1MDPS|2TBNT|3ASPD|4DMG|5DUR|6LHND|79RCR|8aMLV
3	32651 13262	   	280.45	DCR|DCR|2MLV|1DMG|1ASPD	1MDPS|2TBNT|3ASPD|4LWND|5DUR|6DMG|79RCR|8aMLV
4	51633 13142	 * 	279.35	DCR|DCR|1VULN|1MLV|1AAC|1CDMG|1SELL	1SELL|2VULN|3CDMG|4MLV|5LWND|6RAT|7AAC|8AEFBLL|9aRCR
5	51633 12142	 * 	278.71	DCR|DCR|1VULN|1MLV|1ASPD|1CDMG|1SELL	1SELL|2VULN|3CDMG|4MLV|5LWND|6RAT|7ASPD|8AEFBLL|9aRCR
6	31153 63325	 * 	276.57	DCR|3VULN|2MLV|1TLV|1ASPD	1MDPS|2FEWX|357VULN|4aMLV|6TLV|8RCR|9ASPD
7	62335 43123	 * 	274.09	DCR|DCR|1VULN|1TLV|1DMG	14ZMB|2MDPS|34LIT|4BPWR|5AART|6VULN|7TLV|8aRCR|9DMG
8	66611 33123	   	274.09	DCR|DCR|1VULN|1TLV|1DMG	1ZMB|2FEWX|3TLV|4AART|5LWND|6LIT|7VULN|8aRCR|9DMG
9	61611 33123	   	273.99	DCR|DCR|1VULN|1TLV|1DMG	1ZMB|2DUST|3TLV|4AART|5LWND|6LIT|7VULN|8aRCR|9DMG
10	61633 62123	   	273.99	DCR|DCR|1VULN|1TLV|1DMG	1ZMB|2DUST|3TLV|4VULN|5LIT|6LHND|7AART|8aRCR|9DMG
11	61633 52123	   	273.89	DCR|DCR|1VULN|1TLV|1DMG	1ZMB|2DUST|3TLV|4VULN|5LIT|6LEGI|7AART|8aRCR|9DMG
12	32652 13262	   	272.05	DCR|DCR|2MLV|1DMG|1ASPD	1MDPS|2TBNT|3ASPD|4LWND|5DUST|6DMG|79RCR|8aMLV
13	32623 53261	   	271.54	DCR|DCR|1MLV|1DMG|1AAC|1ASPD	1MDPS|2TBNT|3ASPD|4DMG|5DUR|6LHND|79RCR|8MLV|aAAC
14	32651 13261	   	271.54	DCR|DCR|1MLV|1DMG|1AAC|1ASPD	1MDPS|2TBNT|3ASPD|4LWND|5DUR|6DMG|79RCR|8MLV|aAAC
15	31153 63321	 * 	270.83	DCR|3VULN|1TLV|1MLV|1DMG|1ASPD	1MDPS|2FEWX|357VULN|4MLV|6TLV|8RCR|9ASPD|aDMG
16	61611 33163	   	270.82	DCR|DCR|1VULN|1TLV|1AAC	1ZMB|2DUST|3TLV|4AART|5LWND|6LIT|7VULN|8aRCR|9AAC
17	33155 13326	   	270.73	DCR|3VULN|1TLV|1MLV|1DMG|1ASPD	1MDPS|2DUST|367VULN|4MLV|5DMG|8RCR|9ASPD|aTLV
18	32216 64313	   	270.72	DCR|DCR|1VULN|1TLV|1AAC	1MDPS|2TBNT|3SNIFST|4TLV|5DUR|6BBNT|7AAC|8aRCR|9VULN
19	51632 15312	   	269.14	DCR|3VULN|1MLV|1DMG|1AAC|1ASPD|1CDMG|1SELL	1SELL|28aVULN|3CDMG|4MLV|5AAC|6ASPD|7RCR|9DMG
20	31152 13326	   	267.66	DCR|3VULN|1TLV|1MLV|1AAC|1ASPD	1MDPS|2FEWX|367VULN|4MLV|5AAC|8RCR|9ASPD|aTLV
21	33152 13326	   	267.56	DCR|3VULN|1TLV|1MLV|1AAC|1ASPD	1MDPS|2DUST|367VULN|4MLV|5AAC|8RCR|9ASPD|aTLV
22	31153 63324	 * 	265.35	DCR|3VULN|1TLV|2ASPD|1MLV	1MDPS|2FEWX|357VULN|4MLV|6TLV|8RCR|9aASPD
23	46312 12142	   	264.96	DCR|DCR|1MLV|1AAC|1ASPD|2DUR	1LHND|24DUR|3AEFRZ|5AAC|6ASPD|7RAT|8MLV|9aRCR
24	33155 13325	 * 	264.45	DCR|3VULN|2MLV|1DMG|1ASPD	1MDPS|2DUST|367VULN|4aMLV|5DMG|8RCR|9ASPD
25	36112 52613	 * 	264.07	DCR|DCR|1VULN|1MLV|1CDMG	1MDPS|2LWND|3VULN|4CGEN|5AART|68RCR|7MLV|9FEWX|aCDMG
26	61222 13642	 * 	263.36	DCR|DCR|2VULN|1AAC	1ZMB|23DUST|48VULN|5ERES|6RAT|7AAC|9aRCR
27	22632 41532	   	263.17	ACR|DCR|2VULN|1TLV|1MLV	1ERES|2aRCR|3CGEN|49VULN|5AEFBLL|6TLV|7BEXP|8MLV
28	32652 13261	   	263.13	DCR|DCR|1MLV|1DMG|1AAC|1ASPD	1MDPS|2TBNT|3ASPD|4LWND|5DUST|6DMG|79RCR|8MLV|aAAC
29	31166 21212	 * 	262.78	ACR|DCR|2MLV|1VULN|1TLV	1MDPS|2FEWX|3VULN|4aRCR|56MLV|7BEXP|8TLV|9DUST
30	36166 21212	   	262.78	ACR|DCR|2MLV|1VULN|1TLV	1MDPS|2LWND|3VULN|4aRCR|56MLV|7BEXP|8TLV|9DUST
