0	Index      	 *	Score 	Summary	Detail	
1	21334 41233	 * 	318.53	DCR|DCR|2MLV|1VULN|1DMG|1AAC|1CDMG	1MDPS|2aMLV|3CDMG|4DMG|5AAC|67RCR|8LWND|9VULN
2	23542 15231	 * 	302.58	DCR|DCR|1VULN|1TLV|1MLV|1DMG	1MDPS|2FRZICY|3DUR|4LIT|5TLV|6MLV|7DMG|89RCR|aVULN
3	21334 41234	   	299.66	DCR|DCR|1VULN|1MLV|1DMG|1AAC|1CDMG	1MDPS|2MLV|3CDMG|4DMG|5AAC|67RCR|8LWND|9VULN|aRAT
4	21334 41331	   	299.56	DCR|DCR|1TLV|1MLV|1DMG|1AAC|1CDMG	1MDPS|2MLV|3CDMG|4DMG|5AAC|67RCR|8BEXP|9RAT|aTLV
5	21334 41611	   	299.56	DCR|DCR|1TLV|1MLV|1DMG|1AAC|1CDMG	1MDPS|2MLV|3CDMG|4DMG|5AAC|67RCR|8RAT|9BEXP|aTLV
6	21343 44842	 * 	298.66	DCR|DCR|2VULN|1MLV|1AAC|1CDMG	1MDPS|2MLV|3CDMG|4MBVNT|5LEGI|6aRCR|7AAC|89VULN
7	21343 44812	   	298.27	DCR|DCR|2MLV|1VULN|1AAC|1CDMG	1MDPS|29MLV|3CDMG|4MBVNT|5LEGI|6aRCR|7AAC|8VULN
8	23242 15231	   	294.27	DCR|DCR|1VULN|1TLV|1MLV|1DMG	1MDPS|2FRZICY|3LWND|4LIT|5TLV|6MLV|7DMG|89RCR|aVULN
9	23342 15231	   	294.27	DCR|DCR|1VULN|1TLV|1MLV|1DMG	1MDPS|2FRZICY|3LHND|4LIT|5TLV|6MLV|7DMG|89RCR|aVULN
10	23142 15231	   	294.17	DCR|DCR|1VULN|1TLV|1MLV|1DMG	1MDPS|2FRZICY|3BEXP|4LIT|5TLV|6MLV|7DMG|89RCR|aVULN
11	12552 15231	   	294.07	DCR|DCR|1VULN|1TLV|1MLV|1DMG	1TLV|2AETHUN|3MLV|4CANSTR|5LIT|6DMG|7MDPS|89RCR|aVULN
12	36532 15231	   	294.07	DCR|DCR|1VULN|1TLV|1MLV|1DMG	1LEGI|2CANSTR|3TLV|4MLV|5LIT|6DMG|7MDPS|89RCR|aVULN
13	21334 41231	   	292.72	DCR|DCR|1VULN|1MLV|1DMG|1AAC|1CDMG	1MDPS|2MLV|3CDMG|4DMG|5AAC|67RCR|8LWND|9VULN|aLHND
14	21334 41232	   	292.62	DCR|DCR|1VULN|1MLV|1DMG|1AAC|1CDMG	1MDPS|2MLV|3CDMG|4DMG|5AAC|67RCR|8LWND|9VULN|aDUST
15	21334 41235	   	292.62	DCR|DCR|1VULN|1MLV|1DMG|1AAC|1CDMG	1MDPS|2MLV|3CDMG|4DMG|5AAC|67RCR|8LWND|9VULN|aERES
16	21334 41531	   	292.62	DCR|DCR|1VULN|1MLV|1DMG|1AAC|1CDMG	1MDPS|2MLV|3CDMG|4DMG|5AAC|67RCR|8DUST|9VULN|aLHND
17	21334 41533	   	292.62	DCR|DCR|1VULN|1MLV|1DMG|1AAC|1CDMG	1MDPS|2MLV|3CDMG|4DMG|5AAC|67RCR|8DUST|9VULN|aLWND
18	26334 41233	   	292.62	DCR|DCR|1VULN|1MLV|1DMG|1AAC|1CDMG	1MDPS|2ERES|3CDMG|4DMG|5AAC|67RCR|8LWND|9VULN|aMLV
19	21334 41532	   	292.52	DCR|DCR|1VULN|1MLV|1DMG|1AAC|1CDMG	1MDPS|2MLV|3CDMG|4DMG|5AAC|67RCR|8aDUST|9VULN
20	53641 31132	 * 	292.17	DCR|3VULN|2MLV|1TLV|1AAC|2DUR	17aVULN|27MLV|3AETHUN|4AAC|57DUR|6RCR|7BPWR|8BEXP|9TLV
21	12516 32251	   	289.45	DCR|DCR|1VULN|1TLV|1MLV	1TLV|2AETHUN|3MLV|4DUR|5FEWX|6aRCR|7RAT|8VULN|9RMIN
22	12531 32251	   	289.45	DCR|DCR|1VULN|1TLV|1MLV	1TLV|2AETHUN|3MLV|4FEWX|5DUR|6aRCR|7RAT|8VULN|9RMIN
23	12531 32451	   	289.45	DCR|DCR|1VULN|1TLV|1MLV	1TLV|2AETHUN|3MLV|4FEWX|5DUR|6aRCR|7RAT|8RMIN|9VULN
