0	Index      	 *	Score 	Summary	Detail	
1	42321 52161	 * 	284.69	DCR|DCR|1VULN|1TLV|1DMG|1ASPD	1DUST|2LIT|3VULN|4ZMB|5MDPS|6ASPD|7TLV|8aRCR|9DMG
2	26131 24116	 * 	283.67	DCR|DCR|2MLV|1VULN|1AAC	1BBNT|2AEWIND|34MLV|5VULN|6AAC|79CGEN|8aRCR
3	26131 26136	   	283.67	DCR|DCR|2MLV|1VULN|1AAC	1BBNT|2AEWIND|34MLV|5VULN|6AAC|7RMIN|8aRCR|9DMSP
4	36131 24116	   	283.67	DCR|DCR|2MLV|1VULN|1AAC	1TBNT|2AEWIND|34MLV|5VULN|6AAC|79CGEN|8aRCR
5	36131 26136	   	283.67	DCR|DCR|2MLV|1VULN|1AAC	1TBNT|2AEWIND|34MLV|5VULN|6AAC|7RMIN|8aRCR|9DMSP
6	22141 45211	 * 	280.24	DCR|DCR|2DMG|1VULN|1MLV	1BBNT|26DMG|3LIT|4MLV|5VENFST|78RCR|9FEWX|aVULN
7	32141 45211	   	280.24	DCR|DCR|2DMG|1VULN|1MLV	1TBNT|26DMG|3LIT|4MLV|5VENFST|78RCR|9FEWX|aVULN
8	22141 45223	   	280.14	DCR|DCR|2DMG|1VULN|1MLV	1BBNT|26DMG|3LIT|4MLV|5VENFST|78RCR|9MULARM|aVULN
9	22141 45231	   	280.14	DCR|DCR|2DMG|1VULN|1MLV	1BBNT|26DMG|3LIT|4MLV|5VENFST|78RCR|9BEXP|aVULN
10	32141 45223	   	280.14	DCR|DCR|2DMG|1VULN|1MLV	1TBNT|26DMG|3LIT|4MLV|5VENFST|78RCR|9MULARM|aVULN
11	32141 45231	   	280.14	DCR|DCR|2DMG|1VULN|1MLV	1TBNT|26DMG|3LIT|4MLV|5VENFST|78RCR|9BEXP|aVULN
12	13431 65131	   	279.44	DCR|DCR|1VULN|1MLV|1DMG|1AAC	1ZMB|2AAC|3LIT|4MLV|5LEGI|6VULN|7DMG|8MDPS|9aRCR
13	14165 44131	 * 	278.87	DCR|DCR|2VULN|1MLV	1ZMB|27VULN|3DUR|4MBVNT|5LIT|6MLV|8MDPS|9aRCR
