0	Index      	 *	Score 	Summary	Detail	
1	14211 11362	 * 	279.01	橙3易伤2喷火对甲2等级2矿等	1平台28喷火对甲38等级4挖尘56矿等789易伤8序列升级a核
2	51512 46123	 * 	276.40	橙橙1易伤1等级1伤害1时间1暴击	1金币生成2等级3加一4伤害5暴击6易伤7a核8头目9时间
3	21512 66123	   	276.30	橙橙1易伤1等级1伤害1时间1暴击	1掉矿2等级3加一4伤害5暴击6易伤7a核8头目9时间
4	54131 22114	 * 	271.05	橙橙2易伤1等级1矿等	1金币生成24易伤34随机技能4序列升级5矿等6a核7雷电8等级9随机矿
5	24131 22114	   	270.95	橙橙2易伤1等级1矿等	1掉矿24易伤34随机技能4序列升级5矿等6a核7雷电8等级9随机矿
6	24113 26612	 * 	264.61	橙橙1易伤1喷火对甲1伤害1矿等	1掉矿2易伤3随机技能4赏金塔5策反69核7矿等8喷火对甲a伤害
7	51542 46123	   	263.28	橙橙1易伤1等级1时间1暴击	1金币生成2等级3加一4攻速5暴击6易伤7a核8头目9时间
8	21542 66123	   	263.18	橙橙1易伤1等级1时间1暴击	1掉矿2等级3加一4攻速5暴击6易伤7a核8头目9时间
9	51512 46333	   	262.75	橙橙1易伤1等级1伤害1暴击	1金币生成2等级3加一4伤害5暴击6易伤7a核8最后敌人9雷电
10	21512 46113	   	262.65	橙橙1易伤1等级1伤害1暴击	1掉矿2等级3加一4伤害5暴击6低血量敌人7a核8头目9易伤
11	21512 46733	   	262.65	橙橙1易伤1等级1伤害1暴击	1掉矿2等级3加一4伤害5暴击6低血量敌人7a核8易伤9雷电
12	21512 56113	   	262.65	橙橙1易伤1等级1伤害1暴击	1掉矿2等级3加一4伤害5暴击6最后敌人7a核8头目9易伤
13	21512 66333	   	262.65	橙橙1易伤1等级1伤害1暴击	1掉矿2等级3加一4伤害5暴击6易伤7a核8最后敌人9雷电
14	21515 16423	   	262.41	橙橙1易伤1等级1伤害1时间1卖塔	1掉矿2等级3加一4伤害5易伤6头目7卖塔8a核9时间
15	24112 22612	 * 	262.08	橙橙2易伤1喷火对甲	1掉矿2a易伤3随机技能4赏金塔5攻速69核7金币生成8喷火对甲
16	54112 22612	   	262.08	橙橙2易伤1喷火对甲	1金币生成2a易伤3随机技能4赏金塔5攻速69核7掉矿8喷火对甲
17	21525 27242	 * 	261.82	橙橙2等级1易伤1矿等	1掉矿28等级3加一4矿等5易伤6攻速79核a金币生成
18	21525 27244	   	261.82	橙橙2等级1易伤1矿等	1掉矿28等级3加一4矿等5易伤6攻速79核a基地爆炸
19	21525 27241	   	261.72	橙橙2等级1易伤1矿等	1掉矿28等级3加一4矿等5易伤6攻速79核a双倍秒伤
20	21525 27243	   	261.72	橙橙2等级1易伤1矿等	1掉矿28等级3加一4矿等5易伤6攻速79核a喷火对愈
21	16222 65312	 * 	259.59	橙橙2等级2时间3暴击	1平台2双倍矿39时间459暴击6a核79等级8赏金塔9序列升级
22	14221 11311	   	256.97	橙2易伤2喷火对甲2等级2矿等	1平台28喷火对甲38等级4基地爆炸56矿等78易伤8序列升级9额外掉落a核
23	14241 11311	   	256.97	橙2易伤2喷火对甲2等级2矿等	1平台28喷火对甲38等级4敌人爆炸56矿等78易伤8序列升级9额外掉落a核
24	14211 11311	   	256.87	橙2易伤2喷火对甲2等级2矿等	1平台28喷火对甲38等级4挖尘56矿等78易伤8序列升级9额外掉落a核
25	14221 11332	   	256.87	橙2易伤2喷火对甲2等级2矿等	1平台28喷火对甲38等级4基地爆炸56矿等78易伤8序列升级9毒气减费a核
26	14241 11332	   	256.87	橙2易伤2喷火对甲2等级2矿等	1平台28喷火对甲38等级4敌人爆炸56矿等78易伤8序列升级9毒气减费a核
27	14211 11332	   	256.77	橙2易伤2喷火对甲2等级2矿等	1平台28喷火对甲38等级4挖尘56矿等78易伤8序列升级9毒气减费a核
28	14211 11342	   	256.77	橙2易伤2喷火对甲2等级2矿等	1平台28喷火对甲38等级49挖尘56矿等78易伤8序列升级a核
29	24112 21356	   	255.84	橙橙1易伤1喷火对甲1伤害	1掉矿2易伤3随机技能4赏金塔5攻速69核7赏金邻近8伤害a喷火对甲
30	24113 22612	   	255.14	橙橙2易伤1喷火对甲	1掉矿2a易伤3随机技能4赏金塔5策反69核7金币生成8喷火对甲
31	54113 22612	   	255.14	橙橙2易伤1喷火对甲	1金币生成2a易伤3随机技能4赏金塔5策反69核7掉矿8喷火对甲
32	12442 35113	   	251.58	橙橙1易伤1等级1矿等	1平台2掉矿3攻速4等级5矿等6金币生成7a核8头目9易伤
33	12442 42113	   	251.58	橙橙1易伤1等级1矿等	1平台2掉矿3攻速4等级5矿等6a核7随机矿8头目9易伤
34	12442 43213	   	251.58	橙橙1易伤1等级1矿等	1平台2掉矿3攻速4等级5矿等6a核7头目8随机矿9易伤
35	54112 23412	   	251.48	橙橙2易伤1矿等	1金币生成2a易伤3随机技能4赏金塔5攻速69核7激光对冰8矿等
36	14221 22324	 * 	251.04	橙2易伤2喷火对甲3等级1矿等	1平台28喷火对甲378等级4基地爆炸5矿等68易伤8序列升级9防空对愈a核
37	14241 22324	   	251.04	橙2易伤2喷火对甲3等级1矿等	1平台28喷火对甲378等级4敌人爆炸5矿等68易伤8序列升级9防空对愈a核
38	14211 22324	   	250.94	橙2易伤2喷火对甲3等级1矿等	1平台28喷火对甲378等级4挖尘5矿等68易伤8序列升级9防空对愈a核
39	51542 46333	   	249.63	橙橙1易伤1等级1暴击	1金币生成2等级3加一4攻速5暴击6易伤7a核8最后敌人9雷电
40	14231 33165	 * 	249.56	橙2易伤2伤害1喷火对甲1等级1矿等	1平台2喷火对甲3等级48伤害5赏金邻近6核7矿等9a易伤
41	12412 43513	   	249.53	橙橙1易伤1等级1时间	1平台2掉矿3攻速4时间5火球减费6a核7头目8等级9易伤
42	12413 43513	   	249.53	橙橙1易伤1等级1时间	1平台25掉矿3攻速4时间6a核7头目8等级9易伤
43	21351 42622	   	249.53	橙橙1易伤1等级1暴击	1掉矿2等级3易伤4随机技能5挖尘6暴击7基地爆炸8a核9攻速
44	21542 46113	   	249.53	橙橙1易伤1等级1暴击	1掉矿2等级3加一4攻速5暴击6低血量敌人7a核8头目9易伤
45	21542 46733	   	249.53	橙橙1易伤1等级1暴击	1掉矿2等级3加一4攻速5暴击6低血量敌人7a核8易伤9雷电
46	21542 56113	   	249.53	橙橙1易伤1等级1暴击	1掉矿2等级3加一4攻速5暴击6最后敌人7a核8头目9易伤
47	21542 66333	   	249.53	橙橙1易伤1等级1暴击	1掉矿2等级3加一4攻速5暴击6易伤7a核8最后敌人9雷电
48	24112 22614	   	249.53	橙橙1易伤1喷火对甲1时间	1掉矿2易伤3随机技能4赏金塔5攻速69核7金币生成8喷火对甲a时间
49	32241 12345	   	249.29	橙橙2易伤1时间1卖塔	1低血量敌人2挖尘37易伤4攻速5时间6挖青8卖塔9a核
50	32241 22345	   	249.29	橙橙2易伤1时间1卖塔	1低血量敌人2挖尘37易伤4攻速5时间6雷电减费8卖塔9a核
