0	Index      	 *	Score 	Summary	Detail	
1	25632 31341	 * 	270.98	橙3易伤2喷火对甲2等级3攻速	17a攻速27等级36a易伤4技能点57喷火对甲7a序列升级8a导弹对黄9核
2	25632 12341	   	264.57	橙3易伤2喷火对甲2等级2攻速	1a攻速26等级37a易伤4技能点56喷火对甲6a序列升级8a导弹对黄9核
3	25632 31342	   	264.57	橙3易伤2喷火对甲2等级2攻速	17攻速27等级36a易伤4技能点57喷火对甲7序列升级8导弹对黄9核
4	25632 12342	   	257.85	橙3易伤2喷火对甲2等级	1攻速26等级37a易伤4技能点56喷火对甲6序列升级8导弹对黄9核
5	41132 21522	 * 	256.44	橙橙1易伤1等级1全技能1暴击1技能	1最后敌人2敌人爆炸3全技能4雷电5易伤6等级7暴击8a核9技能
6	25331 21223	 * 	253.12	橙橙2等级1易伤2攻速	14攻速24等级36头目4序列升级5立即金币7最后敌人8a核9易伤
7	25331 23613	   	253.12	橙橙2等级1易伤2攻速	14攻速24等级36头目4序列升级5立即金币7a核8易伤9低血量敌人
8	25331 23633	   	253.12	橙橙2等级1易伤2攻速	14攻速24等级36头目4序列升级5立即金币7a核8易伤9基地爆炸
9	25331 24223	   	253.12	橙橙2等级1易伤2攻速	14攻速24等级36头目4序列升级5立即金币7基地爆炸8a核9易伤
10	25331 23323	   	253.02	橙橙2等级1易伤2攻速	14攻速24等级36头目4序列升级5立即金币7a核8挖尘9易伤
11	25331 46223	   	253.02	橙橙2等级1易伤2攻速	14攻速24等级3头目4序列升级5立即金币6最后敌人7烈焰减费8a核9易伤
12	25333 66213	   	253.02	橙橙2等级1易伤2攻速	14攻速24等级3头目4序列升级59低血量敌人6易伤7毒气减费8a核
13	25334 16223	   	253.02	橙橙2等级1易伤2攻速	14攻速24等级3头目4序列升级5敌人爆炸6立即金币7烈焰减费8a核9易伤
14	25331 66223	   	252.92	橙橙2等级1易伤2攻速	14攻速24等级3头目4序列升级5立即金币6挖尘7烈焰减费8a核9易伤
15	25333 66223	   	252.92	橙橙2等级1易伤2攻速	14攻速24等级3头目4序列升级5低血量敌人6易伤7毒气减费8a核9火球减费
16	25632 32341	 * 	251.16	橙4易伤1喷火对甲1等级2攻速	1a攻速2等级367a易伤4技能点5喷火对甲8a导弹对黄9核a序列升级
17	22215 64131	 * 	244.55	橙4易伤2时间1等级	1攻速26时间3敌人爆炸4技能点568a易伤6序列升级7等级9核
18	26212 64131	   	244.55	橙4易伤2时间1等级	1攻速268a易伤3敌人爆炸4技能点56时间6序列升级7等级9核
19	25632 32342	   	244.45	橙4易伤1喷火对甲1等级	1攻速2等级367a易伤4技能点5喷火对甲8导弹对黄9核
20	21332 26443	 * 	243.29	橙橙1易伤1伤害1时间	1攻速2导弹对黄3平台4技能点5双倍秒伤67核8时间9伤害a易伤
21	21116 64332	 * 	242.76	紫橙2伤害1易伤1矿等1全技能	1攻速2导弹对黄3低血量敌人48核5a伤害6全技能7矿等9易伤
22	25361 15223	   	242.69	橙橙1易伤1等级2攻速	15攻速2等级3头目47基地爆炸6立即金币8a核9易伤
23	25632 31343	   	242.43	橙2易伤2喷火对甲2等级2攻速	17攻速27等级36易伤4技能点57喷火对甲7序列升级8导弹对黄9核a平台
24	25632 31216	   	242.28	橙2易伤2喷火对甲2等级2攻速1卖塔	17攻速27等级36易伤4技能点57喷火对甲7序列升级8卖塔9随机矿a核
25	25632 31226	   	242.28	橙2易伤2喷火对甲2等级2攻速1卖塔	17攻速27等级36易伤4技能点57喷火对甲7序列升级8卖塔9金币生成a核
