0	Index      	 *	Score 	Summary	Detail	
1	15111 53343	 * 	234.65	紫3攻速2基础对冰2基地爆炸1伤害1技能	1双倍秒伤2核38基础对冰4双倍矿58a攻速6技能78基地爆炸8序列升级9伤害
2	15112 33242	 * 	226.41	紫1基础对甲2基地爆炸1基础对冰1伤害1暴击	1双倍秒伤2核3基础对冰4双倍矿58基地爆炸6伤害7暴击9等级a基础对甲
3	15125 52212	 * 	224.40	紫1基础对甲1基础对冰2易伤1伤害1攻速	1双倍秒伤2核3基础对冰4时间5攻速6伤害7a易伤8双倍矿9基础对甲
4	15112 33261	 * 	224.24	紫2伤害2基础对冰2基地爆炸2暴击1全技能	1双倍秒伤2核3a基础对冰4双倍矿58基地爆炸6a伤害7a暴击9全技能a序列升级
5	15111 21652	 * 	222.02	紫1基础对甲2伤害1基础对冰1攻速	1双倍秒伤2核3基础对冰4双倍矿5攻速6矿等7金币生成8a伤害9基础对甲
6	15111 53316	 * 	220.43	紫2攻速2基础对冰2基地爆炸2技能1暴击	1双倍秒伤2核38基础对冰4双倍矿58攻速69技能78基地爆炸8序列升级a暴击
7	15125 11162	   	219.88	紫1基础对甲1基础对冰1攻速1基地爆炸1暴击1技能	1双倍秒伤2核3基础对冰4时间5攻速6掉矿7暴击8基地爆炸9技能a基础对甲
8	15126 11162	   	219.88	紫1基础对甲1基础对冰1伤害1基地爆炸1暴击1技能	1双倍秒伤2核3基础对冰4时间5伤害6掉矿7暴击8基地爆炸9技能a基础对甲
9	15331 21516	   	219.88	紫1基础对甲1伤害1攻速1全技能1基地爆炸1技能	1双倍秒伤2核3挖尘4基地爆炸5全技能6金币生成7伤害8攻速9技能a基础对甲
10	15331 11516	   	219.78	紫1基础对甲1伤害1攻速1全技能1基地爆炸1技能	1双倍秒伤2核3挖尘4基地爆炸5全技能6技能点7伤害8攻速9技能a基础对甲
11	15112 35261	 * 	219.69	紫3伤害2基础对冰2基地爆炸1全技能1卖塔	1双倍秒伤2核3a基础对冰4双倍矿5a基地爆炸67a伤害8卖塔9全技能a序列升级
12	15111 53341	   	219.00	紫2攻速2基础对冰2基地爆炸1伤害1技能	1双倍秒伤2核38基础对冰4双倍矿58攻速6技能78基地爆炸8序列升级9伤害a雷电
13	15111 53363	   	219.00	紫2攻速2基础对冰2基地爆炸1伤害1技能	1双倍秒伤2核38基础对冰4双倍矿58攻速6技能78基地爆炸8序列升级9低血量敌人a伤害
14	15111 53342	   	218.90	紫2攻速2基础对冰2基地爆炸1伤害1技能	1双倍秒伤2核38基础对冰4双倍矿58攻速6技能78基地爆炸8序列升级9伤害a狙击对黄
15	15111 21651	   	218.08	紫1基础对甲1基础对冰1伤害1攻速1基地爆炸	1双倍秒伤2核3基础对冰4双倍矿5攻速6矿等7金币生成8伤害9基础对甲a基地爆炸
16	12234 26122	 * 	218.06	紫1基础对甲2攻速2全技能2暴击	1双倍秒伤29矿等37全技能4核5掉矿69暴击89攻速9序列升级a基础对甲
17	12234 26422	 * 	218.06	紫1基础对甲2伤害2全技能2暴击	1双倍秒伤29矿等37全技能4核5掉矿69暴击89伤害9序列升级a基础对甲
18	15125 53132	   	217.98	紫1基础对甲1基础对冰1伤害1攻速1暴击	1双倍秒伤2核3基础对冰4时间5攻速6伤害7金币生成8挖青9暴击a基础对甲
19	15112 34512	   	217.88	紫1基础对甲1基础对冰2易伤1伤害1基地爆炸	1双倍秒伤2核3基础对冰4双倍矿5基地爆炸6伤害7a易伤8核弹9基础对甲
20	15112 35152	   	215.26	紫1基础对甲2伤害1基础对冰1基地爆炸1卖塔	1双倍秒伤2核3基础对冰4双倍矿5基地爆炸67伤害8掉矿9卖塔a基础对甲
21	15112 35242	   	215.26	紫1基础对甲2伤害1基础对冰1基地爆炸1卖塔	1双倍秒伤2核3基础对冰4双倍矿5基地爆炸67伤害8卖塔9等级a基础对甲
22	15112 63212	   	214.65	紫1基础对甲2基地爆炸1基础对冰1暴击1技能	1双倍秒伤2核3基础对冰4双倍矿58基地爆炸6掉矿7暴击9技能a基础对甲
23	15111 53331	   	214.59	紫3攻速2基础对冰2基地爆炸1技能	1双倍秒伤2核38基础对冰4双倍矿589攻速6技能78基地爆炸8序列升级a金币生成
24	15111 53332	   	214.49	紫3攻速2基础对冰2基地爆炸1技能	1双倍秒伤2核38基础对冰4双倍矿589攻速6技能78基地爆炸8序列升级a火球减费
25	15111 53333	   	214.49	紫3攻速2基础对冰2基地爆炸1技能	1双倍秒伤2核38基础对冰4双倍矿589攻速6技能78基地爆炸8序列升级a挖尘
26	15111 53334	   	214.49	紫3攻速2基础对冰2基地爆炸1技能	1双倍秒伤2核38基础对冰4双倍矿589攻速6技能78基地爆炸8序列升级a挖青
27	15111 53336	   	214.34	紫3攻速2基础对冰2基地爆炸1技能1卖塔	1双倍秒伤2核38基础对冰4双倍矿589攻速6技能78基地爆炸8序列升级a卖塔
28	12236 42323	 * 	214.01	紫1基础对甲2攻速2易伤1全技能1技能	1双倍秒伤29矿等3全技能4核5技能69易伤7立即金币89攻速9序列升级a基础对甲
29	12236 56323	   	214.01	紫1基础对甲2攻速2易伤1全技能1技能	1双倍秒伤29矿等3全技能4核5技能6立即金币79易伤89攻速9序列升级a基础对甲
30	15111 53313	   	213.72	紫2攻速2基础对冰2基地爆炸2技能	1双倍秒伤2核38基础对冰4双倍矿58攻速69技能78基地爆炸8序列升级a易伤
