0	Index      	 *	Score 	Summary	Detail	
1	32214 16234	 * 	269.11	紫3伤害1基础对甲2攻速2易伤1全技能	18攻速2核3金币生成4双倍矿58易伤68a伤害7全技能8序列升级9基础对甲
2	32214 16233	   	267.11	紫1基础对甲2攻速2伤害2易伤1暴击1全技能	18攻速2核3金币生成4双倍矿58易伤68伤害7全技能8序列升级9基础对甲a暴击
3	32244 16233	   	253.98	紫1基础对甲2攻速2伤害1暴击1全技能	18攻速2核38金币生成4磁铁减费5易伤68伤害7全技能8序列升级9基础对甲a暴击
4	32214 16231	   	253.46	紫1基础对甲2攻速2伤害2易伤1全技能	18攻速2核3金币生成4双倍矿58易伤68伤害7全技能8序列升级9基础对甲a策反
5	32214 16235	   	253.46	紫1基础对甲2攻速2伤害2易伤1全技能	18攻速2核3金币生成4双倍矿58易伤68伤害7全技能8序列升级9基础对甲a最后敌人
6	32214 16236	   	253.46	紫1基础对甲2攻速2伤害2易伤1全技能	18攻速2核3金币生成4双倍矿58易伤68伤害7全技能8序列升级9基础对甲a低血量敌人
7	32214 16232	   	253.21	紫1基础对甲2攻速2伤害2易伤1全技能1卖塔	18攻速2核3金币生成4双倍矿58易伤68伤害7全技能8序列升级9基础对甲a卖塔
8	32233 16234	   	249.05	紫3伤害1基础对甲2攻速1全技能	18攻速2核38金币生成4掉矿5矿等68a伤害7全技能8序列升级9基础对甲
9	32236 16234	   	248.95	紫3伤害1基础对甲2攻速1全技能	18攻速2核38金币生成4掉矿5技能点68a伤害7全技能8序列升级9基础对甲
10	32233 16233	   	247.05	紫1基础对甲2攻速2伤害1全技能1暴击	18攻速2核38金币生成4掉矿5矿等68伤害7全技能8序列升级9基础对甲a暴击
11	32236 16233	   	246.95	紫1基础对甲2攻速2伤害1全技能1暴击	18攻速2核38金币生成4掉矿5技能点68伤害7全技能8序列升级9基础对甲a暴击
12	32312 16211	 * 	245.76	紫3攻速3基地爆炸3基础对冰1伤害	189攻速2核389基地爆炸4双倍秒伤5敌人爆炸6伤害789基础对冰89序列升级a金币生成
13	32312 16213	   	245.76	紫3攻速3基地爆炸3基础对冰1伤害	189攻速2核389基地爆炸4双倍秒伤5敌人爆炸6伤害789基础对冰89序列升级a策反
14	32312 16214	   	245.76	紫3攻速3基地爆炸3基础对冰1伤害	189攻速2核389基地爆炸4双倍秒伤5敌人爆炸6伤害789基础对冰89序列升级a低血量敌人
15	32312 16216	   	245.76	紫3攻速3基地爆炸3基础对冰1伤害	189攻速2核389基地爆炸4双倍秒伤5a敌人爆炸6伤害789基础对冰89序列升级
16	32312 16215	   	245.66	紫3攻速3基地爆炸3基础对冰1伤害	189攻速2核389基地爆炸4双倍秒伤5敌人爆炸6伤害789基础对冰89序列升级a掉矿
17	32312 16212	   	245.52	紫3攻速3基地爆炸3基础对冰1伤害1卖塔	189攻速2核389基地爆炸4双倍秒伤5敌人爆炸6伤害789基础对冰89序列升级a卖塔
18	32321 63635	 * 	240.36	紫3攻速3基地爆炸2伤害1全技能	16a攻速2核38a基地爆炸4时间5挖尘7a伤害9全技能a序列升级
19	32244 16231	   	240.33	紫1基础对甲2攻速2伤害1全技能	18攻速2核38金币生成4磁铁减费5易伤68伤害7全技能8序列升级9基础对甲a策反
20	32244 16232	   	240.09	紫1基础对甲2攻速2伤害1全技能1卖塔	18攻速2核38金币生成4磁铁减费5易伤68伤害7全技能8序列升级9基础对甲a卖塔
