0	Index      	 *	Score 	Summary	Detail	
1	22612 36512	 * 	270.42	橙橙1易伤1喷火对甲2雷电1伤害	1策反2易伤3金币生成4最后敌人5a雷电6喷火对甲78核9伤害
2	35332 13442	 * 	268.89	橙橙2易伤1等级1攻速	15最后敌人24易伤3额外掉落69核7加一8等级a攻速
3	35331 13442	   	268.79	橙橙2易伤1等级1攻速	1最后敌人24易伤3额外掉落5烈焰减费69核7加一8等级a攻速
4	35333 13442	   	268.79	橙橙2易伤1等级1攻速	1最后敌人24易伤3额外掉落5火球减费69核7加一8等级a攻速
5	35336 13442	   	268.79	橙橙2易伤1等级1攻速	1最后敌人24易伤3额外掉落5暴雪减费69核7加一8等级a攻速
6	35332 13446	   	262.18	橙橙2易伤1等级	15最后敌人24易伤3额外掉落69核7加一8等级a时间
7	35331 13446	   	262.08	橙橙2易伤1等级	1最后敌人24易伤3额外掉落5烈焰减费69核7加一8等级a时间
8	35333 13446	   	262.08	橙橙2易伤1等级	1最后敌人24易伤3额外掉落5火球减费69核7加一8等级a时间
9	35336 13446	   	262.08	橙橙2易伤1等级	1最后敌人24易伤3额外掉落5暴雪减费69核7加一8等级a时间
10	22612 36511	   	260.21	橙橙1易伤1喷火对甲1伤害1雷电	1策反2易伤3金币生成4a最后敌人5雷电6喷火对甲78核9伤害
11	22612 36513	   	260.11	橙橙1易伤1喷火对甲1伤害1雷电	1策反2易伤3金币生成4最后敌人5雷电6喷火对甲78核9伤害a双倍秒伤
12	35332 13142	   	258.29	橙橙2易伤1矿等1攻速	15最后敌人24易伤3额外掉落69核7加一8矿等a攻速
13	35331 13142	   	258.19	橙橙2易伤1矿等1攻速	1最后敌人24易伤3额外掉落5烈焰减费69核7加一8矿等a攻速
14	35333 13142	   	258.19	橙橙2易伤1矿等1攻速	1最后敌人24易伤3额外掉落5火球减费69核7加一8矿等a攻速
15	35336 13142	   	258.19	橙橙2易伤1矿等1攻速	1最后敌人24易伤3额外掉落5暴雪减费69核7加一8矿等a攻速
16	35332 13443	   	255.24	橙橙2易伤1等级	15最后敌人24易伤3额外掉落69核7加一8等级a基地爆炸
17	35332 13444	   	255.24	橙橙2易伤1等级	15最后敌人24易伤3额外掉落69核7加一8等级a金币生成
18	22661 23436	   	255.14	橙橙2易伤1等级1技能	1策反27易伤3金币生成4技能5加一6a核8双倍秒伤9等级
19	35331 13443	   	255.14	橙橙2易伤1等级	1最后敌人24易伤3额外掉落5烈焰减费69核7加一8等级a基地爆炸
20	35331 13444	   	255.14	橙橙2易伤1等级	1最后敌人24易伤3额外掉落5烈焰减费69核7加一8等级a金币生成
21	35332 13441	   	255.14	橙橙2易伤1等级	15最后敌人24易伤3额外掉落69核7加一8等级a双倍秒伤
22	35332 13447	   	255.14	橙橙2易伤1等级	15最后敌人24易伤3额外掉落69核7加一8等级a基础对冰
23	35332 13448	   	255.14	橙橙2易伤1等级	15最后敌人24易伤3额外掉落69核7加一8等级a防空对甲
24	35333 13443	   	255.14	橙橙2易伤1等级	1最后敌人24易伤3额外掉落5火球减费69核7加一8等级a基地爆炸
25	35333 13444	   	255.14	橙橙2易伤1等级	1最后敌人24易伤3额外掉落5火球减费69核7加一8等级a金币生成
26	35336 13443	   	255.14	橙橙2易伤1等级	1最后敌人24易伤3额外掉落5暴雪减费69核7加一8等级a基地爆炸
27	35336 13444	   	255.14	橙橙2易伤1等级	1最后敌人24易伤3额外掉落5暴雪减费69核7加一8等级a金币生成
28	22551 23436	   	255.04	橙橙2易伤1等级1技能	1策反27易伤3技能4掉矿5加一6a核8双倍秒伤9等级
29	35331 13441	   	255.04	橙橙2易伤1等级	1最后敌人24易伤3额外掉落5烈焰减费69核7加一8等级a双倍秒伤
30	35331 13447	   	255.04	橙橙2易伤1等级	1最后敌人24易伤3额外掉落5烈焰减费69核7加一8等级a基础对冰
31	35331 13448	   	255.04	橙橙2易伤1等级	1最后敌人24易伤3额外掉落5烈焰减费69核7加一8等级a防空对甲
32	35333 13441	   	255.04	橙橙2易伤1等级	1最后敌人24易伤3额外掉落5火球减费69核7加一8等级a双倍秒伤
33	35333 13447	   	255.04	橙橙2易伤1等级	1最后敌人24易伤3额外掉落5火球减费69核7加一8等级a基础对冰
34	35333 13448	   	255.04	橙橙2易伤1等级	1最后敌人24易伤3额外掉落5火球减费69核7加一8等级a防空对甲
35	35336 13441	   	255.04	橙橙2易伤1等级	1最后敌人24易伤3额外掉落5暴雪减费69核7加一8等级a双倍秒伤
36	35336 13447	   	255.04	橙橙2易伤1等级	1最后敌人24易伤3额外掉落5暴雪减费69核7加一8等级a基础对冰
37	35336 13448	   	255.04	橙橙2易伤1等级	1最后敌人24易伤3额外掉落5暴雪减费69核7加一8等级a防空对甲
38	22431 11124	   	252.15	橙橙1易伤1伤害1矿等1全技能	1策反2易伤3赏金塔4矿等5伤害69核7最后敌人8机枪对壮a全技能
39	35332 13146	   	251.58	橙橙2易伤1矿等	15最后敌人24易伤3额外掉落69核7加一8矿等a时间
40	35331 13146	   	251.48	橙橙2易伤1矿等	1最后敌人24易伤3额外掉落5烈焰减费69核7加一8矿等a时间
41	35333 13146	   	251.48	橙橙2易伤1矿等	1最后敌人24易伤3额外掉落5火球减费69核7加一8矿等a时间
42	35336 13146	   	251.48	橙橙2易伤1矿等	1最后敌人24易伤3额外掉落5暴雪减费69核7加一8矿等a时间
43	22612 36532	   	250.35	橙橙1易伤1喷火对甲2雷电	1策反2易伤3金币生成4最后敌人5a雷电6喷火对甲78核9随机矿
44	21326 22543	 * 	248.62	紫橙2易伤1等级1暴击1攻速	1策反2烈焰减费39核47易伤5暴击6基地爆炸8攻速a等级
45	35323 52262	   	247.55	橙橙1易伤1伤害1全技能1雷电	1最后敌人2易伤3额外掉落4挖尘5雷电6伤害7低血量敌人8a核9全技能
46	35332 13647	   	244.64	橙橙2易伤1矿等	15最后敌人24易伤3额外掉落69核7加一8随机矿a矿等
