0	Index      	 *	Score 	Summary	Detail	
1	13363 64333	 * 	255.94	橙橙1易伤1等级1伤害1核弹	1核弹2策反3双倍矿4导弹对绿5易伤6伤害79核8攻速a等级
2	31641 21214	   	252.15	橙橙1易伤1伤害1矿等1时间	1随机技能2时间3矿等4双倍矿5伤害6易伤7a核8基地爆炸9基础对愈
3	31641 21314	   	252.15	橙橙1易伤1伤害1矿等1时间	1随机技能2时间3矿等4双倍矿5伤害6易伤7a核8最后敌人9基础对愈
4	31611 21214	   	252.05	橙橙1易伤1伤害1矿等1时间	1随机技能2时间3矿等4风暴减费5伤害6易伤7a核8基地爆炸9基础对愈
5	31611 21314	   	252.05	橙橙1易伤1伤害1矿等1时间	1随机技能2时间3矿等4风暴减费5伤害6易伤7a核8最后敌人9基础对愈
6	31563 21214	 * 	249.00	橙橙1易伤2时间1伤害	1随机技能23时间4易伤5金币生成6伤害7a核8基地爆炸9基础对愈
7	31563 21314	   	249.00	橙橙1易伤2时间1伤害	1随机技能23时间4易伤5金币生成6伤害7a核8最后敌人9基础对愈
8	31562 21214	   	248.90	橙橙1易伤2时间1伤害	1随机技能23时间4易伤5掉矿6伤害7a核8基地爆炸9基础对愈
9	31562 21314	   	248.90	橙橙1易伤2时间1伤害	1随机技能23时间4易伤5掉矿6伤害7a核8最后敌人9基础对愈
10	41211 44212	   	242.69	橙橙1易伤1等级1时间	1金币生成2敌人爆炸3雷电4挖尘5易伤6等级7a核8时间9平台
11	43211 42362	   	242.69	橙橙1易伤1等级1时间	1金币生成2时间3雷电4挖尘5易伤6等级7基地爆炸8平台9a核
12	43211 44112	   	242.69	橙橙1易伤1等级1时间	1金币生成2时间3雷电4挖尘5易伤6等级7a核8最后敌人9平台
13	43211 44312	   	242.69	橙橙1易伤1等级1时间	1金币生成2时间3雷电4挖尘5易伤6等级7a核8敌人爆炸9平台
14	62151 26212	 * 	242.59	橙橙2易伤1时间	1头目2时间3低血量敌人49易伤5风暴减费6a核7平台8挖尘
15	62211 44112	   	242.59	橙橙1易伤1等级1时间	1头目2时间3掉矿4挖尘5易伤6等级7a核8最后敌人9平台
16	62211 44312	   	242.59	橙橙1易伤1等级1时间	1头目2时间3掉矿4挖尘5易伤6等级7a核8敌人爆炸9平台
17	61211 44212	   	242.59	橙橙1易伤1等级1时间	1头目2基地爆炸3掉矿4挖尘5易伤6等级7a核8时间9平台
18	52123 13341	   	242.45	橙橙2易伤1全技能1卖塔	1平台2双倍秒伤3卖塔48易伤5随机技能6策反7a核9全技能
19	31611 21536	 * 	240.30	橙3易伤2矿等2时间1伤害	18随机技能29时间38矿等4风暴减费5伤害68a易伤7核8序列升级
20	42332 42581	   	239.55	橙橙1等级1伤害1矿等	1金币生成2最后敌人3攻速4伤害5加一6等级7a核8立即金币9矿等
21	31241 21214	   	236.55	橙橙1易伤1伤害1时间	1随机技能2时间3金币生成4双倍矿5伤害6易伤7a核8基地爆炸9基础对愈
22	31241 21314	   	236.55	橙橙1易伤1伤害1时间	1随机技能2时间3金币生成4双倍矿5伤害6易伤7a核8最后敌人9基础对愈
23	43141 21214	   	236.55	橙橙1易伤1伤害1时间	1金币生成2时间3随机技能4双倍矿5伤害6易伤7a核8基地爆炸9基础对愈
24	43141 21314	   	236.55	橙橙1易伤1伤害1时间	1金币生成2时间3随机技能4双倍矿5伤害6易伤7a核8最后敌人9基础对愈
25	31142 21214	   	236.45	橙橙1易伤1伤害1时间	1随机技能2时间3伤害4双倍矿5掉矿6易伤7a核8基地爆炸9基础对愈
26	31142 21314	   	236.45	橙橙1易伤1伤害1时间	1随机技能2时间3伤害4双倍矿5掉矿6易伤7a核8最后敌人9基础对愈
27	31112 21214	   	236.35	橙橙1易伤1伤害1时间	1随机技能2时间3伤害4风暴减费5掉矿6易伤7a核8基地爆炸9基础对愈
28	31112 21314	   	236.35	橙橙1易伤1伤害1时间	1随机技能2时间3伤害4风暴减费5掉矿6易伤7a核8最后敌人9基础对愈
29	34112 21614	   	236.35	橙橙1易伤1伤害1时间	1随机技能2低血量敌人3伤害4风暴减费5掉矿6易伤7a核8时间9基础对愈
30	25223 53153	   	232.42	橙橙2时间1伤害1矿等1技能	1技能2防空对甲3随机矿46时间5伤害7矿等8赏金邻近9a核
31	15223 53153	   	232.32	橙橙2时间1伤害1矿等1核弹	1核弹2防空对甲3随机矿46时间5伤害7矿等8赏金邻近9a核
32	62114 15312	   	232.19	橙橙1易伤1矿等1时间	1头目2时间3低血量敌人4矿等5易伤6a核7敌人爆炸8金币生成9平台
33	41211 14212	   	232.09	橙橙1易伤1矿等1时间	1金币生成2敌人爆炸3雷电4挖尘5易伤6a核7矿等8时间9平台
34	41212 64212	   	232.09	橙橙1易伤1矿等1时间	1金币生成2敌人爆炸3雷电4挖尘5矿等6易伤7a核8时间9平台
35	43211 14112	   	232.09	橙橙1易伤1矿等1时间	1金币生成2时间3雷电4挖尘5易伤6a核7矿等8最后敌人9平台
36	43211 14312	   	232.09	橙橙1易伤1矿等1时间	1金币生成2时间3雷电4挖尘5易伤6a核7矿等8敌人爆炸9平台
37	43212 64112	   	232.09	橙橙1易伤1矿等1时间	1金币生成2时间3雷电4挖尘5矿等6易伤7a核8最后敌人9平台
38	43212 64312	   	232.09	橙橙1易伤1矿等1时间	1金币生成2时间3雷电4挖尘5矿等6易伤7a核8敌人爆炸9平台
39	61111 64212	   	232.09	橙橙1易伤1矿等1时间	1头目2基地爆炸3低血量敌人4矿等5掉矿6易伤7a核8时间9平台
40	62111 64112	   	232.09	橙橙1易伤1矿等1时间	1头目2时间3低血量敌人4矿等5掉矿6易伤7a核8最后敌人9平台
41	62111 64312	   	232.09	橙橙1易伤1矿等1时间	1头目2时间3低血量敌人4矿等5掉矿6易伤7a核8敌人爆炸9平台
42	61211 14212	   	231.99	橙橙1易伤1矿等1时间	1头目2基地爆炸3掉矿4挖尘5易伤6a核7矿等8时间9平台
43	61212 64212	   	231.99	橙橙1易伤1矿等1时间	1头目2基地爆炸3掉矿4挖尘5矿等6易伤7a核8时间9平台
44	62111 26212	   	231.99	橙橙1易伤1矿等1时间	1头目2时间3低血量敌人4矿等5掉矿6a核7平台8挖尘9易伤
45	62211 14112	   	231.99	橙橙1易伤1矿等1时间	1头目2时间3掉矿4挖尘5易伤6a核7矿等8最后敌人9平台
46	62211 14312	   	231.99	橙橙1易伤1矿等1时间	1头目2时间3掉矿4挖尘5易伤6a核7矿等8敌人爆炸9平台
47	62212 64112	   	231.99	橙橙1易伤1矿等1时间	1头目2时间3掉矿4挖尘5矿等6易伤7a核8最后敌人9平台
48	62212 64312	   	231.99	橙橙1易伤1矿等1时间	1头目2时间3掉矿4挖尘5矿等6易伤7a核8敌人爆炸9平台
49	31611 21534	   	231.81	橙2易伤2矿等2时间1伤害1暴击	18随机技能29时间38矿等4风暴减费5伤害68易伤7核8序列升级a暴击
50	31611 21563	 * 	231.81	橙2易伤2矿等1等级1伤害1时间	18随机技能2时间38矿等4风暴减费5伤害68易伤7核8序列升级9双倍秒伤a等级
51	31641 21532	 * 	231.07	橙2易伤3时间1伤害1矿等1暴击	18随机技能289时间3矿等4双倍矿5伤害68易伤7核8序列升级a暴击
52	21336 61621	   	230.76	橙橙1等级1伤害1时间1技能	1技能2金币生成3时间4伤害5敌人爆炸68核7随机技能9最后敌人a等级
53	21332 42632	   	230.46	橙橙1等级1伤害1时间1技能	1技能2金币生成3时间4伤害5加一6等级7a核8赏金邻近9赏金塔
54	21232 32253	   	230.24	橙橙1易伤1全技能1技能1暴击	1技能27金币生成3头目4全技能5雷电6暴击8易伤9a核
55	21232 35253	   	230.24	橙橙1易伤1全技能1技能1暴击	1技能2金币生成3头目4全技能5雷电6暴击7立即金币8易伤9a核
56	21265 33633	   	230.14	橙橙1易伤1全技能1技能1暴击	1技能2金币生成3头目4易伤5全技能6a核7挖尘8暴击9雷电
57	13363 64332	   	229.74	橙橙1易伤1伤害1核弹	1核弹2策反3双倍矿4导弹对绿5易伤6伤害79核8攻速a随机矿
58	13363 64331	   	229.64	橙橙1易伤1伤害1核弹1挖怪	1核弹2策反3双倍矿4导弹对绿5易伤6伤害79核8攻速a挖怪
59	41211 42362	   	229.04	橙橙1易伤1等级	1金币生成2敌人爆炸3雷电4挖尘5易伤6等级7基地爆炸8平台9a核
60	41211 44112	   	229.04	橙橙1易伤1等级	1金币生成2敌人爆炸3雷电4挖尘5易伤6等级7a核8最后敌人9平台
61	61211 44112	   	228.94	橙橙1易伤1等级	1头目2基地爆炸3掉矿4挖尘5易伤6等级7a核8最后敌人9平台
62	31611 21553	   	227.84	橙3易伤2矿等1伤害1时间	18随机技能2时间38矿等4风暴减费5伤害68a易伤7核8序列升级9额外掉落
