0	Index      	 *	Score 	Summary	Detail	
1	51632 41331	 * 	290.93	橙橙3易伤1等级1时间1技能	134易伤23散射对喷气3序列升级5技能6散射对绿79核8时间a等级
2	51631 13631	   	277.28	橙橙3易伤1等级	134易伤23散射对喷气3序列升级5最后敌人69核7策反8激光对愈a等级
3	31143 16321	 * 	276.40	橙橙2易伤1伤害1时间1全技能	1掉矿2平台3a易伤4时间5全技能6立即金币78核9伤害
4	31143 66321	   	276.40	橙橙2易伤1伤害1时间1全技能	1掉矿2平台3a易伤4时间5全技能6双倍矿78核9伤害
5	31143 16361	   	271.95	橙橙2易伤1矿等1时间1全技能	1掉矿2平台3a易伤4时间5全技能6立即金币78核9矿等
6	51632 41332	   	271.67	橙橙3易伤1时间1技能	134易伤23散射对喷气3序列升级5技能6散射对绿79核8时间a攻速
7	31133 66361	 * 	270.75	橙橙2易伤2全技能1矿等	1掉矿2平台3a易伤4低血量敌人56全技能78核9矿等
8	31134 24223	   	266.68	橙橙3易伤1矿等	1掉矿2平台357易伤4低血量敌人6赏金塔8a核9矿等
9	14341 16331	   	264.93	橙橙3易伤1全技能	1低血量敌人2全技能3雷电48a易伤5金币生成67核9策反
10	54311 16331	   	264.93	橙橙3易伤1全技能	18a易伤2全技能3雷电4敌人爆炸5金币生成67核9策反
11	54331 16331	   	264.93	橙橙3易伤1全技能	18a易伤2全技能3雷电4低血量敌人5金币生成67核9策反
12	14343 16331	   	264.83	橙橙3易伤1全技能	1低血量敌人2全技能3雷电48a易伤5掉矿67核9策反
13	54321 16331	   	264.83	橙橙3易伤1全技能	18a易伤2全技能3雷电4挖尘5金币生成67核9策反
14	54333 16331	   	264.83	橙橙3易伤1全技能	18a易伤2全技能3雷电4低血量敌人5掉矿67核9策反
15	51632 41333	   	264.73	橙橙3易伤1时间1技能	134易伤23散射对喷气3序列升级5技能6散射对绿79核8时间a立即金币
16	54323 16331	   	264.73	橙橙3易伤1全技能	18a易伤2全技能3雷电4挖尘5掉矿67核9策反
