0	Index      	 *	Score 	Summary	Detail	
1	52112 52134	 * 	328.61	DCR|DCR|3TLV|2VULN|1ASPD|1SELL	129TLV|37VULN|4SELL|5CGEN|6aRCR|8ASPD
2	52352 11131	 * 	318.76	ACR|DCR|2TLV|1VULN|1DMG|1AEBURN	12TLV|3RCVC|4RAT|59RCR|6DMG|7VULN|8FEWX|aAEBURN
3	52352 11136	 * 	312.35	ACR|DCR|3TLV|1VULN|1DMG	12aTLV|3RCVC|4RAT|59RCR|6DMG|7VULN|8FEWX
4	52112 52225	 * 	310.97	DCR|DCR|2TLV|2VULN|1SELL	12TLV|37VULN|4SELL|5CGEN|69RCR|8LHND|aDUR
5	52112 52325	 * 	310.97	DCR|DCR|2TLV|2VULN|1SELL	12TLV|37VULN|4SELL|5CGEN|69RCR|8BEXP|aDUR
6	52352 11134	   	305.63	ACR|DCR|2TLV|1VULN|1DMG	12TLV|3RCVC|4RAT|59RCR|6DMG|7VULN|8FEWX|aBLAICY
7	52352 11132	   	305.31	ACR|DCR|2TLV|1VULN|1DMG|2RAT	12TLV|3RCVC|4aRAT|59RCR|6DMG|7VULN|8FEWX
8	52352 11531	   	303.46	ACR|DCR|2TLV|1VULN|1DMG|1AEBURN|1MSE	12TLV|3RCVC|4RAT|59RCR|6DMG|7VULN|8MSE|aAEBURN
9	36233 52421	 * 	301.41	DCR|DCR|2TLV|2VULN|1SELL	1SELL|28FEWX|3ERES|48TLV|5RCVC|69RCR|78VULN|8BPWR|aLHND
10	36233 52422	 * 	301.41	DCR|DCR|2TLV|2VULN|1SELL	1SELL|28FEWX|3ERES|48TLV|5RCVC|69RCR|78VULN|8BPWR|aMLV
11	36233 52423	 * 	301.31	DCR|DCR|2TLV|2VULN|1SELL	1SELL|28FEWX|3ERES|48TLV|5RCVC|69RCR|78VULN|8BPWR|aDLOT
12	52112 52221	 * 	301.31	DCR|DCR|2TLV|2VULN|1SELL	12TLV|37VULN|4SELL|5CGEN|69RCR|8aLHND
13	52112 52223	 * 	301.31	DCR|DCR|2TLV|2VULN|1SELL	12TLV|37VULN|4SELL|5CGEN|69RCR|8LHND|aLWND
14	52112 52321	 * 	301.31	DCR|DCR|2TLV|2VULN|1SELL	12TLV|37VULN|4SELL|5CGEN|69RCR|8BEXP|aLHND
15	52112 52322	 * 	301.31	DCR|DCR|2TLV|2VULN|1SELL	12TLV|37VULN|4SELL|5CGEN|69RCR|8BEXP|aMLV
16	52112 52222	 * 	301.21	DCR|DCR|2TLV|2VULN|1SELL	12TLV|37VULN|4SELL|5CGEN|69RCR|8LHND|aAEWIND
17	52112 52224	 * 	301.21	DCR|DCR|2TLV|2VULN|1SELL	12TLV|37VULN|4SELL|5CGEN|69RCR|8LHND|aERES
18	52112 52226	 * 	301.21	DCR|DCR|2TLV|2VULN|1SELL	12TLV|37VULN|4SELL|5CGEN|69RCR|8LHND|aDUST
19	52112 52323	 * 	301.21	DCR|DCR|2TLV|2VULN|1SELL	12TLV|37VULN|4SELL|5CGEN|69RCR|8BEXP|aDLOT
20	52112 52324	 * 	301.21	DCR|DCR|2TLV|2VULN|1SELL	12TLV|37VULN|4SELL|5CGEN|69RCR|8BEXP|aERES
21	52112 52326	 * 	301.21	DCR|DCR|2TLV|2VULN|1SELL	12TLV|37VULN|4SELL|5CGEN|69RCR|8BEXP|aDUST
22	55352 11132	   	299.17	ACR|DCR|1TLV|1VULN|1DMG|1AEBURN|2RAT	1TLV|2AEBURN|3RCVC|4aRAT|59RCR|6DMG|7VULN|8FEWX
