0	Index      	 *	Score 	Summary	Detail	
1	13111 65153	 * 	297.44	DCR|DCR|2TLV|1VULN|2DUR	16DUR|2LWND|3AAC|4RAT|56TLV|6BPWR|7aRCR|8CGEN|9VULN
2	13152 25233	 * 	291.85	ACR|DCR|2VULN|1TLV	1DUR|2LWND|3AAC|4aRCR|5TLV|6RAT|78VULN|9ERES
3	13152 31653	 * 	288.29	ACR|DCR|2TLV|1VULN	1DUR|2LWND|3AAC|4aRCR|57TLV|6CGEN|8RAT|9VULN
4	12631 15633	 * 	285.06	ACR|4VULN|2TLV	1DUR|2RMIN|3RPLT|4RCR|568aVULN|79TLV
5	12631 15431	   	285.01	ACR|DCR|2VULN|1TLV	1DUR|2RMIN|3RPLT|49RCR|56VULN|7TLV|8FEWX|aLWND
6	12631 15531	   	285.01	ACR|DCR|2VULN|1TLV	1DUR|2RMIN|3RPLT|49RCR|56VULN|7TLV|8LHND|aLWND
7	12631 34531	   	285.01	ACR|DCR|2VULN|1TLV	1DUR|2RMIN|3RPLT|49RCR|57VULN|6BEXP|8TLV|aLWND
8	12631 15432	   	284.91	ACR|DCR|2VULN|1TLV	1DUR|2RMIN|3RPLT|49RCR|56VULN|7TLV|8FEWX|aLSRHEA
9	12631 15433	   	284.91	ACR|DCR|2VULN|1TLV	1DUR|2RMIN|3RPLT|49RCR|56VULN|7TLV|8FEWX|aDUST
10	12631 15532	   	284.91	ACR|DCR|2VULN|1TLV	1DUR|2RMIN|3RPLT|49RCR|56VULN|7TLV|8LHND|aLSRHEA
11	12631 15533	   	284.91	ACR|DCR|2VULN|1TLV	1DUR|2RMIN|3RPLT|49RCR|56VULN|7TLV|8LHND|aDUST
12	12631 34532	   	284.91	ACR|DCR|2VULN|1TLV	1DUR|2RMIN|3RPLT|49RCR|57VULN|6BEXP|8TLV|aLSRHEA
13	12631 34533	   	284.91	ACR|DCR|2VULN|1TLV	1DUR|2RMIN|3RPLT|49RCR|57VULN|6BEXP|8TLV|aDUST
14	22631 15234	   	282.19	ACR|DCR|2VULN|1TLV	1DUST|2RMIN|3RPLT|49RCR|56VULN|7TLV|8BEXP|aRAT
15	13111 15153	 * 	282.15	DCR|DCR|1TLV|1VULN|1AEBURN	1DUR|2LWND|3AAC|4RAT|5TLV|6AEBURN|7aRCR|8CGEN|9VULN
16	13111 15453	   	282.15	DCR|DCR|1TLV|1VULN|1AEBURN	1DUR|2LWND|3AAC|4RAT|5TLV|6AEBURN|7aRCR|8MLV|9VULN
17	42331 61353	 * 	282.15	ACR|DCR|1TLV|1VULN|1AEFBLL	1BEXP|2RMIN|3TLV|4aRCR|5RAT|6AEFBLL|7DUR|8AAC|9VULN
18	11162 11155	 * 	280.67	DCR|3VULN|1TLV|1AEFBLL|2DUR|2RAT	1aDUR|2FEWX|3AAC|48aVULN|5AEFBLL|6TLV|7RCR|9aRAT|aBPWR
19	12631 15234	   	276.65	ACR|DCR|2VULN|1TLV|1MSE	1DUR|2RMIN|3RPLT|49RCR|56VULN|7TLV|8MSE|aRAT
20	22631 15231	   	275.25	ACR|DCR|2VULN|1TLV	1DUST|2RMIN|3RPLT|49RCR|56VULN|7TLV|8BEXP|aLWND
21	22631 15431	   	275.25	ACR|DCR|2VULN|1TLV	1DUST|2RMIN|3RPLT|49RCR|56VULN|7TLV|8FEWX|aLWND
22	22631 15531	   	275.25	ACR|DCR|2VULN|1TLV	1DUST|2RMIN|3RPLT|49RCR|56VULN|7TLV|8LHND|aLWND
23	22631 34531	   	275.25	ACR|DCR|2VULN|1TLV	1DUST|2RMIN|3RPLT|49RCR|57VULN|6BEXP|8TLV|aLWND
24	12631 36531	   	275.21	ACR|DCR|1TLV|1VULN|1AEFBLL	1DUR|2RMIN|3RPLT|49RCR|5VULN|6BEXP|7AEFBLL|8TLV|aLWND
