0	Index      	 *	Score 	Summary	Detail	
1	62421 43718	 * 	315.43	ACR|4VULN|2TLV|1AEFBLL|1DMG	1aTLV|2MBVNT|358aVULN|4RCR|6DMG|7AEFBLL|9aERES|aBPWR
2	62422 42718	   	315.43	ACR|4VULN|2TLV|1DMG|1AEPOI	1aTLV|2MBVNT|378aVULN|4RCR|5AEPOI|6DMG|9aERES|aBPWR
3	26123 23125	 * 	315.27	DCR|DCR|2VULN|1TLV|1DMG|1AEPOI	1DMG|2LWND|3TLV|4MDPS|57VULN|68RCR|9MGNSTR|aAEPOI
4	26123 23152	   	315.27	DCR|DCR|2VULN|1TLV|1DMG|1AEBURN	1DMG|2LWND|3TLV|4MDPS|57VULN|68RCR|9ERES|aAEBURN
5	62421 52138	 * 	315.16	ACR|4VULN|3TLV|2ASPD	18aTLV|2MBVNT|3568VULN|4RCR|78aERES|8aBPWR|9aASPD
6	26123 23144	   	314.63	DCR|DCR|2VULN|1TLV|1DMG	1DMG|2LWND|3TLV|4MDPS|57VULN|68RCR|9DUR|aNUKE
7	62422 52138	   	314.17	ACR|3TLV|3VULN|2ASPD|2AEPOI	18aTLV|2MBVNT|36aVULN|4RCR|58AEPOI|78ERES|8aBPWR|9aASPD
8	62422 48142	 * 	313.12	ACR|2TLV|2VULN|2DMG|1AEPOI|2DUR	19TLV|2MBVNT|39VULN|4RCR|5AEPOI|68DMG|79DUR|9BPWR|aZMB
9	62421 42718	 * 	312.95	ACR|4VULN|2TLV|2DMG	1aTLV|2MBVNT|3578VULN|4RCR|6aDMG|9aERES|aBPWR
10	26123 23164	 * 	312.90	DCR|DCR|2VULN|1TLV|2DMG	1aDMG|2LWND|3TLV|4MDPS|57VULN|68RCR|9RCVC
11	62422 13142	 * 	312.79	ACR|2TLV|2VULN|3DMG|1AEPOI	19TLV|2MBVNT|39VULN|4RCR|5AEPOI|6BEXP|789DMG|9BPWR|aDUR
12	62427 43141	   	312.79	ACR|2TLV|2VULN|3DMG|1AEBURN	19TLV|2MBVNT|39VULN|4RCR|5DUR|6AEBURN|789DMG|9BPWR|aFEWX
13	62427 43142	   	312.79	ACR|2TLV|2VULN|3DMG|1AEBURN	19TLV|2MBVNT|39VULN|4RCR|5DUR|6AEBURN|789DMG|9BPWR|aCGEN
14	62427 43143	   	312.79	ACR|2TLV|2VULN|3DMG|1AEBURN	19TLV|2MBVNT|39VULN|4RCR|5DUR|6AEBURN|789DMG|9BPWR|aBEXP
15	62427 43144	   	312.79	ACR|2TLV|2VULN|3DMG|1AEBURN	19TLV|2MBVNT|39VULN|4RCR|5DUR|6AEBURN|789DMG|9BPWR|aAME
16	62427 43146	   	312.79	ACR|2TLV|2VULN|3DMG|1AEBURN	19TLV|2MBVNT|39VULN|4RCR|5DUR|6AEBURN|789DMG|9BPWR|aRMIN
17	62427 43147	   	312.79	ACR|2TLV|2VULN|3DMG|1AEBURN	19TLV|2MBVNT|39VULN|4RCR|5DUR|6AEBURN|789DMG|9BPWR|aAAC
18	62427 43148	   	312.79	ACR|2TLV|2VULN|3DMG|1AEBURN	19TLV|2MBVNT|39VULN|4RCR|5DUR|6AEBURN|789DMG|9BPWR|aRPLT
19	62427 43145	   	312.69	ACR|2TLV|2VULN|3DMG|1AEBURN	19TLV|2MBVNT|39VULN|4RCR|5DUR|6AEBURN|789DMG|9BPWR|aBASICY
20	65131 32413	 * 	311.82	DCR|DCR|2TLV|1VULN|1DMG|1AEBURN	13TLV|2BEXP|4BELT|5FEWX|6AEBURN|7DMG|8aRCR|9VULN
21	56321 24123	 * 	311.11	ACR|DCR|2VULN|1TLV|2ASPD	1DUR|2LWND|39ASPD|4aRCR|56VULN|7BELT|8TLV
22	51621 24133	 * 	311.11	ACR|DCR|2TLV|2VULN	1DUR|2AAC|3AETHUN|4aRCR|56VULN|7BELT|89TLV
23	63121 21165	   	308.96	ACR|DCR|2VULN|1TLV|1AEFBLL|1ASPD	1TLV|2MDPS|3AEFBLL|48RCR|5aVULN|6ASPD|7LWND|9RCVC
24	64513 23332	 * 	308.49	DCR|DCR|2TLV|2VULN	15TLV|2aVULN|3RAT|4LWND|67RCR|8LIT|9CGEN
25	64263 23332	   	308.39	DCR|DCR|2TLV|2VULN	15TLV|2aVULN|3DUST|4RAT|67RCR|8LIT|9CGEN
26	62424 16543	   	308.29	ACR|DCR|2TLV|2VULN	17TLV|2MBVNT|3aVULN|49RCR|5SNITOX|6RAT|8FLTFST
27	62422 44842	   	308.23	ACR|3TLV|3VULN|1DMG|1AEPOI	179TLV|2MBVNT|39aVULN|4RCR|5AEPOI|6DMG|89FEWX|9BPWR
28	62426 43842	   	308.23	ACR|3TLV|3VULN|1AEFBLL|1DMG	159TLV|2MBVNT|39aVULN|4RCR|6DMG|7AEFBLL|89FEWX|9BPWR
29	62422 44718	   	308.03	ACR|3TLV|3VULN|1DMG|1AEPOI	17aTLV|2MBVNT|38aVULN|4RCR|5AEPOI|6DMG|9aERES|aBPWR
30	62428 23141	 * 	307.66	ACR|3VULN|2TLV|3DMG	19TLV|2MBVNT|369VULN|4RCR|5LEGI|789DMG|9BPWR|aFEWX
31	62428 23142	   	307.66	ACR|3VULN|2TLV|3DMG	19TLV|2MBVNT|369VULN|4RCR|5LEGI|789DMG|9BPWR|aCGEN
32	62428 23143	   	307.66	ACR|3VULN|2TLV|3DMG	19TLV|2MBVNT|369VULN|4RCR|5LEGI|789DMG|9BPWR|aBEXP
33	62428 23144	   	307.66	ACR|3VULN|2TLV|3DMG	19TLV|2MBVNT|369VULN|4RCR|5LEGI|789DMG|9BPWR|aAME
34	62428 23146	   	307.66	ACR|3VULN|2TLV|3DMG	19TLV|2MBVNT|369VULN|4RCR|5LEGI|789DMG|9BPWR|aRMIN
35	62428 23147	   	307.66	ACR|3VULN|2TLV|3DMG	19TLV|2MBVNT|369VULN|4RCR|5LEGI|789DMG|9BPWR|aAAC
36	62428 23148	   	307.66	ACR|3VULN|2TLV|3DMG	19TLV|2MBVNT|369VULN|4RCR|5LEGI|789DMG|9BPWR|aRPLT
37	62428 23145	   	307.56	ACR|3VULN|2TLV|3DMG	19TLV|2MBVNT|369VULN|4RCR|5LEGI|789DMG|9BPWR|aBASICY
38	62421 52134	 * 	307.30	ACR|5VULN|2TLV|1ASPD	18TLV|2MBVNT|3568aVULN|4RCR|78ERES|8BPWR|9ASPD
39	62421 52122	 * 	307.30	ACR|5VULN|3TLV	189TLV|2MBVNT|3568aVULN|4RCR|78ERES|8BPWR
40	62421 44641	   	306.37	ACR|4VULN|2TLV|1DMG|1AART	17TLV|2MBVNT|359aVULN|4RCR|6DMG|8AART
41	62421 44781	   	306.37	ACR|4VULN|2TLV|1DMG|1AART	17TLV|2MBVNT|358aVULN|4RCR|6DMG|9AART
42	62426 42641	   	306.37	ACR|4VULN|2TLV|1DMG|1AART	15TLV|2MBVNT|379aVULN|4RCR|6DMG|8AART
43	26123 23156	   	306.21	DCR|DCR|2VULN|1TLV|1DMG|1AART	1DMG|2LWND|3TLV|4MDPS|57VULN|68RCR|9ERES|aAART
44	62422 48143	   	306.18	ACR|2TLV|2VULN|2DMG|1AEPOI|2DUR	19TLV|2MBVNT|39VULN|4RCR|5AEPOI|68DMG|79DUR|9BPWR|aCGEN
45	62422 48144	   	306.18	ACR|2TLV|2VULN|2DMG|1AEPOI|2DUR	19TLV|2MBVNT|39VULN|4RCR|5AEPOI|68DMG|79DUR|9BPWR|aLIT
46	63121 34136	   	306.08	ACR|DCR|2TLV|1VULN|1AEFBLL|1DMG|1MSE	1aTLV|2MDPS|3AEFBLL|48RCR|5VULN|6MSE|7DMG|9DUR
47	62422 48141	   	306.08	ACR|2TLV|2VULN|2DMG|1AEPOI|2DUR	19TLV|2MBVNT|39VULN|4RCR|5AEPOI|68DMG|79DUR|9BPWR|aMDPS
48	62422 48145	   	306.08	ACR|2TLV|2VULN|2DMG|1AEPOI|2DUR	19TLV|2MBVNT|39VULN|4RCR|5AEPOI|68DMG|79DUR|9BPWR|aDUST
49	62422 48146	   	306.08	ACR|2TLV|2VULN|2DMG|1AEPOI|2DUR	19TLV|2MBVNT|39VULN|4RCR|5AEPOI|68DMG|79DUR|9BPWR|aERES
50	62422 48147	   	306.08	ACR|2TLV|2VULN|2DMG|1AEPOI|2DUR|1MSE	19TLV|2MBVNT|39VULN|4RCR|5AEPOI|68DMG|79DUR|9BPWR|aMSE
51	62422 48148	   	306.08	ACR|2TLV|2VULN|2DMG|1AEPOI|2DUR	19TLV|2MBVNT|39VULN|4RCR|5AEPOI|68DMG|79DUR|9BPWR|aAEWIND
52	62421 44842	 * 	305.75	ACR|3TLV|3VULN|2DMG	179TLV|2MBVNT|35aVULN|4RCR|69DMG|89FEWX|9BPWR
53	62426 42842	   	305.75	ACR|3TLV|3VULN|2DMG	159TLV|2MBVNT|37aVULN|4RCR|69DMG|89FEWX|9BPWR
54	62453 43372	 * 	305.65	DCR|3TLV|3VULN|3ASPD	18aTLV|2MBVNT|38aVULN|4LWND|5DUST|68aASPD|7MDPS|8aBPWR|9RCR
55	62421 44718	   	305.55	ACR|3TLV|3VULN|2DMG	17aTLV|2MBVNT|358VULN|4RCR|6aDMG|9aERES|aBPWR
56	62421 44646	   	305.38	ACR|3VULN|2TLV|1AEFBLL|1DMG|1AART	17TLV|2MBVNT|359VULN|4RCR|6DMG|8AART|aAEFBLL
57	62422 44641	   	305.38	ACR|3VULN|2TLV|1DMG|1AEPOI|1AART	17TLV|2MBVNT|39aVULN|4RCR|5AEPOI|6DMG|8AART
58	62422 44781	   	305.38	ACR|3VULN|2TLV|1DMG|1AEPOI|1AART	17TLV|2MBVNT|38aVULN|4RCR|5AEPOI|6DMG|9AART
59	62426 43641	   	305.38	ACR|3VULN|2TLV|1AEFBLL|1DMG|1AART	15TLV|2MBVNT|39aVULN|4RCR|6DMG|7AEFBLL|8AART
60	64513 23132	   	305.31	DCR|DCR|2TLV|1VULN|1DMG|2RAT	15TLV|2VULN|3aRAT|4LWND|67RCR|8LHND|9DMG
61	64263 23132	   	305.21	DCR|DCR|2TLV|1VULN|1DMG|2RAT	15TLV|2VULN|3DUST|4aRAT|67RCR|8LHND|9DMG
62	51221 24133	   	305.07	ACR|DCR|2VULN|1TLV|1AEBURN	1DUR|2AAC|3LHND|4aRCR|56VULN|7BELT|8TLV|9AEBURN
63	51221 24163	   	305.07	ACR|DCR|2VULN|1TLV|1AEPOI	1DUR|2AAC|3LHND|4aRCR|56VULN|7BELT|8TLV|9AEPOI
64	26123 23134	   	304.97	DCR|DCR|2VULN|1TLV|1DMG	1DMG|2LWND|3TLV|4MDPS|57VULN|68RCR|9LHND|aNUKE
65	26123 23141	   	304.97	DCR|DCR|2VULN|1TLV|1DMG	1DMG|2LWND|3TLV|4MDPS|57VULN|68RCR|9DUR|aAME
66	26123 23142	   	304.97	DCR|DCR|2VULN|1TLV|1DMG	1DMG|2LWND|3TLV|4MDPS|57VULN|68RCR|9DUR|aLIT
67	26123 23146	   	304.97	DCR|DCR|2VULN|1TLV|1DMG	1DMG|2LWND|3TLV|4MDPS|57VULN|68RCR|9DUR|aCGEN
68	26123 23114	   	304.87	DCR|DCR|2VULN|1TLV|1DMG	1DMG|2LWND|3TLV|4MDPS|57VULN|68RCR|9LEGI|aNUKE
69	26123 23122	   	304.87	DCR|DCR|2VULN|1TLV|1DMG	1DMG|2LWND|3TLV|4MDPS|57VULN|68RCR|9MGNSTR|aDUR
70	26123 23143	   	304.87	DCR|DCR|2VULN|1TLV|1DMG	1DMG|2LWND|3TLV|4MDPS|57VULN|68RCR|9DUR|aLEGI
71	62427 43342	   	304.08	ACR|2TLV|2VULN|2DMG|1AEBURN	19TLV|2MBVNT|39VULN|4RCR|5DUR|6AEBURN|79DMG|8DMSP|9BPWR|aZMB
72	22261 51325	 * 	303.18	DCR|2TLV|2VULN|2DMG|3CDMG	19DMG|2RPLT|346CDMG|5DUR|79TLV|89VULN|9BPWR|aRCR
73	62422 13141	   	303.13	ACR|2TLV|2VULN|3DMG|1AEPOI	19TLV|2MBVNT|39VULN|4RCR|5AEPOI|6BEXP|789DMG|9BPWR|aBELT
74	62422 13143	   	303.13	ACR|2TLV|2VULN|3DMG|1AEPOI	19TLV|2MBVNT|39VULN|4RCR|5AEPOI|6BEXP|789DMG|9BPWR|aRCVC
75	62422 13144	   	303.13	ACR|2TLV|2VULN|3DMG|1AEPOI	19TLV|2MBVNT|39VULN|4RCR|5AEPOI|6BEXP|789DMG|9BPWR|aMLV
76	62422 13146	   	303.13	ACR|2TLV|2VULN|3DMG|1AEPOI	19TLV|2MBVNT|39VULN|4RCR|5AEPOI|6BEXP|789DMG|9BPWR|aRMIN
77	62422 13147	   	303.13	ACR|2TLV|2VULN|3DMG|1AEPOI	19TLV|2MBVNT|39VULN|4RCR|5AEPOI|6BEXP|789DMG|9BPWR|aAAC
78	62422 13148	   	303.13	ACR|2TLV|2VULN|3DMG|1AEPOI	19TLV|2MBVNT|39VULN|4RCR|5AEPOI|6BEXP|789DMG|9BPWR|aRPLT
79	63121 64123	 * 	303.10	ACR|DCR|1TLV|1VULN|2DMG|1AEFBLL	1TLV|2MDPS|3AEFBLL|48RCR|5VULN|6BEXP|7aDMG|9LIT
80	62422 13145	   	303.03	ACR|2TLV|2VULN|3DMG|1AEPOI	19TLV|2MBVNT|39VULN|4RCR|5AEPOI|6BEXP|789DMG|9BPWR|aBASICY
81	63121 44123	   	303.00	ACR|DCR|1TLV|1VULN|2DMG|1AEFBLL	1TLV|2MDPS|3AEFBLL|48RCR|5VULN|6DUST|7aDMG|9LIT
82	35234 36223	   	302.45	DCR|DCR|2VULN|1TLV|1ASPD|1CDMG	1CDMG|2LIT|3aVULN|4ERES|5MDPS|68RCR|7ASPD|9TLV
83	62421 48141	   	301.77	ACR|2TLV|2VULN|3DMG|2DUR	19TLV|2MBVNT|35VULN|4RCR|689DMG|79DUR|9BPWR|aFEWX
84	62421 48142	   	301.77	ACR|2TLV|2VULN|3DMG|2DUR	19TLV|2MBVNT|35VULN|4RCR|689DMG|79DUR|9BPWR|aCGEN
85	62421 48143	   	301.77	ACR|2TLV|2VULN|3DMG|2DUR	19TLV|2MBVNT|35VULN|4RCR|689DMG|79DUR|9BPWR|aBEXP
86	62421 48144	   	301.77	ACR|2TLV|2VULN|3DMG|2DUR	19TLV|2MBVNT|35VULN|4RCR|689DMG|79DUR|9BPWR|aAME
87	62421 48146	   	301.77	ACR|2TLV|2VULN|3DMG|2DUR	19TLV|2MBVNT|35VULN|4RCR|689DMG|79DUR|9BPWR|aRMIN
88	62421 48147	   	301.77	ACR|2TLV|2VULN|3DMG|2DUR	19TLV|2MBVNT|35VULN|4RCR|689DMG|79DUR|9BPWR|aAAC
89	62421 48148	   	301.77	ACR|2TLV|2VULN|3DMG|2DUR	19TLV|2MBVNT|35VULN|4RCR|689DMG|79DUR|9BPWR|aRPLT
90	62427 23141	   	301.77	ACR|2TLV|2VULN|3DMG|2DUR	19TLV|2MBVNT|36VULN|4RCR|59DUR|789DMG|9BPWR|aFEWX
91	62427 23142	   	301.77	ACR|2TLV|2VULN|3DMG|2DUR	19TLV|2MBVNT|36VULN|4RCR|59DUR|789DMG|9BPWR|aCGEN
92	62427 23143	   	301.77	ACR|2TLV|2VULN|3DMG|2DUR	19TLV|2MBVNT|36VULN|4RCR|59DUR|789DMG|9BPWR|aBEXP
93	62427 23144	   	301.77	ACR|2TLV|2VULN|3DMG|2DUR	19TLV|2MBVNT|36VULN|4RCR|59DUR|789DMG|9BPWR|aAME
94	62427 23146	   	301.77	ACR|2TLV|2VULN|3DMG|2DUR	19TLV|2MBVNT|36VULN|4RCR|59DUR|789DMG|9BPWR|aRMIN
95	62427 23147	   	301.77	ACR|2TLV|2VULN|3DMG|2DUR	19TLV|2MBVNT|36VULN|4RCR|59DUR|789DMG|9BPWR|aAAC
96	62427 23148	   	301.77	ACR|2TLV|2VULN|3DMG|2DUR	19TLV|2MBVNT|36VULN|4RCR|59DUR|789DMG|9BPWR|aRPLT
97	24126 22134	   	301.74	DCR|DCR|1TLV|1VULN|2DMG|2DUR	1aDMG|2VULN|3TLV|4MDPS|59DUR|68RCR|7DMSP
98	62421 48145	   	301.67	ACR|2TLV|2VULN|3DMG|2DUR	19TLV|2MBVNT|35VULN|4RCR|689DMG|79DUR|9BPWR|aBASICY
99	62427 23145	   	301.67	ACR|2TLV|2VULN|3DMG|2DUR	19TLV|2MBVNT|36VULN|4RCR|59DUR|789DMG|9BPWR|aBASICY
100	62421 43842	   	301.52	ACR|3VULN|2TLV|1AEFBLL|1DMG	19TLV|2MBVNT|359VULN|4RCR|6DMG|7AEFBLL|89FEWX|9BPWR|aZMB
