0	Index      	 *	Score 	Summary	Detail	
1	13131 13432	 * 	296.39	DCR|4VULN|3TLV	189CGEN|2RPLT|3AAC|4RAT|589TLV|6789VULN|89BPWR|aRCR
2	36212 62512	 * 	295.21	ACR|3TLV|3VULN|3AEPOI	136RCVC|2RCR|489VULN|589TLV|789AEPOI|89BPWR|aRAT
3	33152 31442	 * 	292.20	DCR|3VULN|2TLV|2DMG	1RCVC|28aCGEN|358VULN|45DMG|58BPWR|6MULHEA|78TLV|9RCR
4	33152 31441	   	292.10	DCR|3VULN|2TLV|2DMG	1RCVC|28CGEN|358VULN|45DMG|58BPWR|6MULHEA|78TLV|9RCR|aBASICY
5	33152 31443	   	292.10	DCR|3VULN|2TLV|2DMG	1RCVC|28CGEN|358VULN|45DMG|58BPWR|6MULHEA|78TLV|9RCR|aLSRREG
6	36212 62511	   	288.27	ACR|3TLV|3VULN|3AEPOI	136RCVC|2RCR|489VULN|589TLV|789AEPOI|89BPWR|aCGEN
7	36212 62513	   	288.27	ACR|3TLV|3VULN|3AEPOI	136RCVC|2RCR|489VULN|589TLV|789AEPOI|89BPWR|aRMIN
8	36212 62521	   	288.27	ACR|3TLV|3VULN|3AEPOI	136RCVC|2RCR|48aVULN|58aTLV|78aAEPOI|8aBPWR|9BELT
9	32122 34443	 * 	287.60	DCR|3VULN|2TLV|2ASPD	1RCVC|28ASPD|358VULN|45TLV|58BPWR|6MULHEA|78MLV|9RCR|aRAT
10	32122 36443	   	287.40	DCR|3VULN|2TLV|2ASPD	1RCVC|28ASPD|358VULN|45TLV|58BPWR|6MULHEA|78ERES|9RCR|aRAT
11	22333 32332	 * 	283.06	DCR|2TLV|2VULN|3DUR|2ASPD	123DUR|4DMSP|59TLV|69ASPD|7AETHUN|89VULN|9BPWR|aRCR
12	15433 12313	 * 	282.29	ACR|DCR|2VULN|1TLV	1CGEN|2RAT|3LIT|4aRCR|5LWND|69VULN|7TLV|8RPLT
13	15433 13313	   	282.29	ACR|DCR|2VULN|1TLV	1CGEN|2RAT|3LIT|4aRCR|5LWND|69VULN|7RPLT|8TLV
14	15431 12313	   	282.19	ACR|DCR|2VULN|1TLV	1CGEN|2RAT|3LIT|4aRCR|5DUST|69VULN|7TLV|8RPLT
15	15431 13313	   	282.19	ACR|DCR|2VULN|1TLV	1CGEN|2RAT|3LIT|4aRCR|5DUST|69VULN|7RPLT|8TLV
16	36212 16261	 * 	282.15	ACR|DCR|1TLV|1VULN|1AEFBLL	13RCVC|29RCR|4VULN|5TLV|6DUR|7MLV|8AEFBLL|aZMB
17	36212 16262	   	282.15	ACR|DCR|1TLV|1VULN|1AEFBLL	13RCVC|29RCR|4VULN|5TLV|6DUR|7MLV|8AEFBLL|aRAT
18	22114 54221	   	282.14	ACR|DCR|1TLV|1VULN|2DUR|1AART	12DUR|3RAT|48RCR|5AART|6FEWX|7LIT|9VULN|aTLV
19	32122 14242	   	281.75	DCR|3VULN|2TLV|1ASPD|1CDMG	1RCVC|2ASPD|358VULN|45TLV|5BPWR|6LWND|7CDMG|9BEXP|aRCR
20	32122 14252	   	281.75	DCR|3VULN|2TLV|1ASPD|1CDMG	1RCVC|2ASPD|358VULN|45TLV|5BPWR|6LWND|7CDMG|9FEWX|aRCR
21	32122 44242	   	281.75	DCR|3VULN|2TLV|1ASPD|1CDMG	1RCVC|2ASPD|358VULN|45TLV|5BPWR|6LHND|7CDMG|9BEXP|aRCR
22	32122 44252	   	281.75	DCR|3VULN|2TLV|1ASPD|1CDMG	1RCVC|2ASPD|358VULN|45TLV|5BPWR|6LHND|7CDMG|9FEWX|aRCR
23	32122 44262	   	281.75	DCR|3VULN|2TLV|1ASPD|1CDMG	1RCVC|2ASPD|358VULN|45TLV|5BPWR|6LHND|7CDMG|9LWND|aRCR
24	32122 34442	   	280.66	DCR|3VULN|2TLV|2ASPD	1RCVC|28ASPD|358VULN|45TLV|58BPWR|6MULHEA|78MLV|9RCR|aCGEN
25	36122 31364	 * 	280.62	ACR|2TLV|2VULN|2ASPD|1CDMG|1AART	1RCVC|2RCR|3BELT|4AART|5aVULN|6aTLV|7CDMG|8FEWX|9aASPD|aBPWR
26	32122 34441	   	280.56	DCR|3VULN|2TLV|2ASPD	1RCVC|28ASPD|358VULN|45TLV|58BPWR|6MULHEA|78MLV|9RCR|aBASICY
27	32122 21114	   	280.52	DCR|2TLV|2VULN|2ASPD|1CDMG|1AART	1RCVC|29ASPD|35VULN|45TLV|5BPWR|6AART|7BEXP|8CDMG|aRCR
28	32122 26114	   	280.52	DCR|2TLV|2VULN|2ASPD|1CDMG|1AART	1RCVC|29ASPD|35VULN|45TLV|5BPWR|6AART|7FEWX|8CDMG|aRCR
29	32122 36442	   	280.46	DCR|3VULN|2TLV|2ASPD	1RCVC|28ASPD|358VULN|45TLV|58BPWR|6MULHEA|78ERES|9RCR|aCGEN
30	32122 36441	   	280.36	DCR|3VULN|2TLV|2ASPD	1RCVC|28ASPD|358VULN|45TLV|58BPWR|6MULHEA|78ERES|9RCR|aBASICY
31	24142 31143	 * 	279.97	DCR|2TLV|2VULN|2AEPOI|1CDMG	1DUR|2aAEPOI|3RAT|4ERES|5RCVC|6aTLV|7CDMG|8RCR|9aVULN|aBPWR
32	36212 11126	   	279.80	ACR|DCR|1TLV|1VULN|1ASPD|1AART	13RCVC|2aRCR|4VULN|5TLV|6DUR|7ASPD|8LIT|9AART
33	32122 22346	   	279.11	DCR|3VULN|2TLV|1ASPD|1AART	1RCVC|2ASPD|359VULN|45TLV|5BPWR|6AART|7RPLT|8LWND|aRCR
34	32122 52226	   	279.11	DCR|3VULN|2TLV|1ASPD|1AART	1RCVC|2ASPD|358VULN|45TLV|5BPWR|6FEWX|7RPLT|9AART|aRCR
35	32122 22546	   	279.01	DCR|3VULN|2TLV|1ASPD|1AART	1RCVC|2ASPD|359VULN|45TLV|5BPWR|6AART|7RPLT|8LEGI|aRCR
36	33122 33444	   	278.44	DCR|3VULN|2TLV|1ASPD|2ZMB	1RCVC|28CGEN|358VULN|45TLV|58BPWR|6MGNSTR|78ZMB|9RCR|aASPD
37	32122 21254	 * 	278.27	DCR|2TLV|2VULN|2AART|1ASPD|1CDMG	1RCVC|2ASPD|35VULN|45TLV|5BPWR|68AART|7BEXP|9CDMG|aRCR
38	32122 26254	   	278.27	DCR|2TLV|2VULN|2AART|1ASPD|1CDMG	1RCVC|2ASPD|35VULN|45TLV|5BPWR|68AART|7FEWX|9CDMG|aRCR
39	33122 32465	   	277.66	DCR|3VULN|2TLV|1CDMG	1RCVC|2CGEN|358VULN|45TLV|5BPWR|6MGNSTR|7CDMG|9RCR|aDUR
40	36212 61533	 * 	277.12	ACR|3TLV|2VULN|1AEBURN|1CDMG	136RCVC|2RCR|48VULN|578TLV|8BPWR|9CDMG|aAEBURN
41	22112 24321	 * 	275.98	ACR|DCR|3VULN|3DUR	128DUR|3RAT|4aRCR|58LWND|6RPLT|789VULN|8BPWR
42	22115 24321	   	275.98	ACR|DCR|3VULN|3DUR	128DUR|3RAT|4aRCR|58FEWX|6RPLT|789VULN|8BPWR
43	22116 64321	   	275.98	ACR|DCR|3VULN|3DUR	128DUR|3RAT|4aRCR|5RPLT|68FEWX|789VULN|8BPWR
44	36253 21532	   	275.35	ACR|DCR|2VULN|1TLV	13RCVC|29RCR|4MLV|5CGEN|6LIT|7aVULN|8TLV
45	36212 16263	   	275.21	ACR|DCR|1TLV|1VULN|1AEFBLL	13RCVC|29RCR|4VULN|5TLV|6DUR|7MLV|8AEFBLL|aFEWX
46	33122 11656	 * 	274.52	DCR|3VULN|2TLV|1AEPOI	1RCVC|2CGEN|358VULN|45TLV|5BPWR|6LWND|7FLTFST|9RCR|aAEPOI
47	36212 62522	   	274.52	ACR|3VULN|2TLV|2AEPOI	136RCVC|2RCR|48aVULN|58TLV|78AEPOI|8BPWR|9BELT
48	36212 61263	 * 	274.42	ACR|3VULN|2TLV|1AEFBLL	136RCVC|2RCR|49aVULN|57TLV|8AEFBLL
49	36531 63111	 * 	274.35	ACR|2TLV|2VULN|2DMG	1RCVC|2RCR|39VULN|49DMG|5RPLT|6SNIFST|7ZMB|89TLV|9BPWR|aLWND
50	36531 63112	   	274.35	ACR|2TLV|2VULN|2DMG	1RCVC|2RCR|39VULN|49DMG|5RPLT|6SNIFST|7ZMB|89TLV|9BPWR|aLHND
51	36531 63113	   	274.25	ACR|2TLV|2VULN|2DMG	1RCVC|2RCR|39VULN|49DMG|5RPLT|6SNIFST|7ZMB|89TLV|9BPWR|aDUST
52	24122 31144	 * 	273.83	DCR|2VULN|1TLV|1DMG|1AEPOI|1CDMG	1DUR|2AEPOI|3RAT|4DMG|5RCVC|6TLV|7CDMG|8RCR|9aVULN
53	21114 54221	   	273.09	ACR|DCR|1TLV|1VULN|1AART	1DUR|2DMSP|3RAT|48RCR|5AART|6FEWX|7LIT|9VULN|aTLV
54	32153 16163	   	273.04	DCR|2TLV|2VULN|1DMG|1ASPD	1RCVC|2ASPD|37VULN|4DMG|5DUR|6RCR|8LIT|9aTLV
55	32122 32363	 * 	273.04	DCR|2TLV|2VULN|1AEFBLL|1ASPD	1RCVC|2ASPD|35VULN|45TLV|5BPWR|6MULHEA|7RPLT|8DUR|9AEFBLL|aRCR
56	36212 11265	 * 	273.04	ACR|2TLV|2VULN|2AEFBLL|1ASPD	13RCVC|2RCR|4aVULN|5aTLV|6DUR|7ASPD|8aAEFBLL|9MDPS|aBPWR
57	33152 32222	   	272.74	DCR|3VULN|1TLV|2DMG	1RCVC|2CGEN|359VULN|45DMG|5BPWR|6MULHEA|7ZMB|8TLV|aRCR
58	22112 24361	 * 	271.35	ACR|DCR|2VULN|3DUR|1AEPOI	128DUR|3RAT|4aRCR|58LWND|6RPLT|78VULN|8BPWR|9AEPOI
59	22115 24361	   	271.35	ACR|DCR|2VULN|3DUR|1AEPOI	128DUR|3RAT|4aRCR|58FEWX|6RPLT|78VULN|8BPWR|9AEPOI
60	36212 61212	 * 	270.41	ACR|3TLV|2VULN|2AEFBLL	136RCVC|2RCR|49VULN|579TLV|89AEFBLL|9BPWR|aRAT
61	36212 61216	   	270.41	ACR|3TLV|2VULN|2AEFBLL	136RCVC|2RCR|49VULN|579TLV|89AEFBLL|9BPWR|aZMB
62	36531 53123	 * 	269.26	ACR|4VULN|1TLV|1DMG	1RCVC|2RCR|389aVULN|4DMG|5RPLT|6TLV|7RMIN
63	22363 61122	 * 	269.00	DCR|3VULN|1TLV|3DUR|1ASPD	123DUR|478VULN|5FEWX|6ASPD|9TLV|aRCR
64	22366 61122	   	269.00	DCR|3VULN|1TLV|3DUR|1ASPD	123DUR|478VULN|5LHND|6ASPD|9TLV|aRCR
65	36232 61335	   	268.53	ACR|2TLV|2VULN|1AEBURN|2DUR	13RCVC|2RCR|4aDUR|5AEBURN|6AAC|7aTLV|8MDPS|9aVULN|aBPWR
66	64332 12336	 * 	268.26	DCR|DCR|2TLV|1ASPD|1AART	1LIT|25TLV|3BEXP|4DUR|6RCVC|7aRCR|8ASPD|9AART
67	31122 11654	   	268.10	DCR|3VULN|2TLV|1CDMG	1RCVC|2AME|358VULN|45TLV|5BPWR|6LWND|7FLTFST|9RCR|aCDMG
68	33122 11654	   	268.10	DCR|3VULN|2TLV|1CDMG	1RCVC|2CGEN|358VULN|45TLV|5BPWR|6LWND|7FLTFST|9RCR|aCDMG
69	32122 25154	   	268.06	DCR|2TLV|2VULN|1CDMG|1ASPD|1AART	1RCVC|2ASPD|35VULN|45TLV|5BPWR|6AART|7MLV|8AME|9CDMG|aRCR
70	32122 25254	   	268.06	DCR|2TLV|2VULN|1ASPD|1CDMG|1AART	1RCVC|2ASPD|35VULN|45TLV|5BPWR|6AART|7MLV|8CGEN|9CDMG|aRCR
71	31122 33654	   	268.00	DCR|3VULN|2TLV|1CDMG	1RCVC|2AME|358VULN|45TLV|5BPWR|6MGNSTR|7LWND|9RCR|aCDMG
72	33122 32462	   	268.00	DCR|3VULN|2TLV|1CDMG	1aRCVC|2CGEN|358VULN|45TLV|5BPWR|6MGNSTR|7CDMG|9RCR
73	33122 32463	   	268.00	DCR|3VULN|2TLV|1CDMG	1RCVC|2CGEN|358VULN|45TLV|5BPWR|6MGNSTR|7CDMG|9RCR|aLWND
74	33122 32464	   	268.00	DCR|3VULN|2TLV|1CDMG	1RCVC|2aCGEN|358VULN|45TLV|5BPWR|6MGNSTR|7CDMG|9RCR
75	32122 21124	   	267.96	DCR|2TLV|2VULN|1ASPD|1CDMG|1AART	1RCVC|2ASPD|35VULN|45TLV|5BPWR|6AART|7BEXP|8CDMG|9AEWIND|aRCR
76	32122 26124	   	267.96	DCR|2TLV|2VULN|1ASPD|1CDMG|1AART	1RCVC|2ASPD|35VULN|45TLV|5BPWR|6AART|7FEWX|8CDMG|9AEWIND|aRCR
77	33122 32461	   	267.90	DCR|3VULN|2TLV|1CDMG	1RCVC|2CGEN|358VULN|45TLV|5BPWR|6MGNSTR|7CDMG|9RCR|aMDPS
78	33122 32466	   	267.90	DCR|3VULN|2TLV|1CDMG	1RCVC|2CGEN|358VULN|45TLV|5BPWR|6MGNSTR|7CDMG|9RCR|aBASFIG
79	32153 25242	 * 	267.64	3TLV|3VULN|2ASPD|2AEFBLL|1DMG	1RCVC|27ASPD|37aVULN|4DMG|5DUR|67aTLV|7aBPWR|8AEFRZ|9aAEFBLL
80	15232 31143	   	266.62	DCR|2TLV|2VULN|1CDMG|2RAT	1CGEN|2aRAT|3DUR|4AEWIND|5RCVC|6aTLV|7CDMG|8RCR|9aVULN|aBPWR
81	15233 31143	   	266.62	DCR|2TLV|2VULN|1CDMG|2RAT	15CGEN|2aRAT|3DUR|4AEWIND|6aTLV|7CDMG|8RCR|9aVULN|aBPWR
