0	Index      	 *	Score 	Summary	Detail	
1	12363 12533	 * 	301.87	ACR|3VULN|2TLV|3ASPD	17AME|27aVULN|3RCR|4DUR|5BEXP|67aASPD|7aBPWR|8DUST|9aTLV
2	16243 13531	 * 	298.70	ACR|DCR|2TLV|1VULN|1AEPOI	1AME|2ZMB|3aRPLT|49RCR|5VULN|67TLV|8AEPOI
3	16243 13532	   	298.70	ACR|DCR|2TLV|1VULN|1AEPOI	1AME|2ZMB|3RPLT|49RCR|5VULN|67TLV|8AEPOI|aRCVC
4	16243 13533	   	298.60	ACR|DCR|2TLV|1VULN|1AEPOI	1AME|2ZMB|3RPLT|49RCR|5VULN|67TLV|8AEPOI|aMBVNT
5	12332 21133	 * 	295.31	ACR|DCR|2VULN|1TLV|1DMG	1AME|2aVULN|39RCR|4CGEN|5TLV|6DMSP|7DUST|8DMG
6	12332 31133	   	295.31	ACR|DCR|2VULN|1TLV|1DMG	17AME|2aVULN|39RCR|4CGEN|5TLV|6LEGI|8DMG
7	15243 13531	   	291.76	ACR|DCR|2TLV|1VULN|1AEPOI	1AME|2AAC|3aRPLT|49RCR|5VULN|67TLV|8AEPOI
8	15243 13532	   	291.76	ACR|DCR|2TLV|1VULN|1AEPOI	1AME|2AAC|3RPLT|49RCR|5VULN|67TLV|8AEPOI|aRCVC
9	31243 13531	   	291.76	ACR|DCR|2TLV|1VULN|1AEPOI	1AAC|2CGEN|3aRPLT|49RCR|5VULN|67TLV|8AEPOI
10	31243 13532	   	291.76	ACR|DCR|2TLV|1VULN|1AEPOI	1AAC|2CGEN|3RPLT|49RCR|5VULN|67TLV|8AEPOI|aRCVC
11	31243 13534	   	291.76	ACR|DCR|2TLV|1VULN|1AEPOI	1AAC|2CGEN|3RPLT|49RCR|5VULN|67TLV|8AEPOI|aBEXP
12	15243 13533	   	291.66	ACR|DCR|2TLV|1VULN|1AEPOI	1AME|2AAC|3RPLT|49RCR|5VULN|67TLV|8AEPOI|aMBVNT
13	31243 13533	   	291.66	ACR|DCR|2TLV|1VULN|1AEPOI	1AAC|2CGEN|3RPLT|49RCR|5VULN|67TLV|8AEPOI|aMBVNT
14	31243 13535	   	291.66	ACR|DCR|2TLV|1VULN|1AEPOI	1AAC|2CGEN|3RPLT|49RCR|5VULN|67TLV|8AEPOI|aERES
15	31243 13536	   	291.66	ACR|DCR|2TLV|1VULN|1AEPOI	1AAC|2CGEN|3RPLT|49RCR|5VULN|67TLV|8AEPOI|aAEWIND
16	36324 21436	   	286.15	ACR|DCR|2VULN|1TLV|1AART	1AAC|2DUST|38RCR|4MBVNT|5AART|6TLV|7LIT|9aVULN
17	12332 21333	   	282.19	ACR|DCR|2VULN|1TLV	1AME|2aVULN|39RCR|4CGEN|5TLV|6DMSP|7DUST|8ZMB
18	12332 31333	   	282.19	ACR|DCR|2VULN|1TLV	17AME|2aVULN|39RCR|4CGEN|5TLV|6LEGI|8ZMB
19	24223 43124	 * 	281.36	DCR|3VULN|2TLV|1DMG	1LHND|2FEWX|3RAT|478VULN|5DMG|6aTLV|9RCR
20	22223 43124	   	281.26	DCR|3VULN|2TLV|1DMG	1LHND|2DUST|3RAT|478VULN|5DMG|6aTLV|9RCR
21	33521 38318	   	280.79	ACR|2TLV|2VULN|1DMG|2AEPOI|1AART	1AAC|2aAEPOI|3AART|4RCR|5DMG|6MBVNT|7aTLV|8aVULN|9RCVC|aBPWR
22	12311 22533	 * 	280.20	ACR|3VULN|2TLV|3DUR|1ASPD|1MSE	17AME|27aVULN|3RCR|4MSE|5ASPD|67aDUR|7aBPWR|8DUST|9aTLV
23	12315 51135	   	280.11	ACR|DCR|2VULN|1TLV|1DMG|1MSE	17AME|25VULN|39RCR|4MSE|6LWND|8DMG|aTLV
24	12332 22133	   	280.11	ACR|DCR|2VULN|1TLV|1DMG|1MSE	1AME|2aVULN|39RCR|4CGEN|5TLV|6DMSP|7MSE|8DMG
25	12315 21135	   	280.01	ACR|DCR|2VULN|1TLV|1DMG|1MSE	17AME|25VULN|39RCR|4MSE|6LEGI|8DMG|aTLV
26	12353 43343	   	277.82	ACR|2VULN|1TLV|1DMG|1AEPOI|1ASPD|1CDMG	1AME|26VULN|3RCR|4RAT|5ASPD|7DMG|8AEPOI|9CDMG|aTLV
