0	Index      	 *	Score 	Summary	Detail	
1	12153 23131	 * 	324.00	ACR|DCR|2VULN|1TLV|2DMG|1AART	19DUST|2RPLT|37RCR|4CGEN|59DMG|6AART|89VULN|9BPWR|aTLV
2	21124 24683	 * 	320.35	ACR|DCR|2TLV|2VULN|2DUR	1BELT|2MBVNT|38RCR|4RMIN|5aVULN|6aTLV|7aDUR|9RPLT|aBPWR
3	21132 24683	   	320.35	ACR|DCR|2TLV|2VULN|2DUR	1BELT|2MBVNT|38RCR|4aVULN|5RMIN|6aTLV|7aDUR|9RPLT|aBPWR
4	21124 23651	   	311.21	ACR|DCR|2TLV|2VULN	17BELT|2MBVNT|38RCR|4RMIN|59VULN|69TLV|9BPWR|aDUR
5	21124 27651	   	311.21	ACR|DCR|2TLV|2VULN	1BELT|2MBVNT|38RCR|47RMIN|59VULN|69TLV|9BPWR|aDUR
6	21132 23651	   	311.21	ACR|DCR|2TLV|2VULN	17BELT|2MBVNT|38RCR|49VULN|5RMIN|69TLV|9BPWR|aDUR
7	21132 27651	   	311.21	ACR|DCR|2TLV|2VULN	1BELT|2MBVNT|38RCR|49VULN|57RMIN|69TLV|9BPWR|aDUR
8	21134 34151	 * 	306.47	ACR|4VULN|2TLV|2CDMG|1AART	1BELT|2MBVNT|3RCR|467aVULN|5aTLV|8aCDMG|9AART|aBPWR
9	21134 31366	   	302.77	ACR|DCR|2VULN|1TLV|1CDMG	1BELT|2MBVNT|3aRCR|46VULN|5TLV|7FLTARM|8CDMG|9RAT
10	21124 23652	   	301.55	ACR|DCR|2TLV|2VULN	17BELT|2MBVNT|38RCR|4RMIN|59VULN|69TLV|9BPWR|aBEXP
11	21124 23653	   	301.55	ACR|DCR|2TLV|2VULN	17BELT|2MBVNT|38RCR|4RMIN|59VULN|69TLV|9BPWR|aLHND
12	21124 23655	   	301.55	ACR|DCR|2TLV|2VULN	17BELT|2MBVNT|38RCR|4RMIN|59VULN|69TLV|9BPWR|aRPLT
