0	Index      	 *	Score 	Summary	Detail	
1	21611 12462	 * 	381.55	DCR|2VULN|1MDPS|2DMG|2DUR	19LIT|29DMG|34CGEN|58DUR|6RCR|79VULN|9BPWR|aMDPS
2	61244 21133	 * 	370.22	DCR|2MDPS|1VULN|2DUR|1SELL	1AME|2VULN|36DUR|4SELL|5BELT|7RCR|8aMDPS|9MBVNT
3	12156 16131	   	363.66	DCR|2VULN|1MDPS|2DUR|1DMG	1AEPOI|2DMG|34DUR|5RAT|67VULN|8RCR|9BOSS|aMDPS
4	35511 13234	 * 	358.54	DCR|2VULN|1MDPS|1CDMG|1DUR	1RAT|2TBNT|3DUR|45RMIN|6CDMG|79VULN|8RCR|aMDPS
5	35531 13234	   	358.44	DCR|2VULN|1MDPS|1CDMG|1DUR	1RAT|2TBNT|3DUR|4AEWIND|5CGEN|6CDMG|79VULN|8RCR|aMDPS
6	61231 51241	   	358.44	DCR|2VULN|1MDPS|1CDMG|1DUR	1AME|25VULN|3DUR|4LHND|6RCR|7ZMB|8CDMG|9MDPS|aLWND
7	61231 51242	 * 	358.44	DCR|2VULN|1MDPS|1CDMG|1TLV|1DUR	1AME|25VULN|3DUR|4LHND|6RCR|7ZMB|8CDMG|9MDPS|aTLV
8	61231 51243	   	358.44	DCR|2VULN|1MDPS|1CDMG|1DUR	1AME|25VULN|3DUR|4LHND|6RCR|7ZMB|8CDMG|9MDPS|aAEFRZ
9	61231 53241	   	358.44	DCR|2VULN|1MDPS|1CDMG|1DUR	1AME|25VULN|3DUR|4LHND|6RCR|7AAC|8CDMG|9MDPS|aLWND
10	61231 53242	   	358.44	DCR|2VULN|1MDPS|1CDMG|1TLV|1DUR	1AME|25VULN|3DUR|4LHND|6RCR|7AAC|8CDMG|9MDPS|aTLV
11	61231 53243	   	358.44	DCR|2VULN|1MDPS|1CDMG|1DUR	1AME|25VULN|3DUR|4LHND|6RCR|7AAC|8CDMG|9MDPS|aAEFRZ
12	14322 12663	 * 	358.01	DCR|2MDPS|1VULN|1DUR	1AEPOI|2LHND|3LIT|4DUR|5RCVC|6RCR|7VULN|8aMDPS|9ASPD
13	14331 12663	   	358.01	DCR|2MDPS|1VULN|1DUR	1AEPOI|2LHND|34LIT|5DUR|6RCR|7VULN|8aMDPS|9ASPD
14	61236 13161	   	357.15	DCR|2VULN|1MDPS|1TLV|1DUR	1AME|28VULN|3DUR|4LHND|5TBNT|6RCR|7BBNT|9TLV|aMDPS
15	61263 13161	   	357.15	DCR|2VULN|1MDPS|1TLV|1DUR	1AME|28VULN|3DUR|4TBNT|5LHND|6RCR|7BBNT|9TLV|aMDPS
16	61261 13161	   	357.05	DCR|2VULN|1MDPS|1TLV|1DUR	1AME|28VULN|3DUR|4TBNT|5DUST|6RCR|7BBNT|9TLV|aMDPS
