0	Index      	 *	Score 	Summary	Detail	
1	61215 12243	 * 	413.81	DCR|4VULN|1MDPS|1DUR|1SELL	1246VULN|3SELL|4BPWR|5LIT|7CGEN|8RCR|9DUR|aMDPS
2	25224 33213	 * 	395.72	2MDPS|3VULN|1CDMG|2DUR	1LIT|24DUR|348VULN|4BPWR|5CDMG|6LWND|7LHND|9aMDPS
3	25224 34213	   	395.62	2MDPS|3VULN|1CDMG|2DUR	1LIT|24DUR|348VULN|4BPWR|5CDMG|6LWND|7DUST|9aMDPS
4	25224 36213	   	395.62	2MDPS|3VULN|1CDMG|2DUR	1LIT|24DUR|348VULN|4BPWR|5CDMG|6LWND|7AETHUN|9aMDPS
5	61214 23252	 * 	394.85	DCR|3VULN|1MDPS|1DMG|1DUR|1SELL	124VULN|3SELL|4BPWR|5DMG|6FEWX|7RCR|8LWND|9DUR|aMDPS
6	61214 23141	 * 	394.75	DCR|3VULN|1MDPS|1DMG|1DUR|1SELL	124VULN|3SELL|4BPWR|5DMG|6FEWX|7RCR|8DUR|9MDPS|aTBNT
7	61214 23142	 * 	394.75	DCR|3VULN|1MDPS|1DMG|1DUR|2SELL	124VULN|3aSELL|4BPWR|5DMG|6FEWX|7RCR|8DUR|9MDPS
8	61214 23143	 * 	394.75	DCR|3VULN|1MDPS|1DMG|1DUR|1SELL	124VULN|3SELL|4BPWR|5DMG|6FEWX|7RCR|8DUR|9MDPS|aAAC
9	23164 13533	 * 	391.36	DCR|2VULN|1MDPS|2CDMG|1DMG|1DUR	17LIT|27VULN|3DMG|4CGEN|57CDMG|6RCR|7BPWR|8DUR|9RAT|aMDPS
10	23114 13533	   	391.26	DCR|2VULN|1MDPS|2CDMG|1DMG|1DUR	17LIT|27VULN|3DMG|4ERES|57CDMG|6RCR|7BPWR|8DUR|9RAT|aMDPS
11	25222 32122	 * 	387.68	DCR|3VULN|1MDPS|2DUR	17LIT|24DUR|347VULN|47BPWR|5DMSP|67RAT|8MBVNT|9RCR|aMDPS
12	61411 43164	   	387.58	DCR|3VULN|1MDPS|2DUR	127VULN|3MBVNT|478LHND|57DUR|6BELT|7BPWR|9RCR|aMDPS
13	25223 32522	   	387.48	DCR|3VULN|1MDPS|2DUR	1LIT|24DUR|346VULN|4BPWR|5ZMB|7RAT|8ASPD|9RCR|aMDPS
14	61411 43264	   	387.48	DCR|3VULN|1MDPS|2DUR	127VULN|3MBVNT|47LHND|57DUR|6BELT|7BPWR|8AEBURN|9RCR|aMDPS
15	23522 23643	   	384.85	DCR|2VULN|1MDPS|2CDMG|1DUR|1AART	1LIT|24VULN|34LHND|4BPWR|5AART|69CDMG|7DUR|8RCR|aMDPS
