0	Index      	 *	Score 	Summary	Detail	
1	14231 35335	 * 	369.80	DCR|2VULN|1MDPS|2DUR|1TLV	1LWND|25VULN|3TLV|4ZMB|6RCR|7AEBURN|89DUR|aMDPS
2	32653 31361	 * 	358.11	DCR|2MDPS|1VULN|1DUR	17CGEN|2AEPOI|3LHND|4VULN|5ZMB|6RCR|8DUR|9aMDPS
3	32653 33361	   	358.11	DCR|2MDPS|1VULN|1DUR	1CGEN|2AEPOI|3LHND|4VULN|57ZMB|6RCR|8DUR|9aMDPS
4	14422 53133	   	351.11	DCR|2VULN|1MDPS|1DMG|1DUR	1LWND|28VULN|3DUR|4DMG|5TBNT|6DUST|7RCR|9CGEN|aMDPS
5	12211 22233	 * 	344.32	ACR|2MDPS|1VULN|1TLV|1DUR	1LWND|2TLV|3RCR|4DUST|5BEXP|6VULN|7DUR|8RMIN|9aMDPS
6	12252 22233	   	344.32	ACR|2MDPS|1VULN|1TLV|1DUR	1LWND|2TLV|3RCR|4LEGI|5BEXP|6VULN|7DUR|8RMIN|9aMDPS
7	12211 22533	   	344.22	ACR|2MDPS|1VULN|1TLV|1DUR	1LWND|2TLV|3RCR|4DUST|5BEXP|6VULN|7DUR|8AME|9aMDPS
8	12252 22533	   	344.22	ACR|2MDPS|1VULN|1TLV|1DUR	1LWND|2TLV|3RCR|4LEGI|5BEXP|6VULN|7DUR|8AME|9aMDPS
9	42213 22233	   	344.22	ACR|2MDPS|1VULN|1TLV|1DUR	1BEXP|2TLV|3RCR|4DUST|5AETHUN|6VULN|7DUR|8RMIN|9aMDPS
10	42213 22533	   	344.22	ACR|2MDPS|1VULN|1TLV|1DUR	1BEXP|2TLV|3RCR|4DUST|5AETHUN|6VULN|7DUR|8MLV|9aMDPS
11	14331 35335	   	343.50	DCR|2VULN|1MDPS|2DUR	1LWND|25VULN|3AME|4ZMB|6RCR|7AEBURN|89DUR|aMDPS
