0	Index      	 *	Score 	Summary	Detail	
1	36315 26223	 * 	358.11	DCR|DCR|1MDPS|1VULN|1DUR	1LWND|2RAT|3LHND|4DUR|5RPLT|68RCR|7AETHUN|9VULN|aMDPS
2	23331 62121	 * 	357.35	DCR|2VULN|1MDPS|1TLV|1DUR	1DUST|2LHND|38VULN|4TLV|5ZMB|6RCR|7DUR|9LIT|aMDPS
3	23331 64121	   	357.35	DCR|2VULN|1MDPS|1TLV|1DUR	1DUST|2LHND|37VULN|4TLV|5ZMB|6RCR|8DUR|9LIT|aMDPS
4	23331 62142	   	357.25	DCR|2VULN|1MDPS|1TLV|1DUR	1DUST|2LHND|38VULN|4TLV|5ZMB|6RCR|7DUR|9TBNT|aMDPS
5	23331 64142	   	357.25	DCR|2VULN|1MDPS|1TLV|1DUR	1DUST|2LHND|37VULN|4TLV|5ZMB|6RCR|8DUR|9TBNT|aMDPS
6	12232 34124	   	344.79	DCR|2VULN|1MDPS|1DUR|1AART	1CGEN|2RAT|38VULN|4AEWIND|5LWND|6DUR|7RCR|9AART|aMDPS
7	31513 41321	 * 	344.75	ACR|2VULN|1MDPS|1CDMG|1TLV|1DUR	12LWND|3TLV|4RCR|5DUR|6CDMG|78VULN|9MDPS|aZMB
8	31513 41322	   	344.75	ACR|2VULN|1MDPS|1CDMG|1TLV|1DUR	12LWND|3TLV|4RCR|5DUR|6CDMG|78VULN|9MDPS|aFRZARM
9	31513 41323	   	344.75	ACR|2VULN|1MDPS|1CDMG|1TLV|1DUR	12LWND|3TLV|4RCR|5DUR|6CDMG|78VULN|9MDPS|aAAC
10	31513 41324	   	344.75	ACR|2VULN|1MDPS|1CDMG|1TLV|1DUR	12LWND|3TLV|4RCR|5DUR|6CDMG|78VULN|9MDPS|aASPD
11	31513 41325	   	344.75	ACR|2VULN|1MDPS|1CDMG|1TLV|1DUR	12LWND|3TLV|4RCR|5DUR|6CDMG|78VULN|9MDPS|aCGEN
12	31513 41326	   	344.75	ACR|2VULN|1MDPS|1CDMG|1TLV|1DUR	12LWND|3TLV|4RCR|5DUR|6CDMG|78VULN|9MDPS|aBEXP
13	32513 41321	   	344.75	ACR|2VULN|1MDPS|1CDMG|1TLV|1DUR	1LWND|2DMSP|3TLV|4RCR|5DUR|6CDMG|78VULN|9MDPS|aZMB
14	32513 41322	   	344.75	ACR|2VULN|1MDPS|1CDMG|1TLV|1DUR	1LWND|2DMSP|3TLV|4RCR|5DUR|6CDMG|78VULN|9MDPS|aFRZARM
15	32513 41323	   	344.75	ACR|2VULN|1MDPS|1CDMG|1TLV|1DUR	1LWND|2DMSP|3TLV|4RCR|5DUR|6CDMG|78VULN|9MDPS|aAAC
16	32513 41324	   	344.75	ACR|2VULN|1MDPS|1CDMG|1TLV|1DUR	1LWND|2DMSP|3TLV|4RCR|5DUR|6CDMG|78VULN|9MDPS|aASPD
17	32513 41325	   	344.75	ACR|2VULN|1MDPS|1CDMG|1TLV|1DUR	1LWND|2DMSP|3TLV|4RCR|5DUR|6CDMG|78VULN|9MDPS|aCGEN
18	32513 41326	   	344.75	ACR|2VULN|1MDPS|1CDMG|1TLV|1DUR	1LWND|2DMSP|3TLV|4RCR|5DUR|6CDMG|78VULN|9MDPS|aBEXP
19	11313 36511	 * 	336.20	DCR|1MDPS|1VULN|2DUR|2AART|1DMG	17CGEN|26AART|3DMG|48DUR|5VULN|9RCR|aMDPS
20	41313 31511	   	336.00	DCR|1MDPS|1VULN|2DUR|2AART|1DMG	17AME|26AART|3DMG|48DUR|5VULN|9RCR|aMDPS
21	11111 66362	   	332.19	ACR|2VULN|1MDPS|1CDMG|1DUR|1AART	1CGEN|2AART|3AEWIND|4RCR|5DUR|6CDMG|78VULN|9RMIN|aMDPS
22	11111 66152	   	332.09	ACR|2VULN|1MDPS|1CDMG|1DUR|1AART	1CGEN|2AART|3AEWIND|4RCR|5DUR|6CDMG|79VULN|8ERES|aMDPS
23	11111 66352	   	332.09	ACR|2VULN|1MDPS|1CDMG|1DUR|1AART	1CGEN|2AART|3AEWIND|4RCR|5DUR|6CDMG|78VULN|9ERES|aMDPS
24	12231 41224	   	331.14	DCR|2VULN|1MDPS|1DUR	15CGEN|2RAT|38VULN|4AEWIND|6DUR|7LHND|9RCR|aMDPS
25	12232 34134	   	331.14	DCR|2VULN|1MDPS|1DUR	1CGEN|2RAT|38VULN|4AEWIND|59LWND|6DUR|7RCR|aMDPS
26	11411 56121	   	331.10	ACR|2VULN|1MDPS|1TLV|1DUR|1AART	138CGEN|2AART|4RCR|5DUR|69VULN|7TLV|aMDPS
27	14513 21124	   	331.10	ACR|2VULN|1MDPS|1TLV|1DUR|1AART	1CGEN|2MLV|3TLV|4RCR|5DUR|68VULN|7RAT|9AART|aMDPS
28	11111 56121	   	331.00	ACR|2VULN|1MDPS|1TLV|1DUR|1AART	18CGEN|2AART|3AEWIND|4RCR|5DUR|69VULN|7TLV|aMDPS
