0	Index      	 *	Score 	Summary	Detail	
1	22613 62363	 * 	411.63	ACR|2MDPS|2VULN|1CDMG|2DUR	18DUR|2RCR|37VULN|4CDMG|5AIRARM|6LWND|9aMDPS
2	22611 34111	 * 	411.34	ACR|3VULN|1MDPS|3CDMG|3DUR	158DUR|2RCR|378VULN|468CDMG|8BPWR|9MDPS|aERES
3	22611 34112	   	411.34	ACR|3VULN|1MDPS|3CDMG|3DUR	158DUR|2RCR|378VULN|468CDMG|8BPWR|9MDPS|aBEXP
4	22611 34113	   	411.34	ACR|3VULN|1MDPS|3CDMG|3DUR	158DUR|2RCR|378VULN|468CDMG|8BPWR|9MDPS|aMLV
5	22611 34115	   	411.34	ACR|3VULN|1MDPS|3CDMG|3DUR	158DUR|2RCR|378VULN|468CDMG|8BPWR|9MDPS|aAAC
6	22611 34116	   	411.34	ACR|3VULN|1MDPS|3CDMG|3DUR|1DMG	158DUR|2RCR|378VULN|468CDMG|8BPWR|9MDPS|aDMG
7	42133 41632	 * 	401.45	ACR|4VULN|1MDPS|1CDMG|1DUR	1689VULN|2RCR|3FEWX|4LIT|5DUR|7CDMG|aMDPS
8	22623 11562	   	401.35	ACR|4VULN|1MDPS|1CDMG|1DUR	1DUR|2RCR|3789VULN|4ZMB|5DUST|6CDMG|aMDPS
9	22611 23562	   	401.09	ACR|3VULN|1MDPS|1CDMG|2DUR|1TLV	15DUR|2RCR|389VULN|4CDMG|6LWND|7TLV|aMDPS
10	22611 13562	   	400.99	ACR|3VULN|1MDPS|1CDMG|2DUR|1TLV	15DUR|2RCR|389VULN|4CDMG|6DUST|7TLV|aMDPS
11	42111 51522	 * 	400.08	ACR|3VULN|1MDPS|2DMG|1CDMG|1DUR	178VULN|2RCR|3FEWX|4CDMG|5DUR|69DMG|aMDPS
12	22612 61522	   	399.98	ACR|3VULN|1MDPS|2DMG|1CDMG|1DUR	1DUR|2RCR|378VULN|4CDMG|59DMG|6DUST|aMDPS
13	22613 33463	   	399.08	ACR|2MDPS|2VULN|1CDMG|1DUR	1DUR|2RCR|37VULN|4CDMG|5AIRARM|6AME|8CGEN|9aMDPS
14	22613 33663	   	398.98	ACR|2MDPS|2VULN|1CDMG|1DUR	1DUR|2RCR|37VULN|4CDMG|5AIRARM|6AME|8ERES|9aMDPS
15	22612 31562	   	394.95	ACR|3VULN|1MDPS|1CDMG|2DUR|1DMG	16DUR|2RCR|389VULN|4CDMG|5DMG|7LWND|aMDPS
16	42311 43672	   	388.44	ACR|3VULN|1MDPS|1CDMG|1TLV|1DUR	189VULN|2RCR|3MBVNT|4CDMG|5DUR|6AEWIND|7TLV|aMDPS
17	22335 45247	   	384.23	ACR|2MDPS|2VULN|2DUR	18DUR|2RCR|3MBVNT|4LIT|58AEFRZ|6BELT|78VULN|8BPWR|9aMDPS
18	22645 22244	   	384.13	ACR|2MDPS|2VULN|2DUR	15DUR|2RCR|35VULN|4MBVNT|5BPWR|6RMIN|7aMDPS|8FEWX|9BOSS
19	42111 51613	   	382.50	ACR|3VULN|1MDPS|1CDMG|1DMG|1DUR	179VULN|2RCR|3FEWX|4CDMG|5DUR|6DMG|8BEXP|aMDPS
20	22318 61513	   	382.40	ACR|3VULN|1MDPS|1CDMG|1DMG|1DUR	1DUR|2RCR|3MBVNT|4CDMG|5BEXP|6DMG|789VULN|aMDPS
21	22613 43263	   	382.40	ACR|3VULN|1MDPS|1CDMG|1DMG|1DUR	1DUR|2RCR|379VULN|4CDMG|5AIRARM|6DMG|8BEXP|aMDPS
