0	Index      	 *	Score 	Summary	Detail	
1	32551 21324	 * 	387.48	DCR|3VULN|1MDPS|2DUR	178VULN|24RAT|34DUR|4BPWR|5RMIN|6BBNT|9RCR|aMDPS
2	32122 41324	 * 	384.65	DCR|2VULN|1MDPS|3TLV|1DUR	18VULN|24RAT|345TLV|4BPWR|6FEWX|7DUR|9RCR|aMDPS
3	32111 23362	   	377.41	DCR|2VULN|1MDPS|1TLV|1DMG|1DUR	18VULN|2RAT|3TLV|4DMG|5RMIN|6BBNT|7DUR|9RCR|aMDPS
4	63333 26421	   	375.03	DCR|3VULN|1MDPS|1DUR	1DUR|2MLV|39BEXP|458VULN|6RPLT|7RCR|aMDPS
5	32424 21324	   	374.93	DCR|3VULN|1MDPS|1DUR	178VULN|2RAT|3BBNT|4RCVC|5DUR|6RMIN|9RCR|aMDPS
6	32511 21324	   	374.93	DCR|3VULN|1MDPS|1DUR	178VULN|24RAT|3DUR|5RMIN|6BBNT|9RCR|aMDPS
7	32563 21324	   	374.93	DCR|3VULN|1MDPS|1DUR	178VULN|25RAT|3DUR|4MLV|6BBNT|9RCR|aMDPS
8	32453 31324	   	374.83	DCR|3VULN|1MDPS|1DUR	178VULN|2RAT|3BBNT|4ZMB|5DUR|6AEFBLL|9RCR|aMDPS
9	32461 21324	   	374.83	DCR|3VULN|1MDPS|1DUR	148VULN|24RAT|3BBNT|4BPWR|5AEBURN|6AME|7DUR|9RCR|aMDPS
10	22235 65232	   	374.79	DCR|3VULN|1MDPS|1DUR|1SELL	1CGEN|2RMIN|3SELL|4LHND|589VULN|6DUR|7RCR|aMDPS
11	32132 21324	   	374.24	DCR|2VULN|1MDPS|2TLV|1DUR	18VULN|2RAT|35TLV|4RCVC|6TBNT|7DUR|9RCR|aMDPS
12	32551 13214	 * 	370.67	DCR|2MDPS|1VULN|2DUR	1VULN|24RAT|34DUR|4BPWR|5RMIN|6RCR|79LWND|8aMDPS
13	32551 13224	   	370.67	DCR|2MDPS|1VULN|2DUR	1VULN|24RAT|34DUR|4BPWR|5RMIN|6RCR|7LWND|8aMDPS|9AEFBLL
14	32551 11114	   	370.57	DCR|2MDPS|1VULN|2DUR	1VULN|24RAT|34DUR|4BPWR|5RMIN|6RCR|7AME|8aMDPS|9MLV
15	32413 51124	 * 	368.69	DCR|2VULN|1MDPS|2DMG|1DUR	17VULN|2RAT|3BBNT|48DMG|5DUR|6AEFBLL|9RCR|aMDPS
16	62113 51362	   	363.66	DCR|2VULN|1MDPS|2DUR|1DMG	15DUR|2RAT|3TBNT|4DMG|6LWND|78VULN|9RCR|aMDPS
17	32563 15231	 * 	358.64	DCR|2VULN|1MDPS|1CDMG|1DUR	19VULN|25RAT|3DUR|48MLV|6RCR|7CDMG|aMDPS
18	35216 51413	   	358.30	DCR|2VULN|1MDPS|1CDMG|1DUR|1SELL	15VULN|2RCVC|3SELL|4MBVNT|6CDMG|7RCR|8DUR|9BEXP|aMDPS
19	35234 11261	   	358.30	DCR|2VULN|1MDPS|1CDMG|1DUR|1SELL	14VULN|2RCVC|3SELL|5RPLT|6RCR|7CDMG|8AETHUN|9DUR|aMDPS
20	35216 51421	   	358.20	DCR|2VULN|1MDPS|1CDMG|1DUR|1SELL	15VULN|2RCVC|3SELL|4MBVNT|6CDMG|7RCR|8DUR|9MDPS|aBEXP
21	35216 51422	 * 	358.20	DCR|2VULN|1MDPS|1CDMG|2DUR|1SELL	15VULN|2RCVC|3SELL|4MBVNT|6CDMG|7RCR|8aDUR|9MDPS
22	35216 51423	   	358.20	DCR|2VULN|1MDPS|1CDMG|1DUR|1SELL|1MSE	15VULN|2RCVC|3SELL|4MBVNT|6CDMG|7RCR|8DUR|9MDPS|aMSE
23	35216 51424	   	358.20	DCR|2VULN|1MDPS|1CDMG|1DUR|1SELL	15VULN|2RCVC|3SELL|4MBVNT|6CDMG|7RCR|8DUR|9MDPS|aAME
24	32511 13214	   	358.11	DCR|2MDPS|1VULN|1DUR	1VULN|24RAT|3DUR|5RMIN|6RCR|79LWND|8aMDPS
25	32511 13224	   	358.11	DCR|2MDPS|1VULN|1DUR	1VULN|24RAT|3DUR|5RMIN|6RCR|7LWND|8aMDPS|9AEFBLL
26	32511 13264	   	358.11	DCR|2MDPS|1VULN|1DUR	1VULN|24RAT|3DUR|5RMIN|6RCR|7LWND|8aMDPS|9DMSP
27	32511 11114	   	358.01	DCR|2MDPS|1VULN|1DUR	1VULN|24RAT|3DUR|5RMIN|6RCR|7AME|8aMDPS|9MLV
28	32511 11154	   	358.01	DCR|2MDPS|1VULN|1DUR	1VULN|24RAT|3DUR|5RMIN|6RCR|7AME|8aMDPS|9ERES
29	32511 11164	 * 	358.01	DCR|2MDPS|1VULN|1TLV|1DUR	1VULN|24RAT|3DUR|5RMIN|6RCR|7AME|8aMDPS|9TLV
30	32514 11114	   	358.01	DCR|2MDPS|1VULN|1DUR	1VULN|24RAT|3DUR|5CGEN|6RCR|7AME|8aMDPS|9MLV
31	35231 36433	 * 	358.00	2MDPS|2VULN|1TLV|1DMG|1DUR|1SELL	14VULN|2RCVC|3SELL|5DMG|6DUR|7CGEN|8TLV|9aMDPS
