0	Index      	Bounty	 *	Score 	Summary	Detail	
1	11216 33225	10	 * 	279.46	DCR|3VULN|3DMG|1TLV|2ASPD|1AART	1aASPD|2AART|3TLV|4RPLT|58aVULN|69aDMG|7RCR|aBPWR
2	13113 41232	10	   	277.40	DCR|3VULN|2DMG|1TLV|1DUR|2LIT	1ASPD|29DMG|3LHND|4TLV|59LIT|6DUR|789VULN|9BPWR|aRCR
3	13416 12225	2	 * 	275.99	DCR|2VULN|2DMG|2TLV|2DUR|3ASPD	17aASPD|2aDMG|3RPLT|47DUR|57TLV|6RCR|7aBPWR|8aVULN|9RCVC
4	43211 31113	2	 * 	274.64	DCR|2VULN|3DMG|2DUR|1TLV|2LIT	128DMG|3RPLT|4TLV|58LIT|6RCR|78DUR|8BPWR|9aVULN
5	46222 36321	9	 * 	271.50	DCR|3VULN|3DMG|3DUR	139DMG|26DMSP|39BPWR|459VULN|7RCR|89aDUR
6	44113 41232	10	 * 	270.53	DCR|3VULN|2DMG|2TLV|1DUR	19DMG|2MLV|3LEGI|49TLV|5LIT|6DUR|789VULN|9BPWR|aRCR
7	16122 46323	10	 * 	269.66	DCR|4VULN|2DUR|3ASPD|1DMG	139ASPD|2DMSP|4569VULN|7RCR|89DUR|9BPWR|aDMG
8	41263 12334	3	 * 	268.40	DCR|4VULN|2DMG|1TLV|1AART	18DMG|2AART|3TLV|4579VULN|6MBVNT|aRCR
9	46222 36212	7	   	267.94	DCR|3VULN|3DMG|2DUR|1AART	13aDMG|26DMSP|3aBPWR|45aVULN|7RCR|8aDUR|9AART
10	46222 36312	8	   	267.94	DCR|3VULN|3DMG|2DUR|1AART	13aDMG|26DMSP|3aBPWR|45aVULN|7RCR|8aDUR|9AART
11	43332 65212	5	 * 	267.66	DCR|2VULN|3DMG|2TLV|2DUR	128DMG|3DLOT|48DUR|58TLV|6RCR|7BBNT|8BPWR|9aVULN
12	13113 44232	10	   	267.29	DCR|2VULN|2DMG|2DUR|1TLV|2LIT	1ASPD|29DMG|3LHND|4TLV|59LIT|67DUR|89VULN|9BPWR|aRCR
