0	Index      	Bounty	 *	Score 	Summary	Detail	
1	63134 12214	2	 * 	311.42	DCR|5VULN|3DMG|2DUR	13479VULN|2RCVC|49BPWR|589DMG|69DUR|aRCR
2	54223 32325	10	 * 	305.80	DCR|4VULN|3DUR|2DMG|1TLV	1BELT|267aVULN|3MLV|47DMG|567DUR|67BPWR|8RCR|9TLV
3	64321 23253	8	 * 	305.72	DCR|4VULN|3ASPD|2DUR|2CDMG|1TLV	1349VULN|234ASPD|349BPWR|5RMIN|69CDMG|7RCR|89DUR|aTLV
4	32633 14612	6	   	300.55	DCR|5VULN|3DMG|3LIT	1RPLT|267LIT|357DMG|45789VULN|579BPWR|aRCR
5	64325 23231	7	 * 	291.69	DCR|3VULN|2DMG|3ASPD|1TLV|1CDMG	134VULN|234ASPD|34BPWR|58DMG|6CDMG|7RCR|9LIT|aTLV
6	54223 32326	10	   	291.47	DCR|3VULN|3DUR|2DMG|1TLV	1BELT|267VULN|3MLV|47DMG|567DUR|67BPWR|8RCR|9TLV|aLIT
7	61232 65121	3	   	290.97	DCR|3VULN|3DMG|2CDMG|1TLV|1DUR	167VULN|27LWND|37CDMG|456DMG|67BPWR|8DUR|9TLV|aRCR
8	64325 23213	7	 * 	289.77	DCR|4VULN|2DMG|3ASPD|1CDMG	134aVULN|234ASPD|34BPWR|58DMG|6CDMG|7RCR|9BEXP
9	64321 23251	8	   	289.47	DCR|4VULN|3ASPD|2DUR|2CDMG	1349VULN|234ASPD|349BPWR|5RMIN|69CDMG|7RCR|89DUR|aLHND
10	64321 23252	8	   	289.37	DCR|4VULN|3ASPD|2DUR|2CDMG	1349VULN|234ASPD|349BPWR|5RMIN|69CDMG|7RCR|89DUR|aTBNT
11	63123 12114	5	 * 	288.95	DCR|5VULN|3ASPD|2DUR	14789VULN|25RCVC|349ASPD|49BPWR|69DUR|aRCR
12	63123 63114	5	   	288.95	DCR|5VULN|3ASPD|2DUR	14689VULN|25RCVC|349ASPD|49BPWR|79DUR|aRCR
13	64325 23123	8	   	288.44	DCR|4VULN|3ASPD|1DMG|1TLV|1CDMG	134aVULN|234ASPD|34BPWR|5DMG|6CDMG|7RCR|8CGEN|9TLV
14	64325 23213	9	   	288.44	DCR|4VULN|3ASPD|1DMG|1DUR|1CDMG	134aVULN|234ASPD|34BPWR|5DMG|6CDMG|7RCR|8DUR|9RCVC
