0	Index      	Bounty	 *	Score 	Summary	Detail	
1	13633 24116	5	 * 	296.73	DCR|5VULN|3DMG|1DUR|1CDMG	15678VULN|2DUR|3LHND|456DMG|56BPWR|9CDMG|aRCR
2	13633 24362	5	 * 	292.55	DCR|4VULN|3DMG|3DUR	1567VULN|28aDUR|3LHND|456DMG|56BPWR|9RCR
3	14211 65231	9	   	292.38	DCR|4VULN|2DMG|2DUR|2LIT|1CDMG	1679VULN|27MLV|39DMG|4CDMG|57DUR|79BPWR|89LIT|aRCR
4	12341 62132	1	 * 	291.76	DCR|3VULN|2DMG|2TLV|2DUR|2LIT	157VULN|26TLV|37DMG|47DUR|7BPWR|8aLIT|9RCR
5	13633 24363	5	   	288.99	DCR|4VULN|3DMG|2DUR	1567VULN|28DUR|3LHND|456DMG|56BPWR|9RCR|aAART
6	13462 11221	6	 * 	288.79	DCR|3VULN|3DUR|2TLV|1DMG|2ASPD	14aVULN|249DUR|3BELT|4aBPWR|5DMG|6RCR|7aASPD|8aTLV
7	13633 24361	5	   	287.63	DCR|4VULN|3DMG|2DUR	1567VULN|28DUR|3LHND|456DMG|56BPWR|9RCR|aASPD
8	12341 62133	1	   	285.21	DCR|3VULN|2DMG|2TLV|2DUR	157VULN|26TLV|37DMG|47DUR|7BPWR|8LIT|9RCR|aRMIN
9	12341 62136	1	   	285.21	DCR|3VULN|2DMG|2TLV|2DUR	157VULN|26TLV|37DMG|47DUR|7BPWR|8LIT|9RCR|aCGEN
10	12341 62131	1	   	285.11	DCR|3VULN|2DMG|2TLV|2DUR	157VULN|26TLV|37DMG|47DUR|7BPWR|8LIT|9RCR|aDUST
11	12341 62134	1	   	285.11	DCR|3VULN|2DMG|2TLV|2DUR	157VULN|26TLV|37DMG|47DUR|7BPWR|8LIT|9RCR|aTBNT
12	12341 62135	1	   	285.11	DCR|3VULN|2DMG|2TLV|2DUR	157VULN|26TLV|37DMG|47DUR|7BPWR|8LIT|9RCR|aERES
13	33132 25622	3	 * 	284.85	DCR|4VULN|2DMG|1TLV|1DUR	1DUR|2AART|3568VULN|46DMG|6BPWR|7TLV|9RPLT|aRCR
14	33532 25622	2	   	284.85	DCR|4VULN|2DMG|1TLV|1DUR	1DUR|2AART|3568VULN|46DMG|6BPWR|7TLV|9RPLT|aRCR
15	31123 35642	10	 * 	284.43	DCR|3VULN|3DUR|1TLV|1DMG|2CDMG	167DUR|27CDMG|3CGEN|4TLV|578VULN|7BPWR|9DMG|aRCR
16	12443 32114	1	 * 	283.37	DCR|4VULN|2DMG|2TLV|1DUR	1479VULN|27TLV|3LWND|5DUR|67DMG|7BPWR|8RMIN|aRCR
17	12552 42133	9	 * 	283.19	DCR|4VULN|3DUR|3TLV	1458VULN|2RMIN|348TLV|48BPWR|6AART|789DUR|aRCR
18	33151 23336	4	   	283.19	DCR|4VULN|3DUR|3TLV	157DUR|2AART|3679VULN|467TLV|67BPWR|8CGEN|aRCR
19	33341 23336	2	   	283.19	DCR|4VULN|3DUR|3TLV	157DUR|2AART|367TLV|4679VULN|67BPWR|8CGEN|aRCR
20	14262 12313	6	   	283.08	DCR|5VULN|3DMG|1DUR	1457aVULN|27MLV|378DMG|6RCR|7BPWR|9DUR
21	12562 12152	6	 * 	282.73	DCR|5VULN|3TLV|1DMG|2LIT	14579VULN|2RMIN|379TLV|6RCR|79BPWR|89LIT|aDMG
22	14262 12151	6	   	281.89	DCR|5VULN|3DMG|2LIT	14579VULN|27MLV|379DMG|6RCR|79BPWR|89LIT|aCGEN
23	14262 12153	6	   	281.89	DCR|5VULN|3DMG|2LIT	14579VULN|27MLV|379DMG|6RCR|79BPWR|89LIT|aFEWX
24	14262 12152	6	   	281.65	DCR|5VULN|3DMG|2LIT|1SELL	14579VULN|27MLV|379DMG|6RCR|79BPWR|89LIT|aSELL
25	33132 21652	3	   	281.54	DCR|4VULN|2DMG|2DUR	19DUR|2AART|3568VULN|46DMG|6BPWR|7ASPD|aRCR
26	33532 21652	2	   	281.54	DCR|4VULN|2DMG|2DUR	19DUR|2AART|3568VULN|46DMG|6BPWR|7ASPD|aRCR
27	33132 26256	3	   	281.26	DCR|3VULN|3DMG|3DUR	19aDUR|2AART|356VULN|46aDMG|6aBPWR|7RCR|8aCGEN
28	13152 32221	7	 * 	281.19	DCR|2VULN|3DMG|3DUR|2TLV	1aVULN|269DUR|3RMIN|4BELT|56aDMG|6aBPWR|7RCR|8aTLV
