0	Index      	Bounty	 *	Score 	Summary	Detail	
1	11316 15521	4	 * 	292.25	DCR|4VULN|2DUR|1TLV|1DMG|2CDMG	1DMSP|2457VULN|37CDMG|67DUR|7BPWR|8TLV|9DMG|aRCR
2	54112 12331	5	 * 	287.29	DCR|5VULN|2DMG|2CDMG|2ASPD	12457VULN|39ASPD|69DMG|89CDMG|9BPWR|aRCR
3	54112 42331	6	   	287.29	DCR|5VULN|2DMG|2CDMG|2ASPD	12457VULN|39ASPD|69DMG|89CDMG|9BPWR|aRCR
4	55231 12225	8	 * 	286.42	DCR|4VULN|3DMG|2CDMG|1AART	159aVULN|2LIT|3aCDMG|46aDMG|7RCR|8AART|aBPWR
5	54216 31132	10	 * 	284.15	DCR|5VULN|1TLV|1DMG|1DUR	12458VULN|3LIT|6RCR|7DMG|9DUR|aTLV
6	55116 31132	10	   	284.15	DCR|5VULN|1TLV|1DMG|1DUR	13458VULN|2LIT|6RCR|7DMG|9DUR|aTLV
7	62365 13121	8	 * 	276.45	DCR|4VULN|2TLV|2DUR|2ASPD	19ASPD|29DUR|3LHND|458aVULN|6RCR|79TLV|9BPWR
8	33114 26222	8	   	275.85	DCR|5VULN|1TLV|1DMG|2ASPD	1RMIN|2DMG|36ASPD|4569aVULN|6BPWR|7RCR|8TLV
9	33114 26432	7	   	275.85	DCR|5VULN|1TLV|1DMG|2ASPD	1RMIN|2DMG|36ASPD|4568aVULN|6BPWR|7RCR|9TLV
10	54112 12632	5	   	275.74	DCR|5VULN|1TLV|1DMG|2ASPD	12457VULN|39ASPD|6DMG|8TLV|aRCR
11	11266 31151	8	 * 	273.80	DCR|4VULN|2DMG|1TLV|2LIT	1DMSP|2458VULN|34LIT|4BPWR|6RCR|7aDMG|9TLV
12	11266 31251	7	   	273.80	DCR|4VULN|2DMG|1TLV|2LIT	1DMSP|2458VULN|34LIT|4BPWR|6RCR|7aDMG|9TLV
13	51152 23631	1	 * 	273.76	DCR|4VULN|3DUR|1TLV	1247VULN|27BPWR|357DUR|67CGEN|8RCR|9TLV|aLIT
14	33114 24433	6	   	273.75	DCR|4VULN|1TLV|1DMG|2ASPD|1DUR	1RMIN|2DMG|36ASPD|4568VULN|6BPWR|7DUR|9TLV|aRCR
15	33114 26225	8	   	273.75	DCR|4VULN|1TLV|1DMG|2ASPD|1DUR	1RMIN|2DMG|36ASPD|4569VULN|6BPWR|7RCR|8TLV|aDUR
16	33114 34433	5	   	273.75	DCR|4VULN|1TLV|1DMG|2ASPD|1DUR	1RMIN|2DMG|36ASPD|4568VULN|6BPWR|7DUR|9TLV|aRCR
17	54216 31131	10	 * 	272.53	DCR|5VULN|2DUR|1DMG	12458VULN|3LIT|6RCR|7DMG|9aDUR
18	55116 31131	10	   	272.53	DCR|5VULN|2DUR|1DMG	13458VULN|2LIT|6RCR|7DMG|9aDUR
19	43252 33428	1	 * 	272.44	DCR|3VULN|3DUR|3TLV|1DMG	1MBVNT|249VULN|349TLV|49BPWR|5RMIN|6RCR|789DUR|aDMG
20	51122 12433	1	   	272.09	DCR|4VULN|2DUR|1TLV|1DMG	1278VULN|2BPWR|35DUR|4LHND|6DMG|9TLV|aRCR
21	54122 12433	2	   	272.09	DCR|4VULN|2DUR|1TLV|1DMG	1278VULN|35DUR|4LHND|6DMG|9TLV|aRCR
22	54216 31133	10	   	271.60	DCR|5VULN|1DMG|1DUR|1CDMG	12458VULN|3LIT|6RCR|7DMG|9DUR|aCDMG
23	55116 31133	10	   	271.60	DCR|5VULN|1DMG|1DUR|1CDMG	13458VULN|2LIT|6RCR|7DMG|9DUR|aCDMG
24	55231 12215	9	 * 	271.41	DCR|3VULN|3DMG|3CDMG|1AART	15aVULN|2LIT|39aCDMG|46aDMG|7RCR|8AART|aBPWR
25	11336 15521	3	   	271.20	DCR|3VULN|2DUR|1TLV|1DMG|2CDMG	1DMSP|257VULN|37CDMG|4RCVC|67DUR|7BPWR|8TLV|9DMG|aRCR
26	63333 62317	2	 * 	271.13	DCR|3VULN|2DMG|1TLV|3ASPD|1AART	148ASPD|2AART|38DMG|58aVULN|6MBVNT|7RCR|8BPWR|9TLV
27	54412 12331	5	   	270.94	DCR|5VULN|2DMG|2CDMG	12457VULN|39ERES|69DMG|89CDMG|9BPWR|aRCR
28	43212 18481	1	 * 	270.81	DCR|2VULN|3DUR|2DMG|1TLV|1CDMG	1MBVNT|28VULN|3TLV|48DMG|568DUR|7BBNT|8BPWR|9CDMG|aRCR
29	55231 12116	7	   	270.25	DCR|4VULN|3DMG|1CDMG	158aVULN|2LIT|3CDMG|469DMG|7RCR
30	43457 34322	1	 * 	270.16	DCR|3VULN|3DMG|1TLV	1MBVNT|246VULN|346DMG|46BPWR|5DMSP|7ASPD|8LIT|9TLV|aRCR
31	43455 12443	1	   	269.69	DCR|3VULN|3DMG|3CDMG|1DUR	1MBVNT|249VULN|349DMG|49BPWR|5RPLT|679CDMG|8RCR|aDUR
32	54111 13163	10	   	269.43	DCR|5VULN|1TLV|2ASPD|1CDMG	12469VULN|36ASPD|5BELT|6BPWR|7CDMG|8TLV|aRCR
33	47242 12624	7	 * 	269.40	DCR|3VULN|3DUR|2DMG|1CDMG	1MBVNT|259DUR|3CGEN|479VULN|6RCR|89DMG|9BPWR|aCDMG
34	47242 12724	8	   	269.40	DCR|3VULN|3DUR|2DMG|1CDMG	1MBVNT|259DUR|3CGEN|479VULN|6RCR|89DMG|9BPWR|aCDMG
35	47242 16124	8	   	269.40	DCR|3VULN|3DUR|2DMG|1CDMG	1MBVNT|259DUR|3CGEN|489VULN|6RCR|79DMG|9BPWR|aCDMG
36	47442 12624	7	   	269.40	DCR|3VULN|3DUR|2DMG|1CDMG	1MBVNT|259DUR|3MLV|479VULN|6RCR|89DMG|9BPWR|aCDMG
37	47442 16124	8	   	269.40	DCR|3VULN|3DUR|2DMG|1CDMG	1MBVNT|259DUR|3MLV|489VULN|6RCR|79DMG|9BPWR|aCDMG
38	62362 13124	8	   	268.63	DCR|3VULN|3DUR|2TLV|2ASPD	19ASPD|259DUR|3LHND|48aVULN|6RCR|79TLV|9BPWR
39	24245 32223	2	   	268.51	DCR|4VULN|2TLV|2DUR	1FEWX|2479VULN|34TLV|4BPWR|56DUR|8ASPD|aRCR
40	11216 31155	8	   	267.90	DCR|5VULN|1TLV|1DMG	1DMSP|2458aVULN|3LIT|6RCR|7DMG|9TLV
41	11216 31255	7	   	267.90	DCR|5VULN|1TLV|1DMG	1DMSP|2458aVULN|3LIT|6RCR|7DMG|9TLV
42	54216 31331	6	   	267.70	DCR|4VULN|1TLV|1DUR|1CDMG	1245VULN|3LIT|6RCR|7CDMG|8ASPD|9DUR|aTLV
43	55116 31331	6	   	267.70	DCR|4VULN|1TLV|1DUR|1CDMG	1345VULN|2LIT|6RCR|7CDMG|8ASPD|9DUR|aTLV
44	11111 35662	10	   	267.33	DCR|5VULN|2DMG|2ASPD	1DMSP|2489aVULN|39ASPD|5BELT|6RCR|79DMG|9BPWR
45	11112 46162	10	   	267.33	DCR|5VULN|2DMG|2ASPD	1DMSP|2459aVULN|39ASPD|69DMG|7BELT|8RCR|9BPWR
46	11216 31151	8	   	267.15	DCR|4VULN|2DMG|1TLV	1DMSP|2458VULN|3LIT|6RCR|7aDMG|9TLV
47	11216 31251	7	   	267.15	DCR|4VULN|2DMG|1TLV	1DMSP|2458VULN|3LIT|6RCR|7aDMG|9TLV
