0	Index      	Bounty	 *	Score 	Summary	Detail	
1	62333 31847	7	 * 	286.77	DCR|3VULN|3DUR|2DMG|2TLV	1aTLV|2MBVNT|3RCVC|469DUR|56aVULN|6aBPWR|7aDMG|8RCR
2	32323 23356	1	   	269.60	DCR|2VULN|3DUR|2DMG|1TLV|1CDMG	1aDUST|2TLV|35aDUR|4CDMG|69DMG|7aVULN|8RCR|aBPWR
3	61312 52315	2	 * 	269.56	DCR|4VULN|2ASPD|1TLV|1DUR	1TLV|2348VULN|5LIT|69ASPD|7DUR|aRCR
4	63312 52315	1	   	269.56	DCR|4VULN|2ASPD|1TLV|1DUR	1TLV|2348VULN|5LIT|69ASPD|7DUR|aRCR
5	61343 12532	2	 * 	268.51	DCR|4VULN|1DMG|1TLV|1CDMG|1ASPD	1TLV|239aVULN|4DMG|5ASPD|6DMSP|7RCR|8CDMG
6	63343 12532	1	   	268.51	DCR|4VULN|1DMG|1TLV|1CDMG|1ASPD	1TLV|239aVULN|4DMG|5ASPD|6DMSP|7RCR|8CDMG
7	62333 33271	10	 * 	268.27	DCR|4VULN|2DUR|1TLV|1CDMG	1TLV|2MBVNT|3RCVC|46DUR|567aVULN|6BPWR|8CDMG|9RCR
8	62333 33278	9	   	268.27	DCR|4VULN|2DUR|1TLV|1CDMG	1TLV|2MBVNT|3RCVC|46DUR|567aVULN|6BPWR|8CDMG|9RCR
9	41314 12532	2	 * 	267.98	DCR|5VULN|1TLV|1CDMG|1ASPD	1CGEN|2349aVULN|5TLV|6ASPD|7RCR|8CDMG
10	43314 12532	1	   	267.98	DCR|5VULN|1TLV|1CDMG|1ASPD	1CGEN|2349aVULN|5TLV|6ASPD|7RCR|8CDMG
11	12333 31847	7	   	266.81	DCR|3VULN|3DUR|2DMG	1aMLV|2MBVNT|3RCVC|469DUR|56aVULN|6aBPWR|7aDMG|8RCR
12	12533 31847	7	   	266.81	DCR|3VULN|3DUR|2DMG	13aMLV|2MBVNT|469DUR|56aVULN|6aBPWR|7aDMG|8RCR
13	61313 13215	3	 * 	266.53	DCR|3VULN|3ASPD|2DUR|2TLV	1aTLV|27aVULN|345ASPD|6BBNT|8RCR|9aDUR|aBPWR
14	61313 43215	3	   	266.53	DCR|3VULN|3ASPD|2DUR|2TLV	1aTLV|27aVULN|345ASPD|6TBNT|8RCR|9aDUR|aBPWR
