0	Index      	Bounty	 *	Score 	Summary	Detail	
1	33236 23134	8	 * 	305.70	DCR|4VULN|3DUR|2DMG|1TLV	168aVULN|24aDUR|3BEXP|5TLV|7RCR|9aDMG|aBPWR
2	33661 23124	9	 * 	289.08	DCR|5VULN|2DUR|2TLV|1ASPD	1368aVULN|2aDUR|4LHND|5ASPD|7RCR|9aTLV|aBPWR
3	31222 43433	4	 * 	286.04	DCR|5VULN|2DMG|2ASPD	1389aVULN|2CGEN|49ASPD|5BBNT|6RCR|79DMG|9BPWR
4	32222 43433	4	   	285.94	DCR|5VULN|2DMG|2ASPD	1389aVULN|2ERES|49ASPD|5BBNT|6RCR|79DMG|9BPWR
5	33632 36431	6	   	285.20	DCR|3VULN|2DMG|2DUR|1CDMG	13aVULN|2aDUR|4AART|5CDMG|6RPLT|7LIT|8RCR|9aDMG|aBPWR
6	33632 51314	9	   	283.41	DCR|4VULN|1DMG|1TLV|1DUR|1CDMG	1367VULN|2DUR|4AART|5CDMG|8DMG|9TLV|aRCR
7	33236 23534	8	   	283.06	DCR|3VULN|3DUR|2DMG|1TLV	16aVULN|24aDUR|38BEXP|5TLV|7RCR|9aDMG|aBPWR
8	33231 23124	9	   	282.77	DCR|4VULN|3DUR|2TLV|1ASPD	168aVULN|24aDUR|3BEXP|5ASPD|7RCR|9aTLV|aBPWR
9	31222 43431	4	   	282.75	DCR|4VULN|2DMG|2ASPD|1DUR	1389VULN|2CGEN|49ASPD|5BBNT|6RCR|79DMG|9BPWR|aDUR
10	33643 22531	3	   	282.70	DCR|5VULN|1DMG|1DUR|1ASPD	13679VULN|2DUR|4DMG|5LIT|8ASPD|aRCR
11	32222 43431	4	   	282.65	DCR|4VULN|2DMG|2ASPD|1DUR	1389VULN|2ERES|49ASPD|5BBNT|6RCR|79DMG|9BPWR|aDUR
12	34223 16631	1	   	282.55	DCR|3VULN|2DMG|2DUR|1ASPD	13aVULN|2AART|4LWND|5aDUR|6ASPD|7RCR|8LIT|9aDMG|aBPWR
13	33362 23636	1	   	282.07	DCR|3VULN|2DMG|2ASPD|1DUR|1CDMG	148VULN|2TBNT|38ASPD|5DUR|6LIT|78DMG|8BPWR|9CDMG|aRCR
14	33632 51223	9	   	281.75	DCR|4VULN|2DUR|1DMG|1CDMG	1367VULN|28DUR|4AART|5CDMG|9RCR|aDMG
15	33232 11245	3	 * 	278.90	DCR|3VULN|3DMG|2DUR	18aVULN|2aDUR|3BEXP|4MLV|59aDMG|6AART|7RCR|aBPWR
16	33232 24345	3	   	278.90	DCR|3VULN|3DMG|2DUR	16aVULN|2aDUR|3BEXP|4MLV|59aDMG|7AART|8RCR|aBPWR
17	33252 11245	3	   	278.90	DCR|3VULN|3DMG|2DUR	18aVULN|2aDUR|3BEXP|4CGEN|59aDMG|6AART|7RCR|aBPWR
