0	Index      	Bounty	 *	Score 	Summary	Detail	
1	64152 43421	1	 * 	291.30	DCR|5VULN|3DUR|2CDMG	1358aVULN|2MBVNT|48aDUR|6RCR|7RMIN|8aBPWR|9aCDMG
2	41356 31331	3	 * 	287.01	DCR|3VULN|2DUR|2ASPD|1DMG|1TLV|1CDMG	1TLV|29aVULN|3ERES|4DMG|5aASPD|6CDMG|7aDUR|8RCR|aBPWR
3	41416 31331	2	   	287.01	DCR|3VULN|2DUR|2ASPD|1DMG|1TLV|1CDMG	1TLV|29aVULN|3DMG|4ERES|5aASPD|6CDMG|7aDUR|8RCR|aBPWR
4	41616 31331	3	   	287.01	DCR|3VULN|2DUR|2ASPD|1DMG|1TLV|1CDMG	1TLV|29aVULN|3DMG|4ERES|5aASPD|6CDMG|7aDUR|8RCR|aBPWR
5	64121 31144	1	 * 	285.94	DCR|5VULN|2DMG|2ASPD	13579VULN|2MBVNT|4TBNT|69ASPD|89DMG|9BPWR|aRCR
6	31521 52734	5	 * 	280.68	DCR|5VULN|3DMG	19aLHND|2FEWX|3479aVULN|59aDMG|6MBVNT|8RCR|9aBPWR
7	41222 62623	5	 * 	278.50	DCR|4VULN|2DUR|2TLV|1DMG	18TLV|278aVULN|3LWND|4DMG|58DUR|6RCR|8BPWR|9DUST
8	41211 13461	5	   	273.86	DCR|3VULN|2DMG|2ASPD|1TLV|1CDMG	1TLV|27aVULN|3LWND|4MLV|5aDMG|6RCR|8CDMG|9aASPD|aBPWR
9	21341 12461	5	   	273.76	DCR|3VULN|2DMG|2ASPD|1DUR|1CDMG	1CGEN|27aVULN|3ERES|4DUR|5aDMG|6RCR|8CDMG|9aASPD|aBPWR
10	41111 13461	5	   	273.76	DCR|3VULN|2DMG|2ASPD|1TLV|1CDMG	1TLV|27aVULN|3DUST|4MLV|5aDMG|6RCR|8CDMG|9aASPD|aBPWR
11	41331 13461	5	   	273.76	DCR|3VULN|2DMG|2ASPD|1TLV|1CDMG	1TLV|27aVULN|3ERES|4LHND|5aDMG|6RCR|8CDMG|9aASPD|aBPWR
12	64152 43414	1	   	271.34	DCR|5VULN|3DUR	1358aVULN|2MBVNT|48aDUR|6RCR|7RMIN|8aBPWR|9aLHND
