0	Index      	Bounty	 *	Score 	Summary	Detail	
1	12553 21632	5	 * 	274.07	DCR|3VULN|2TLV|2DUR|1DMG|2LIT	19LIT|2aTLV|379VULN|4DUST|5DMG|69DUR|8RCR|9BPWR
2	14143 53333	9	 * 	272.64	DCR|2VULN|2DMG|2DUR|1TLV|2LIT|1CDMG	13LIT|29DUR|4CDMG|5TLV|69VULN|7MLV|89DMG|9BPWR|aRCR
3	33243 53333	9	   	272.64	DCR|2VULN|2DMG|2DUR|1TLV|2LIT|1CDMG	12DUR|29BPWR|39LIT|4CDMG|5TLV|69VULN|7MLV|89DMG|aRCR
4	33243 53334	10	   	272.64	DCR|2VULN|2DMG|2DUR|1TLV|2LIT|1CDMG	12DUR|29BPWR|39LIT|4CDMG|5TLV|69VULN|7MLV|89DMG|aRCR
5	33216 36621	8	 * 	267.89	DCR|2VULN|3DMG|2DUR|1TLV	12DUR|2BPWR|3LIT|4TLV|568DMG|7aVULN|9RCR
6	14243 53333	9	   	266.09	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG	1LIT|29DUR|3RCVC|4CDMG|5TLV|69VULN|7MLV|89DMG|9BPWR|aRCR
7	12553 21631	5	   	265.99	DCR|3VULN|2DUR|1TLV|1DMG|2LIT	19LIT|2TLV|379VULN|4DUST|5DMG|69DUR|8RCR|9BPWR|aLHND
8	12553 21633	5	   	265.99	DCR|3VULN|2DUR|1TLV|1DMG|2LIT	19LIT|2TLV|379VULN|4DUST|5DMG|69DUR|8RCR|9BPWR|aBELT
9	16353 21632	5	   	265.89	DCR|3VULN|2DUR|1TLV|1DMG|2LIT	19LIT|2ERES|379VULN|4DUST|5DMG|69DUR|8RCR|9BPWR|aTLV
10	35211 26125	1	 * 	265.45	DCR|4VULN|3DUR|1TLV	156DUR|2LHND|3FEWX|4569VULN|56BPWR|7DMSP|8RCR|aTLV
11	33311 26125	1	   	265.35	DCR|4VULN|3DUR|1TLV	156DUR|2DUST|3LWND|4569VULN|56BPWR|7DMSP|8RCR|aTLV
12	33216 25633	7	 * 	264.46	DCR|2VULN|3DUR|2TLV|1DMG	129DUR|29BPWR|3LIT|49TLV|5DMG|6FEWX|79VULN|8RCR|aASPD
13	33216 25633	6	   	264.46	DCR|2VULN|3DUR|2TLV|1DMG	129DUR|29BPWR|3LIT|49TLV|5DMG|6FEWX|79VULN|8RCR|aASPD
14	33216 35633	5	   	264.46	DCR|2VULN|3DUR|2TLV|1DMG	129DUR|29BPWR|3LIT|49TLV|5DMG|6FEWX|79VULN|8RCR|aASPD
15	12512 41247	9	 * 	264.36	DCR|3VULN|3DUR|1TLV|3LIT	19aLIT|2TLV|39aVULN|4LHND|5MBVNT|6RCR|7BEXP|89aDUR|9aBPWR
16	12512 47247	9	   	264.36	DCR|3VULN|3DUR|1TLV|3LIT	19aLIT|2TLV|39aVULN|4LHND|5MBVNT|6RCR|7FEWX|89aDUR|9aBPWR
17	14111 22362	4	   	263.67	DCR|3VULN|2TLV|2DUR|2LIT|1AART	13LIT|25DUR|45TLV|5BPWR|679VULN|8AART|aRCR
18	14161 22362	3	   	263.67	DCR|3VULN|2TLV|2DUR|2LIT|1AART	13LIT|25DUR|45TLV|5BPWR|679VULN|8AART|aRCR
19	33211 22362	4	   	263.67	DCR|3VULN|2TLV|2DUR|2LIT|1AART	12DUR|25BPWR|35LIT|45TLV|679VULN|8AART|aRCR
20	33261 22362	3	   	263.67	DCR|3VULN|2TLV|2DUR|2LIT|1AART	12DUR|25BPWR|35LIT|45TLV|679VULN|8AART|aRCR
21	12166 12362	2	 * 	263.49	DCR|4VULN|2TLV|1DUR|1AART	1LIT|24TLV|3579VULN|6DUR|8AART|aRCR
22	16223 13221	1	 * 	261.75	DCR|3VULN|3DMG|1TLV	1LIT|26aVULN|356DMG|4RMIN|6BPWR|7TLV|8ERES|9RCR
23	12323 51261	8	 * 	261.22	DCR|4VULN|1TLV|3LIT|2CDMG	147LIT|2TLV|37CDMG|5679VULN|7BPWR|8RMIN|aRCR
24	12323 51561	8	   	261.22	DCR|4VULN|1TLV|3LIT|2CDMG	147LIT|2TLV|37CDMG|5679VULN|7BPWR|8ZMB|aRCR
25	12323 51461	7	   	261.12	DCR|4VULN|1TLV|3LIT|2CDMG	147LIT|2TLV|37CDMG|5679VULN|7BPWR|8ERES|aRCR
26	33423 24432	2	 * 	260.69	DCR|3VULN|3DUR|2TLV	12aDUR|2aBPWR|37aVULN|4RPLT|5ERES|6LIT|8RCR|9aTLV
27	12255 34222	9	   	260.13	DCR|3VULN|1TLV|1DMG|1CDMG|1AART	1LIT|2TLV|3ASPD|4AART|567VULN|8DMG|9CDMG|aRCR
28	35211 26126	1	 * 	259.31	DCR|4VULN|3DUR|1DMG	156DUR|2LHND|3FEWX|4569VULN|56BPWR|7DMSP|8RCR|aDMG
