0	Index      	Bounty	 *	Score 	Summary	Detail	
1	56313 23143	5	 * 	280.06	DCR|3VULN|3DUR|3ASPD|1DMG	1RMIN|2DLOT|3RPLT|478VULN|578ASPD|678DUR|78BPWR|9DMG|aRCR
2	15252 13433	10	 * 	277.98	DCR|5VULN|2DUR|1DMG	1aERES|2345aVULN|6DMG|7LHND|8RCR|9aDUR|aBPWR
3	42252 13433	10	   	277.98	DCR|5VULN|2DUR|1DMG	1345aVULN|2aERES|6DMG|7LHND|8RCR|9aDUR|aBPWR
4	41612 25312	10	 * 	276.89	DCR|3VULN|2DMG|2DUR|1CDMG|1AART	178VULN|2LHND|38DUR|4AART|58DMG|6RMIN|8BPWR|9CDMG|aRCR
5	43534 13121	7	 * 	276.22	DCR|4VULN|2DMG|2DUR	1789VULN|27BEXP|3FEWX|4aDMG|57DUR|6RCR|7BPWR
6	52247 42124	2	   	276.02	DCR|4VULN|2DMG|2DUR	1RMIN|2aDUR|3MBVNT|4ERES|5aDMG|6RCR|789aVULN|aBPWR
7	46128 33134	5	 * 	272.12	DCR|4VULN|3DUR|1ASPD|1AART|1SELL	178aVULN|2MBVNT|3SELL|4AART|578DUR|6RCR|78BPWR|9ASPD
8	46425 24243	10	   	270.00	DCR|3VULN|2DMG|1TLV|1DUR|2LIT	15aVULN|2MBVNT|3FEWX|4aLIT|6RCR|7DUR|8TLV|9aDMG|aBPWR
9	46425 24244	9	   	270.00	DCR|3VULN|2DMG|1TLV|1DUR|2LIT	15aVULN|2MBVNT|3FEWX|4aLIT|6RCR|7DUR|8TLV|9aDMG|aBPWR
10	52247 42154	2	 * 	269.04	DCR|3VULN|3DMG|2DUR	1RMIN|2aDUR|3MBVNT|4ERES|59aDMG|6RCR|78aVULN|aBPWR
11	41231 22836	1	   	268.94	DCR|3VULN|3DMG|2DUR	15aVULN|29ERES|3MBVNT|48aDMG|6aDUR|7RCR|aBPWR
12	42231 22836	2	   	268.94	DCR|3VULN|3DMG|2DUR	15aVULN|29ERES|3MBVNT|48aDMG|6aDUR|7RCR|aBPWR
13	41531 31111	4	   	268.41	DCR|4VULN|1DMG|1DUR|1TLV	1589VULN|2LHND|3TLV|4DMG|6LIT|7RCR|aDUR
14	44531 31111	4	   	268.31	DCR|4VULN|1DMG|1TLV|1DUR	1589VULN|2DUST|3TLV|4DMG|6LIT|7RCR|aDUR
15	42241 43223	9	 * 	267.85	DCR|4VULN|3DUR|1TLV	136aVULN|2ERES|4TLV|568DUR|6BPWR|7LHND|9RCR
16	52231 21124	4	   	267.03	DCR|3VULN|2DMG|2DUR|1CDMG	1RMIN|26DUR|359VULN|47DMG|8CDMG|aRCR
17	16531 21124	1	   	266.93	DCR|3VULN|2DMG|2DUR|1CDMG	1ERES|26DUR|359VULN|47DMG|8CDMG|aRCR
18	26482 42724	4	 * 	266.81	DCR|3VULN|3DUR|2DMG	139FEWX|2MBVNT|4aDMG|59aDUR|6RCR|79aVULN|8TBNT|9aBPWR
19	41231 22136	1	   	266.51	DCR|3VULN|3DUR|2DMG	15aVULN|29ERES|3MBVNT|4aDMG|68aDUR|7RCR|aBPWR
20	42231 22136	2	   	266.51	DCR|3VULN|3DUR|2DMG	15aVULN|29ERES|3MBVNT|4aDMG|68aDUR|7RCR|aBPWR
21	46331 22136	3	   	266.51	DCR|3VULN|3DUR|2DMG	15aVULN|2MBVNT|39ERES|4aDMG|68aDUR|7RCR|aBPWR
22	46331 22136	4	   	266.51	DCR|3VULN|3DUR|2DMG	15aVULN|2MBVNT|39ERES|4aDMG|68aDUR|7RCR|aBPWR
23	46334 22136	6	   	266.51	DCR|3VULN|3DUR|2DMG	16aVULN|2MBVNT|39ERES|4aDMG|58aDUR|7RCR|aBPWR
24	15254 23333	8	   	266.12	DCR|5VULN|2DUR	18ERES|23467VULN|56DUR|6BPWR|9LIT|aRCR
25	41612 21362	8	   	265.81	DCR|2VULN|3DUR|2DMG|1TLV|1AART	18VULN|2LHND|378DUR|4AART|58DMG|6RMIN|8BPWR|9RCR|aTLV
26	46732 44344	2	   	265.71	DCR|4VULN|1DMG|1DUR|1CDMG	134aVULN|2MBVNT|5CDMG|6DMG|7DUR|8RCR|9LIT
27	52231 21156	7	 * 	265.62	DCR|3VULN|2DUR|2TLV|1DMG|1AART	1RMIN|2aDUR|36aVULN|4DMG|5BEXP|7RCR|8AART|9aTLV|aBPWR
28	52231 21256	8	   	265.62	DCR|3VULN|2DUR|2TLV|1DMG|1AART	1RMIN|2aDUR|36aVULN|4DMG|5BEXP|7RCR|8AART|9aTLV|aBPWR
29	43534 13312	9	   	265.47	DCR|3VULN|3DUR|1DMG|1TLV	179VULN|27BEXP|3FEWX|4DMG|578DUR|6RCR|7BPWR|aTLV
30	15252 11513	8	 * 	264.73	DCR|5VULN|2DMG	19ERES|23459VULN|69DMG|78DMSP|9BPWR|aRCR
31	42252 11513	8	   	264.73	DCR|5VULN|2DMG	13459VULN|29ERES|69DMG|78DMSP|9BPWR|aRCR
32	15252 13633	10	   	264.63	DCR|5VULN|2DMG	1ERES|23458VULN|6aDMG|7LHND|9RCR
33	15252 24323	9	   	264.63	DCR|5VULN|2DMG	16ERES|23456VULN|6BPWR|78DMG|9RCVC|aRCR
34	42252 13633	10	   	264.63	DCR|5VULN|2DMG	13458VULN|2ERES|6aDMG|7LHND|9RCR
35	42252 24323	9	   	264.63	DCR|5VULN|2DMG	13456VULN|26ERES|6BPWR|78DMG|9RCVC|aRCR
36	46844 42324	4	   	264.39	DCR|3VULN|2DMG|2DUR|1ASPD	19aVULN|2MBVNT|3ASPD|4RMIN|59DMG|6RCR|7BBNT|89DUR|9BPWR
37	46834 42324	4	   	264.29	DCR|3VULN|2DMG|2DUR|1ASPD|1NUKE	19aVULN|2MBVNT|3ASPD|4NUKE|59DMG|6RCR|7BBNT|89DUR|9BPWR
38	41612 63233	7	   	264.24	DCR|3VULN|2DMG|2DUR|1ASPD|1AART|1SELL	18aVULN|2LHND|38DUR|4AART|58DMG|6RCR|7SELL|8BPWR|9ASPD
39	43621 63212	1	   	263.26	DCR|3VULN|2DMG|1TLV|1DUR	17aVULN|2TBNT|38DMG|4DUR|5LIT|6TLV|9RCR
40	41531 31115	4	   	263.16	DCR|4VULN|1DMG|1TLV|1ASPD	1589VULN|2LHND|3TLV|4DMG|6LIT|7RCR|aASPD
41	51251 12314	4	   	263.03	DCR|4VULN|2DUR|1CDMG|1ASPD	1RMIN|2346VULN|5CDMG|79DUR|8ASPD|aRCR
42	41633 13121	6	   	261.44	DCR|4VULN|2DMG|1DUR	1789VULN|2LHND|3DUR|4aDMG|5LWND|6RCR
43	43534 13121	6	   	261.44	DCR|4VULN|2DMG|1DUR	1789VULN|2BEXP|3FEWX|4aDMG|5DUR|6RCR
44	26634 43623	3	   	261.34	DCR|4VULN|2DMG|1DUR	1FEWX|2MBVNT|3679VULN|46DMG|5LEGI|6BPWR|8DUR|aRCR
45	26634 43623	4	   	261.34	DCR|4VULN|2DMG|1DUR	1FEWX|2MBVNT|3679VULN|46DMG|5LEGI|6BPWR|8DUR|aRCR
46	26734 43623	2	   	261.34	DCR|4VULN|2DMG|1DUR	1FEWX|2MBVNT|3679VULN|46DMG|5LEGI|6BPWR|8DUR|aRCR
