0	Index      	Bounty	 *	Score 	Summary	Detail	
1	62152 62212	10	 * 	289.11	DCR|4VULN|3DUR|3LIT|2ASPD|1CDMG	157LIT|28ASPD|3478VULN|678DUR|78BPWR|9RCR|aCDMG
2	41213 42243	7	 * 	283.71	DCR|4VULN|3TLV|2DUR|1CDMG|1AART	134TLV|2347VULN|347BPWR|57ZMB|67DUR|8AART|9CDMG|aRCR
3	41214 42133	10	 * 	283.65	DCR|4VULN|3TLV|1DMG|1DUR|1AART	134TLV|2347VULN|34BPWR|5LIT|6AART|8DMG|9RCR|aDUR
4	41213 23251	10	 * 	283.27	DCR|4VULN|2DMG|3TLV|1DUR	134TLV|2346VULN|34BPWR|5ZMB|7RCR|89DMG|aDUR
5	41216 33251	10	   	283.27	DCR|4VULN|2DMG|3TLV|1DUR	134TLV|2345VULN|34BPWR|6RMIN|7RCR|89DMG|aDUR
6	41213 23254	9	 * 	282.67	DCR|4VULN|3DMG|3TLV	134TLV|2346VULN|34BPWR|5ZMB|7RCR|89aDMG
7	41216 33621	10	 * 	281.42	DCR|5VULN|3TLV|1DMG|1CDMG	134TLV|23458VULN|34BPWR|6RMIN|7RCR|9CDMG|aDMG
8	41214 42132	10	   	281.05	DCR|4VULN|3TLV|1DMG|1CDMG|1AART	134TLV|2347VULN|34BPWR|5LIT|6AART|8DMG|9RCR|aCDMG
9	41216 11322	9	 * 	280.27	DCR|4VULN|3TLV|2DUR|1DMG	134TLV|2345VULN|34BPWR|6LWND|7RCR|89DUR|aDMG
10	41216 11352	8	   	280.27	DCR|4VULN|3TLV|2DUR|1DMG	134TLV|2345VULN|34BPWR|6LWND|7RCR|89DUR|aDMG
11	41216 21332	7	   	280.27	DCR|4VULN|3TLV|2DUR|1DMG	134TLV|2345VULN|34BPWR|6FEWX|7RCR|89DUR|aDMG
12	41216 11311	9	   	279.33	DCR|4VULN|3TLV|1DMG|1DUR|1CDMG	134TLV|2345VULN|34BPWR|6LWND|7RCR|8DUR|9CDMG|aDMG
13	41216 11316	10	   	279.33	DCR|4VULN|3TLV|1DMG|1DUR|1CDMG	134TLV|2345VULN|34BPWR|6LWND|7RCR|8DUR|9CDMG|aDMG
14	41216 11322	10	 * 	278.55	DCR|5VULN|3TLV|2DUR	134TLV|2345aVULN|34BPWR|6LWND|7RCR|89DUR
15	41216 23136	6	   	277.44	DCR|5VULN|3TLV|1DMG|1AART	134TLV|23458VULN|34BPWR|6FEWX|7AART|9RCR|aDMG
16	41213 42613	7	   	277.02	DCR|4VULN|3TLV|2DUR	134TLV|2347VULN|347BPWR|57ZMB|67DUR|8RCR|9LIT|aASPD
17	31135 11263	7	 * 	277.00	DCR|3VULN|2DMG|2TLV|2DUR|1NUKE	1NUKE|28aVULN|38DUR|4aTLV|5CGEN|68LWND|7RCR|8aBPWR|9aDMG
18	31135 21263	7	   	277.00	DCR|3VULN|2DMG|2TLV|2DUR|1NUKE	1NUKE|28aVULN|38DUR|4aTLV|5CGEN|68FEWX|7RCR|8aBPWR|9aDMG
19	31135 31263	7	   	276.80	DCR|3VULN|2DMG|2TLV|2DUR|1NUKE	1NUKE|28aVULN|38DUR|4aTLV|5CGEN|68DUST|7RCR|8aBPWR|9aDMG
20	41216 53232	10	   	276.08	DCR|5VULN|3TLV|1DMG	134TLV|2345aVULN|34BPWR|6ASPD|7RCR|8DMG|9FEWX
21	41216 53213	8	   	275.98	DCR|5VULN|3TLV|1DMG	134TLV|2345aVULN|34BPWR|6ASPD|7RCR|8DMG|9TBNT
22	62152 62211	10	   	275.46	DCR|4VULN|3DUR|3LIT|2ASPD	157LIT|28ASPD|3478VULN|678DUR|78BPWR|9RCR|aLHND
23	62152 62211	9	   	275.46	DCR|4VULN|3DUR|3LIT|2ASPD	157LIT|28ASPD|3478VULN|678DUR|78BPWR|9RCR|aLWND
24	62152 62213	9	   	275.46	DCR|4VULN|3DUR|3LIT|2ASPD	157LIT|28ASPD|3478VULN|678DUR|78BPWR|9RCR|aFEWX
25	62152 62212	9	   	275.36	DCR|4VULN|3DUR|3LIT|2ASPD	157LIT|28ASPD|3478VULN|678DUR|78BPWR|9RCR|aTBNT
26	41213 23252	10	   	275.33	DCR|4VULN|2DMG|3TLV	134TLV|2346VULN|34BPWR|5ZMB|7RCR|89DMG|aLIT
27	41213 53631	9	   	275.33	DCR|4VULN|2DMG|3TLV	134TLV|2349VULN|34BPWR|5ZMB|6LIT|78DMG|aRCR
28	41216 33252	10	   	275.33	DCR|4VULN|2DMG|3TLV	134TLV|2345VULN|34BPWR|6RMIN|7RCR|89DMG|aLIT
29	41216 53232	8	   	275.33	DCR|4VULN|2DMG|3TLV	134TLV|2345VULN|34BPWR|6ASPD|7RCR|8aDMG|9LWND
