0	Index      	Bounty	 *	Score 	Summary	Detail	
1	66311 16332	6	 * 	281.26	DCR|4VULN|2DMG|2TLV|1DUR|1NUKE|1SELL	1SELL|27TLV|3NUKE|4DUR|579aVULN|67DMG|7BPWR|8RCR
2	15142 23126	5	 * 	279.75	DCR|4VULN|2DUR|2ASPD|2CDMG	1aASPD|24DUR|346aVULN|4aBPWR|5LWND|7RCR|8ERES|9aCDMG
3	62112 52613	6	 * 	279.33	DCR|3VULN|3DMG|2ASPD|3LIT|1SELL	1SELL|24aLIT|34aVULN|4aBPWR|568DMG|7RCR|9aASPD
4	14112 13424	4	 * 	278.50	DCR|4VULN|3ASPD|2TLV|1DMG	159ASPD|2MBVNT|3579VULN|4BELT|59BPWR|69TLV|8RCR|aDMG
5	14154 43424	4	   	278.50	DCR|4VULN|3ASPD|2TLV|1DMG	149ASPD|2MBVNT|3479VULN|49BPWR|59TLV|6BELT|8RCR|aDMG
6	14174 43424	3	   	278.50	DCR|4VULN|3ASPD|2TLV|1DMG	149ASPD|2MBVNT|3479VULN|49BPWR|59TLV|6BELT|8RCR|aDMG
7	14674 43424	2	   	278.50	DCR|4VULN|3ASPD|2TLV|1DMG	149ASPD|2MBVNT|3479VULN|49BPWR|59TLV|6BELT|8RCR|aDMG
8	62112 22226	5	 * 	278.10	DCR|5VULN|1DMG|1TLV|2LIT|1SELL	1SELL|24LIT|3479aVULN|4BPWR|5DMG|6TLV|8RCR
9	62112 22256	5	 * 	276.15	DCR|4VULN|2DMG|1TLV|2LIT|1SELL	1SELL|24LIT|347aVULN|4BPWR|59DMG|6TLV|8RCR
10	11152 13621	2	   	276.14	DCR|4VULN|2DUR|2ASPD|1TLV	19ASPD|2BELT|3579VULN|45LWND|59BPWR|6TLV|89DUR|aRCR
11	14157 33341	9	 * 	276.12	DCR|4VULN|2DMG|3ASPD	147ASPD|2MBVNT|349aVULN|4aBPWR|5aDMG|6aCGEN|8RCR
12	14115 12832	3	   	275.94	DCR|4VULN|2DUR|2ASPD|1TLV	17ASPD|2MBVNT|3789VULN|47DUR|5RPLT|6RCR|7BPWR|aTLV
13	45142 23322	5	 * 	274.79	DCR|4VULN|2DUR|1DMG|1TLV	1TLV|24DUR|346aVULN|4BPWR|5LWND|7RCR|8BEXP|9DMG
14	12311 44431	3	 * 	274.70	DCR|3VULN|2DMG|2DUR|2ASPD	1aASPD|2DMSP|357VULN|4TBNT|6aDMG|8RCR|9aDUR|aBPWR
15	44152 43424	4	 * 	273.56	DCR|4VULN|2DMG|3TLV	149TLV|2MBVNT|3479VULN|49BPWR|59DMG|6BELT|8RCR|aLIT
16	14115 12142	3	   	273.34	DCR|4VULN|2DUR|2ASPD|1CDMG	17ASPD|2MBVNT|379aVULN|47DUR|5RPLT|6RCR|7BPWR|8CDMG
17	14115 12833	3	   	273.34	DCR|4VULN|2DUR|2ASPD|1CDMG	17ASPD|2MBVNT|3789VULN|47DUR|5RPLT|6RCR|7BPWR|aCDMG
18	14615 12142	2	   	273.34	DCR|4VULN|2DUR|2ASPD|1CDMG	17ASPD|2MBVNT|379aVULN|47DUR|5RPLT|6RCR|7BPWR|8CDMG
19	66311 16331	6	 * 	273.20	DCR|3VULN|2DMG|2DUR|2TLV|1NUKE|1SELL	1SELL|27TLV|3NUKE|4aDUR|579VULN|67DMG|7BPWR|8RCR
20	14115 12413	3	 * 	272.91	DCR|4VULN|3DUR|2ASPD	17ASPD|2MBVNT|379aVULN|478DUR|5RPLT|6RCR|7BPWR
21	14615 12413	2	   	272.91	DCR|4VULN|3DUR|2ASPD	17ASPD|2MBVNT|379aVULN|478DUR|5RPLT|6RCR|7BPWR
22	62112 22223	5	   	269.57	DCR|4VULN|1DMG|1TLV|2LIT|1ASPD|1SELL	1SELL|24LIT|3479VULN|4BPWR|5DMG|6TLV|8RCR|aASPD
23	15142 23322	5	   	269.54	DCR|4VULN|2DUR|1DMG|1ASPD	1ASPD|24DUR|346aVULN|4BPWR|5LWND|7RCR|8BEXP|9DMG
24	15142 23622	5	   	269.54	DCR|4VULN|2DUR|1DMG|1ASPD	1ASPD|24DUR|346aVULN|4BPWR|5LWND|7RCR|8LHND|9DMG
25	43113 62621	2	 * 	269.54	DCR|4VULN|2DUR|2TLV|1ASPD	19TLV|2BELT|3459VULN|6LHND|7ASPD|89DUR|9BPWR|aRCR
26	61612 26332	4	   	269.30	DCR|4VULN|2DUR|2TLV|1ASPD|1SELL	1SELL|27DUR|379aVULN|4ZMB|5ASPD|67TLV|7BPWR|8RCR
