0	Index      	Bounty	 *	Score 	Summary	Detail	
1	46161 21212	7	 * 	295.48	DCR|4VULN|3DMG|2DUR|2ASPD	1aDUR|2348VULN|5aASPD|67aDMG|9RCR|aBPWR
2	46131 22212	7	 * 	293.05	DCR|4VULN|3DUR|2DMG|2ASPD	14aDUR|2378VULN|5aASPD|6aDMG|9RCR|aBPWR
3	46131 22412	8	   	293.05	DCR|4VULN|3DUR|2DMG|2ASPD	14aDUR|2378VULN|5aASPD|6aDMG|9RCR|aBPWR
4	46131 23212	6	   	293.05	DCR|4VULN|3DUR|2DMG|2ASPD	14aDUR|2378VULN|5aASPD|6aDMG|9RCR|aBPWR
5	46161 22212	6	   	293.05	DCR|4VULN|3DUR|2DMG|2ASPD	17aDUR|2348VULN|5aASPD|6aDMG|9RCR|aBPWR
6	46131 21212	7	 * 	287.65	DCR|3VULN|3DMG|3DUR|2ASPD	14aDUR|238VULN|5aASPD|67aDMG|9RCR|aBPWR
7	46131 21412	8	   	287.65	DCR|3VULN|3DMG|3DUR|2ASPD	14aDUR|238VULN|5aASPD|67aDMG|9RCR|aBPWR
8	66121 22511	5	 * 	285.61	DCR|4VULN|3DUR|1TLV|1DMG	17BEXP|2357VULN|457DUR|57BPWR|6RMIN|8TLV|9DMG|aRCR
9	43535 13121	10	 * 	285.41	DCR|4VULN|3DUR|1TLV|2CDMG	168DUR|28CDMG|3578VULN|4RMIN|8BPWR|9RCR|aTLV
10	66523 22232	7	 * 	284.02	DCR|5VULN|2TLV|1DMG|1DUR	1BEXP|24578VULN|34TLV|4BPWR|6DMG|9DUR|aRCR
11	66523 23232	6	   	284.02	DCR|5VULN|2TLV|1DMG|1DUR	1BEXP|24578VULN|34TLV|4BPWR|6DMG|9DUR|aRCR
12	66122 52312	7	 * 	283.28	DCR|5VULN|3DMG|1DUR	17aBEXP|2379aVULN|4DUR|5FEWX|67aDMG|7aBPWR|8RCR
13	66121 26312	7	 * 	282.11	DCR|5VULN|2DMG|2DUR	1aBEXP|2359aVULN|45DUR|5aBPWR|6FEWX|7aDMG|8RCR
