0	Index      	Bounty	 *	Score 	Summary	Detail	
1	61422 11112	10	 * 	298.91	DCR|3VULN|3DMG|3DUR|1TLV	18aDUR|2aLHND|378DMG|4LWND|5TLV|68aVULN|8aBPWR|9RCR
2	63234 28483	3	 * 	297.34	DCR|4VULN|2DMG|2DUR|2ASPD	19DUR|27ASPD|3MBVNT|4689VULN|59DMG|9BPWR|aRCR
3	63253 13283	8	   	297.34	DCR|4VULN|2DMG|2DUR|2ASPD	19DUR|28ASPD|3MBVNT|49DMG|5679VULN|9BPWR|aRCR
4	66233 62323	3	   	290.98	DCR|4VULN|2DMG|2DUR|2LIT	13DUR|234aVULN|3BPWR|59LIT|68DMG|7RCR
5	63121 32563	1	   	289.14	DCR|3VULN|2DMG|2DUR|1TLV|1ASPD	18DUR|28DMG|3ASPD|4BELT|5LIT|6RCR|789VULN|8BPWR|aTLV
6	63234 25483	3	   	287.13	DCR|4VULN|2DMG|2DUR|1ASPD	19DUR|2ASPD|3MBVNT|4689VULN|59DMG|7DMSP|9BPWR|aRCR
7	63121 32562	1	   	286.54	DCR|3VULN|2DMG|2DUR|1CDMG|1ASPD	18DUR|28DMG|3ASPD|4BELT|5LIT|6RCR|789VULN|8BPWR|aCDMG
8	66233 52313	3	   	284.68	DCR|3VULN|3DUR|1DMG|1TLV|1ASPD	139DUR|234VULN|3BPWR|5LIT|6TLV|7RCR|8DMG|aASPD
9	66233 62311	3	   	281.99	DCR|3VULN|2DMG|2DUR|2LIT|1CDMG	13DUR|234VULN|3BPWR|5aLIT|68DMG|7RCR|9CDMG
10	66233 62322	3	   	281.99	DCR|3VULN|2DMG|2DUR|2LIT|1CDMG	13DUR|234VULN|3BPWR|59LIT|68DMG|7RCR|aCDMG
11	63121 32563	2	   	281.76	DCR|3VULN|2DUR|2ASPD|1DMG|1TLV	18DUR|28ASPD|3DMG|4BELT|5LIT|6RCR|789VULN|8BPWR|aTLV
12	66233 62313	3	 * 	281.75	DCR|3VULN|2DMG|2DUR|2CDMG	13DUR|234VULN|3BPWR|5LIT|68DMG|7RCR|9aCDMG
13	25522 21333	10	 * 	280.42	DCR|3VULN|2DUR|2ASPD|2TLV|1CDMG	1aTLV|25aVULN|3AART|49ASPD|6CDMG|7aDUR|8RCR|aBPWR
14	66212 26313	9	 * 	280.17	DCR|4VULN|3DUR|1DMG	13aDUR|2357VULN|35BPWR|45LHND|6RCR|8DMG|9LIT
15	66233 62111	3	   	280.07	DCR|4VULN|3DUR|1DMG	139DUR|234aVULN|3BPWR|5LIT|6DMG|7RCR|8CGEN
16	66233 14211	9	 * 	280.00	DCR|3VULN|3DUR|2ASPD|1DMG	137DUR|235VULN|3BPWR|4AART|6aASPD|8RCR|9DMG
17	66233 14231	8	   	280.00	DCR|3VULN|3DUR|2ASPD|1DMG	137DUR|235VULN|3BPWR|4AART|6aASPD|8RCR|9DMG
18	66233 62211	3	   	279.97	DCR|4VULN|3DUR|1DMG	139DUR|234aVULN|3BPWR|5LIT|6DMG|7RCR|8ERES
19	66236 32123	9	   	279.39	DCR|3VULN|2DMG|2DUR|1TLV	13DUR|239VULN|3BPWR|4AART|58DMG|6TLV|7LHND|aRCR
20	66233 62333	3	   	279.34	DCR|3VULN|2DMG|2DUR|2LIT|1ASPD	13DUR|234VULN|3BPWR|5aLIT|68DMG|7RCR|9ASPD
21	63121 32562	2	   	279.16	DCR|3VULN|2DUR|2ASPD|1DMG|1CDMG	18DUR|28ASPD|3DMG|4BELT|5LIT|6RCR|789VULN|8BPWR|aCDMG
22	25232 26333	3	 * 	278.90	DCR|4VULN|2DMG|2TLV|1CDMG	1aTLV|258aVULN|3CDMG|4BBNT|6RCR|7MLV|9aDMG|aBPWR
23	66233 14133	6	   	278.52	DCR|3VULN|2DUR|1DMG|1CDMG|1ASPD	13DUR|235VULN|3BPWR|4AART|6ASPD|7CDMG|8DMG|9LIT|aRCR
24	66212 26333	10	 * 	278.18	DCR|5VULN|2DUR|1DMG	13DUR|2357aVULN|35BPWR|45LHND|6RCR|8DMG|9FEWX
25	66212 26112	7	   	278.08	DCR|5VULN|2DUR|1DMG	13DUR|2357aVULN|35BPWR|45LHND|6RCR|8BBNT|9DMG
26	66212 41112	6	   	278.08	DCR|5VULN|2DUR|1DMG	13DUR|2356aVULN|35BPWR|45LHND|7RCR|8BBNT|9DMG
27	45112 15231	8	   	277.61	DCR|4VULN|3DUR|1TLV	1LWND|2578VULN|345DUR|5BPWR|6TLV|9RCR|aAART
28	25262 42221	6	 * 	276.87	DCR|5VULN|2TLV|2CDMG	19TLV|24679VULN|39CDMG|5AART|8DMSP|9BPWR|aRCR
29	66233 24213	9	   	276.37	DCR|3VULN|3DUR|2DMG	137DUR|235VULN|3BPWR|4AART|6CGEN|8RCR|9aDMG
30	66233 24233	8	   	276.37	DCR|3VULN|3DUR|2DMG	137DUR|235VULN|3BPWR|4AART|6CGEN|8RCR|9aDMG
31	66233 52111	3	   	276.26	DCR|4VULN|3DUR|1TLV	139DUR|234aVULN|3BPWR|5LIT|6TLV|7RCR|8CGEN
32	66611 22331	3	   	276.22	DCR|4VULN|2DMG|2DUR	18DUR|2458VULN|3FEWX|6LWND|78DMG|8BPWR|9BEXP|aRCR
33	66233 52211	3	   	276.16	DCR|4VULN|3DUR|1TLV	139DUR|234aVULN|3BPWR|5LIT|6TLV|7RCR|8ERES
34	66411 22331	2	   	276.12	DCR|4VULN|2DMG|2DUR	18DUR|2458VULN|3DUST|6LWND|78DMG|8BPWR|9BEXP|aRCR
35	66233 62312	3	   	275.44	DCR|3VULN|2DMG|2DUR|1CDMG	13DUR|234VULN|3BPWR|5LIT|68DMG|7RCR|9CDMG|aLHND
