0	Index      	Bounty	 *	Score 	Summary	Detail	
1	45331 22331	7	 * 	316.41	DCR|4VULN|3DMG|3DUR|1ASPD	18aDUR|24LWND|348aVULN|48aBPWR|5FEWX|6ASPD|78aDMG|9RCR
2	51551 21331	6	 * 	303.88	DCR|3VULN|3DMG|3DUR|2ASPD	18aDMG|2LHND|38aVULN|46ASPD|5FEWX|78aDUR|8aBPWR|9RCR
3	21511 41331	6	 * 	302.80	DCR|4VULN|3DUR|3ASPD|1DMG	18aASPD|2LHND|368aVULN|4DMG|5FEWX|78aDUR|8aBPWR|9RCR
4	21562 21331	6	   	302.80	DCR|4VULN|3DUR|3ASPD|1DMG	18aASPD|2LHND|348aVULN|5DMG|6FEWX|78aDUR|8aBPWR|9RCR
5	23511 41331	6	   	302.80	DCR|4VULN|3DUR|3ASPD|1DMG	18aASPD|2LWND|368aVULN|4DMG|5FEWX|78aDUR|8aBPWR|9RCR
6	26512 31331	6	   	302.80	DCR|4VULN|3DUR|3ASPD|1DMG	18aASPD|2FEWX|358aVULN|4DMG|6LWND|78aDUR|8aBPWR|9RCR
7	41332 55331	4	   	296.07	DCR|3VULN|3DMG|3DUR|1CDMG|1SELL	18aDUR|2BEXP|38aVULN|4SELL|5CDMG|6FEWX|78aDMG|8aBPWR|9RCR
8	42332 25331	4	   	295.97	DCR|3VULN|3DMG|3DUR|1CDMG|1SELL	18aDUR|2DUST|38aVULN|4SELL|5CDMG|6FEWX|78aDMG|8aBPWR|9RCR
9	54117 31233	8	 * 	295.24	DCR|3VULN|3DMG|2DUR|3CDMG	128DMG|3MBVNT|46DUR|568CDMG|68BPWR|789VULN|aRCR
10	51542 21331	6	   	293.67	DCR|3VULN|3DMG|3DUR|1ASPD	18aDMG|24LHND|38aVULN|5ASPD|6FEWX|78aDUR|8aBPWR|9RCR
11	51551 12331	5	   	293.67	DCR|3VULN|3DMG|3DUR|1ASPD	18aDMG|2LHND|38aVULN|4ASPD|57FEWX|68aDUR|8aBPWR|9RCR
12	51551 12331	4	   	293.67	DCR|3VULN|3DMG|3DUR|1ASPD	18aDMG|2LHND|38aVULN|4ASPD|57FEWX|68aDUR|8aBPWR|9RCR
13	51551 31331	5	   	293.67	DCR|3VULN|3DMG|3DUR|1ASPD	18aDMG|2LHND|38aVULN|4ASPD|56FEWX|78aDUR|8aBPWR|9RCR
14	51551 31331	4	   	293.67	DCR|3VULN|3DMG|3DUR|1ASPD	18aDMG|2LHND|38aVULN|4ASPD|56FEWX|78aDUR|8aBPWR|9RCR
15	51552 21331	6	   	293.67	DCR|3VULN|3DMG|3DUR|1ASPD	18aDMG|25LHND|38aVULN|4ASPD|6FEWX|78aDUR|8aBPWR|9RCR
16	42354 12332	7	   	292.27	DCR|4VULN|2DMG|2DUR|1TLV|1NUKE	18DUR|2DUST|3589VULN|4NUKE|6RCR|78DMG|8BPWR|aTLV
17	26534 22331	7	 * 	291.98	DCR|4VULN|3DMG|3ASPD	18aASPD|2FEWX|358aVULN|4LWND|6BEXP|78aDMG|8aBPWR|9RCR
18	26534 32331	7	   	291.98	DCR|4VULN|3DMG|3ASPD	18aASPD|2FEWX|358aVULN|4LWND|6LHND|78aDMG|8aBPWR|9RCR
19	24136 21332	4	   	291.05	DCR|3VULN|2DMG|2DUR|2ASPD|1TLV	18ASPD|28DMG|3LWND|459VULN|6RCR|78DUR|8BPWR|aTLV
20	25534 12332	7	   	291.05	DCR|3VULN|2DMG|2DUR|2ASPD|1TLV	18ASPD|28DUR|359VULN|4LWND|6RCR|78DMG|8BPWR|aTLV
21	24632 21336	3	   	290.45	DCR|3VULN|3DMG|2DUR|2ASPD	18ASPD|238DMG|4LWND|59aVULN|6RCR|78DUR|8BPWR
